r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.056962025316455778e-01,-1.890439808162487134e+00,4.371274721552155462e+00,4.081797175093766494e-01,1.613024903870527993e+00,9.686111499776191638e-03,4.363902605856808531e-03,1.598227337050732444e-01,4.427392178476755369e+00,0.000000000000000000e+00,4.427392178476755369e+00,-5.611745692459975399e-02,1.668172598692462816e-01,-1.890439808162487134e+00,6.711656788874330593e-01,1.014643701153553762e-02,3.223267308743666581e+04,9.523053854852409472e+01
1.170886075949367222e-01,-1.851171060553787440e+00,4.832393579056917687e+00,3.658316013751697349e-01,3.808623997921220194e+00,1.574427924511699953e-02,6.246444709235857845e-03,2.345240820168890683e-01,4.904596125857484168e+00,0.000000000000000000e+00,4.904596125857484168e+00,-7.220254680056623076e-02,1.921768631760169821e-01,-1.851171060553787440e+00,9.064030973871329833e-01,1.075455423842012689e-02,3.502301840949351754e+04,9.971830409216245528e+00
1.284810126582278389e-01,-1.862162212285793039e+00,5.290661380563430605e+00,3.384301180049235080e-01,5.147844116665009295e+00,2.125690501487059736e-02,7.776520589378778728e-03,2.891479055463876957e-01,5.381800073238211191e+00,0.000000000000000000e+00,5.381800073238211191e+00,-9.113869267478094671e-02,2.185865261111422930e-01,-1.862162212285793039e+00,1.031049088166550609e+00,1.266336817299413241e-02,3.796017596410366968e+04,6.018516988692730507e+01
1.398734177215189833e-01,-1.867675906902490635e+00,5.745813010999292203e+00,3.142770253248815537e-01,6.300945158650502975e+00,2.659048435567935506e-02,9.149208283403405598e-03,3.334617137480845317e-01,5.859004020618939101e+00,0.000000000000000000e+00,5.859004020618939101e+00,-1.131910096196473009e-01,2.446287403430628671e-01,-1.867675906902490635e+00,1.103860490153632190e+00,1.889178437094107821e-02,4.089020588246419356e+04,8.371149812949489899e-01
1.512658227848101278e-01,-1.903469775790127771e+00,6.197673478710828299e+00,2.979819782324307220e-01,7.003813353245629258e+00,3.202739906437147843e-02,1.054739717422799664e-02,3.725964153621436070e-01,6.336207967999667900e+00,0.000000000000000000e+00,6.336207967999667900e+00,-1.385344892888393520e-01,2.682863359012293003e-01,-1.903469775790127771e+00,1.149387526834720452e+00,2.317021077220183384e-02,4.387930105544852267e+04,0.000000000000000000e+00
1.626582278481012722e-01,-1.962230511506341868e+00,6.646282114870299296e+00,2.870816549907073689e-01,7.397586639555509436e+00,3.765425056563874440e-02,1.199942563228570402e-02,4.085442205011348138e-01,6.813411915380395811e+00,0.000000000000000000e+00,6.813411915380395811e+00,-1.671298005100968487e-01,2.870882848997007852e-01,-1.962230511506341868e+00,1.179078032622485450e+00,2.525720918964419887e-02,4.690120832877879002e+04,3.663917237680717562e+02
1.740506329113924167e-01,-2.028935569103576864e+00,7.092020843933759089e+00,2.786442884276720267e-01,7.650242903053003474e+00,4.346250221053842011e-02,1.351715458214740838e-02,4.420239698176993137e-01,7.290615862761123722e+00,0.000000000000000000e+00,7.290615862761123722e+00,-1.985950188273645500e-01,2.984290284367899782e-01,-2.028935569103576864e+00,1.198458849276913041e+00,2.742562821103349674e-02,4.992409522753034253e+04,3.375684487569358794e+01
1.854430379746835611e-01,-2.100264119987042655e+00,7.535685779955058727e+00,2.718112410654575650e-01,7.810978447351660137e+00,4.947734587277873020e-02,1.508267090014698067e-02,4.736496023760182750e-01,7.767819810141852521e+00,0.000000000000000000e+00,7.767819810141852521e+00,-2.321340301867937383e-01,3.000404784902638844e-01,-2.100264119987042655e+00,1.210931927514488970e+00,2.916478680034496201e-02,5.294500040164317761e+04,4.001485686437653158e+02
1.968354430379747055e-01,-2.173807497928819554e+00,7.978448247265844451e+00,2.660032033637241278e-01,7.912985264144616337e+00,5.573253900622633650e-02,1.668180154259605447e-02,5.039499367051312184e-01,8.245023757522581320e+00,0.000000000000000000e+00,8.245023757522581320e+00,-2.665755102567365364e-01,2.905048220323788732e-01,-2.173807497928819554e+00,1.218847656497622278e+00,3.026850055804474957e-02,5.596615582097700826e+04,4.176990554191607430e+02
2.082278481012658222e-01,-2.247931006944045684e+00,8.421693426730831433e+00,2.608402877012203080e-01,7.978029310818845588e+00,6.226813457256110546e-02,1.832023028955494584e-02,5.334066751153271335e-01,8.722227704903307455e+00,0.000000000000000000e+00,8.722227704903307455e+00,-3.005342781724765211e-01,2.696283516888074439e-01,-2.247931006944045684e+00,1.223895074519542492e+00,3.097227714305991059e-02,5.899317470126799162e+04,2.370000000000000000e+02
2.196202531645569667e-01,-2.321555817261520271e+00,8.866782606565672964e+00,2.560778433352590144e-01,8.020128042385055167e+00,6.913102107842222788e-02,2.000487203159805050e-02,5.624413969708775829e-01,9.199431652284035366e+00,0.000000000000000000e+00,9.199431652284035366e+00,-3.326490457183631788e-01,2.385184831837235953e-01,-2.321555817261520271e+00,1.227278678734913697e+00,3.143020078369250514e-02,6.203283049118286726e+04,0.000000000000000000e+00
2.310126582278481111e-01,-2.393577711373839456e+00,9.314821557091111259e+00,2.515225935917400069e-01,8.050355396547512754e+00,7.636565148029907102e-02,2.173975298888028776e-02,5.913760938124145161e-01,9.676635599664765053e+00,0.000000000000000000e+00,9.676635599664765053e+00,-3.618140425736534604e-01,1.993237559108284040e-01,-2.393577711373839456e+00,1.229799640072062550e+00,3.176088803822978840e-02,6.509039573207607464e+04,3.000000000000000000e+00
2.424050632911392555e-01,-2.463109528836792350e+00,9.766510148822630910e+00,2.470477602223694058e-01,8.075975231867522197e+00,8.400799054992878767e-02,2.352604066657749959e-02,6.204228457275157149e-01,1.015383954704549296e+01,0.000000000000000000e+00,1.015383954704549296e+01,-3.873293982228612209e-01,1.547391590946302353e-01,-2.463109528836792350e+00,1.231936334337751404e+00,3.204116903663069282e-02,6.816901619013807795e+04,0.000000000000000000e+00
2.537974683544304000e-01,-2.529747268336546284e+00,1.022210656245376725e+01,2.426036830926326937e-01,8.099832864462818804e+00,9.208239451680953758e-02,2.536325845293795761e-02,6.496919045177178553e-01,1.063104349442622087e+01,0.000000000000000000e+00,1.063104349442622087e+01,-4.089369319724531771e-01,1.074609103057856674e-01,-2.529747268336546284e+00,1.233926060896199051e+00,3.230217153722323570e-02,7.126984723676738213e+04,4.000000000000000000e+02
2.651898734177214889e-01,-2.593310008881852813e+00,1.068149156160027857e+01,2.381769928882653820e-01,8.122694299615739411e+00,1.005994004698939764e-01,2.724814140533532089e-02,6.792008788511081363e-01,1.110824744180694701e+01,0.000000000000000000e+00,1.110824744180694701e+01,-4.267558802066688250e-01,5.976053662894399016e-02,-2.593310008881852813e+00,1.235832704587952691e+00,3.255227563779618943e-02,7.439197086993666016e+04,0.000000000000000000e+00
2.765822784810126889e-01,-2.653800190479077781e+00,1.114428838851678449e+01,2.337769944125970556e-01,8.144026411366301232e+00,1.095568261128805621e-01,2.917519674623656259e-02,7.088983232357376485e-01,1.158545138918767847e+01,0.000000000000000000e+00,1.158545138918767847e+01,-4.411630006708935903e-01,1.326426494380352622e-02,-2.653800190479077781e+00,1.237611802707949460e+00,3.278564894034733529e-02,7.753307635673526966e+04,0.000000000000000000e+00
2.879746835443037778e-01,-2.711351269253270413e+00,1.160999026061124617e+01,2.294241746531762716e-01,8.162655381793028297e+00,1.189425670776645821e-01,3.113749369102054507e-02,7.386904758312872188e-01,1.206265533656840461e+01,0.000000000000000000e+00,1.206265533656840461e+01,-4.526650759571581029e-01,-3.107149528305263100e-02,-2.711351269253270413e+00,1.239165458841538614e+00,3.298944987681572821e-02,8.069018479093413043e+04,0.000000000000000000e+00
2.993670886075949777e-01,-2.766174740171496005e+00,1.207806311965437551e+01,2.251418887417197534e-01,8.177243060418591725e+00,1.287379117538954010e-01,3.312742551597511187e-02,7.684648233403531536e-01,1.253985928394913429e+01,0.000000000000000000e+00,1.253985928394913429e+01,-4.617961642947592260e-01,-7.285604297637517102e-02,-2.766174740171496005e+00,1.240382071238910644e+00,3.314903908097939500e-02,8.386022472815503716e+04,0.000000000000000000e+00
3.107594936708860667e-01,-2.818514741818986646e+00,1.254801201397894950e+01,2.209512276212756698e-01,8.186581025220370122e+00,1.389205595901923940e-01,3.513729805816965396e-02,7.981075222623029708e-01,1.301706323132986043e+01,0.000000000000000000e+00,1.301706323132986043e+01,-4.690512173509116534e-01,-1.121081885802697187e-01,-2.818514741818986646e+00,1.241160857503379011e+00,3.325119641591085112e-02,8.704039298213797156e+04,0.000000000000000000e+00
3.221518987341772111e-01,-2.868614218863913212e+00,1.301941442287611927e+01,2.168684649442860490e-01,8.189736864596175892e+00,1.494669619469864985e-01,3.715970719199215150e-02,8.275143605065284902e-01,1.349426717871058834e+01,0.000000000000000000e+00,1.349426717871058834e+01,-4.748527558344686206e-01,-1.491027412406963626e-01,-2.868614218863913212e+00,1.241424054507321184e+00,3.328572129868216656e-02,9.022832451354159275e+04,0.000000000000000000e+00
3.335443037974683556e-01,-2.916693021937766694e+00,1.349193007414563006e+01,2.129042872047653412e-01,8.186098287541193841e+00,1.603539248189987387e-01,3.918773400361953707e-02,8.565963931839285506e-01,1.397147112609131625e+01,0.000000000000000000e+00,1.397147112609131625e+01,-4.795410519456854703e-01,-1.842463916207589258e-01,-2.916693021937766694e+00,1.241120597180935592e+00,3.324591526570066374e-02,9.342213075701727939e+04,0.000000000000000000e+00
