r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.091836734693877597e-01,-9.329510476833924315e-01,4.519186184615898938e+00,2.035823050050104832e-01,3.335593139667844653e+00,1.113227950207058663e-02,2.577461943176076378e-03,1.100255102331471058e-01,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,-5.428883489577379651e-02,2.447626541662799304e-01,-9.329510476833924315e-01,4.768705011980395869e-01,1.141806774659406484e-02,3.123060824118013261e+04,5.211506068829559979e+01
1.275510204081632681e-01,-9.346520534060881458e-01,5.269602944599768080e+00,1.755411077802133124e-01,4.775568726476013381e+00,1.898088757108419219e-02,3.789500409605546863e-03,1.607003825862867441e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,-7.324170436246567328e-02,2.853271027444894137e-01,-9.346520534060881458e-01,6.005415218257378340e-01,1.292335308971401947e-02,3.622107871023964981e+04,4.530120906223298327e+00
1.459183673469388043e-01,-9.800051884131725233e-01,6.018481235066392543e+00,1.614159696830846369e-01,5.418212857814268091e+00,2.681838270943746882e-02,4.962560029002877765e-03,1.987424179111015599e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412796631e+00,-9.373304334640431001e-02,3.236798124504553509e-01,-9.800051884131725233e-01,6.518551731957643591e-01,1.405460442984710935e-02,4.126928666089611943e+04,4.158170407830807846e+01
1.642857142857143127e-01,-1.044975096893379529e+00,6.766531435412518114e+00,1.532224610812110699e-01,5.720999653439092114e+00,3.506035044688713548e-02,6.200825406587858954e-03,2.310651139516226582e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863357830e+00,-1.150524724508399516e-01,3.573729389543688351e-01,-1.044975096893379529e+00,6.749633738693074925e-01,1.473597917518503983e-02,4.633846928342117462e+04,7.396329800357640538e-01
1.826530612244898211e-01,-1.121286736460520350e+00,7.514567468846436782e+00,1.481222049832064680e-01,5.846556135623952599e+00,4.381730450885328726e-02,7.525398755769716758e-03,2.600069854472468189e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,-1.363860684674825796e-01,3.839132068602902348e-01,-1.121286736460520350e+00,6.844303326260460230e-01,1.503480360278500703e-02,5.142132665879845445e+04,1.122312968637663610e+00
2.010204081632653295e-01,-1.204265833247370576e+00,8.263526813002773252e+00,1.447139306004230352e-01,5.875169206513330522e+00,5.313106189665246087e-02,8.940317857661720866e-03,2.866784094681781858e-01,8.420323166764481115e+00,0.000000000000000000e+00,8.420323166764481115e+00,-1.567963537617075021e-01,4.015534460568825348e-01,-1.204265833247370576e+00,6.865877581711050670e-01,1.510290271150172697e-02,5.651795509880268946e+04,1.495922803839421533e+02
2.193877551020408379e-01,-1.290925496009033280e+00,9.014305389063345331e+00,1.422414049070609698e-01,5.850167826813969185e+00,6.303166881643569586e-02,1.044438542115699517e-02,3.117544314159914620e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215043202e+00,-1.753874071516972333e-01,4.097766501192049438e-01,-1.290925496009033280e+00,6.847026541417732259e-01,1.504339942781724761e-02,6.163084661157460505e+04,3.375337584387028045e+01
2.377551020408163462e-01,-1.379227523122906085e+00,9.767525119930047239e+00,1.402779968588269977e-01,5.795996154773128239e+00,7.354722480931222273e-02,1.203415340110839185e-02,3.356952028149542411e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,-1.915373057355557185e-01,4.092199057219238489e-01,-1.379227523122906085e+00,6.806181100698938113e-01,1.491447084836004626e-02,6.676197008743905462e+04,1.833456562278124409e+02
2.561224489795918546e-01,-1.467739982992484649e+00,1.052341966631235337e+01,1.385796939530422878e-01,5.726635076942726776e+00,8.469905835732327581e-02,1.370472253615327880e-02,3.588095565111038554e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,-2.050123888038115072e-01,4.011807336413644176e-01,-1.467739982992484649e+00,6.753882848014816087e-01,1.474939148312369094e-02,7.191144039984802657e+04,1.897572607848619839e+02
2.744897959183673630e-01,-1.555498452173920132e+00,1.128188600451414203e+01,1.370119179073813476e-01,5.649795360914142250e+00,9.649669784712716636e-02,1.545010614167536579e-02,3.812877025013214904e-01,1.149780168456672769e+01,0.000000000000000000e+00,1.149780168456672769e+01,-2.159156800525855180e-01,3.870764953025336297e-01,-1.555498452173920132e+00,6.695945702129263433e-01,1.456651295897565951e-02,7.707763571616167610e+04,1.470000000000000000e+02
2.928571428571428714e-01,-1.641906185414474972e+00,1.204262001812834448e+01,1.355057622270679774e-01,5.569425058019088048e+00,1.089363611358456774e-01,1.726358119446994369e-02,4.032311485607973367e-01,1.226717131401728800e+01,0.000000000000000000e+00,1.226717131401728800e+01,-2.245512958889432920e-01,3.681069186406862315e-01,-1.641906185414474972e+00,6.635346493746392404e-01,1.437523163808543045e-02,8.225796779869888269e+04,5.800000000000000000e+01
3.112244897959184353e-01,-1.726532543977991052e+00,1.280524504056084290e+01,1.340218709247861240e-01,5.487779100229341900e+00,1.220008553395104806e-01,1.913812605813317719e-02,4.246763470438472132e-01,1.303654094346785186e+01,0.000000000000000000e+00,1.303654094346785186e+01,-2.312959029070084660e-01,3.451423394968530234e-01,-1.726532543977991052e+00,6.573369930980721421e-01,1.418678029043574963e-02,8.744953583147170139e+04,3.000000000000000000e+00
3.295918367346939437e-01,-1.808668833713414026e+00,1.356939456698046342e+01,1.325092620612689509e-01,5.407778537496289673e+00,1.356596696274686431e-01,2.106716653821289267e-02,4.456126169592926067e-01,1.380591057291841395e+01,0.000000000000000000e+00,1.380591057291841395e+01,-2.365160059379503854e-01,3.187480629200904469e-01,-1.808668833713414026e+00,6.510329487547076299e-01,1.403477922124295001e-02,9.264927379690053931e+04,2.000000000000000000e+00
3.479591836734694521e-01,-1.888770859812837211e+00,1.433475126464774263e+01,1.310070112715607804e-01,5.327184500850097315e+00,1.498932718617903004e-01,2.304315043464989082e-02,4.660616583470960084e-01,1.457528020236897603e+01,0.000000000000000000e+00,1.457528020236897603e+01,-2.405289377212334323e-01,2.892582476555482507e-01,-1.888770859812837211e+00,6.446821386669876475e-01,1.388165055161518467e-02,9.785550165286652918e+04,4.000000000000000000e+02
3.663265306122449605e-01,-1.966778880773969673e+00,1.510105783051517037e+01,1.295121222747791512e-01,5.246168664539563764e+00,1.646740395298231519e-01,2.505912988024806137e-02,4.860192196902415884e-01,1.534464983181953635e+01,0.000000000000000000e+00,1.534464983181953635e+01,-2.435920013043660626e-01,2.568516084038353076e-01,-1.966778880773969673e+00,6.382980907657176406e-01,1.372772046262517136e-02,1.030664714483964344e+05,8.078125000000000000e+03
