r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.091836734693877597e-01,-7.203226291697267802e-01,4.531107165972847461e+00,1.576535066090331560e-01,5.967119445864568661e+00,7.900300787877949371e-03,2.467797715576363661e-03,7.933509148054056215e-02,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,-4.236785353882528693e-02,2.523218393061119613e-01,-7.203226291697267802e-01,3.458369307054349751e-01,5.053988092706217239e-02,3.105142018844461563e+04,5.127434462238967683e+01
1.275510204081632681e-01,-7.073194685767114631e-01,5.285277507739055913e+00,1.330377779478265354e-01,7.210830141124258574e+00,1.377107117018489847e-02,3.691781072874148438e-03,1.178463714761854714e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,-5.756714122317793669e-02,2.931251770250614119e-01,-7.073194685767114631e-01,4.420014810384058634e-01,5.728528336320085762e-02,3.608942809765307175e+04,4.417904524571010683e+00
1.459183673469388043e-01,-7.627675748001623290e-01,6.037849888774500684e+00,1.256652957860439346e-01,7.466575586863219094e+00,2.023229086608435007e-02,4.904779909243974986e-03,1.510792238822555311e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412796631e+00,-7.436438963829603011e-02,3.320801789123336012e-01,-7.627675748001623290e-01,4.964942545238932858e-01,5.592641336054127860e-02,4.118869454617812153e+04,3.979450476853696728e+01
1.642857142857143127e-01,-8.449175018141822369e-01,6.789271653790448724e+00,1.238123526006776748e-01,7.406074744395566789e+00,2.762378260645417111e-02,6.183286000890877293e-03,1.830355103885263346e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863357830e+00,-9.231225407290886975e-02,3.673771310979931370e-01,-8.449175018141822369e-01,5.350629334029854967e-01,5.173880373194007787e-02,4.630394546070586512e+04,7.386675894299284950e-01
1.826530612244898211e-01,-9.421088421378810418e-01,7.540104326171482185e+00,1.243022124099058962e-01,7.211341178107040228e+00,3.604484729402616244e-02,7.551402316497000944e-03,2.146731065716123155e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,-1.108492111424365240e-01,3.970550716843660455e-01,-9.421088421378810418e-01,5.650234274941401402e-01,4.655620637854404609e-02,5.142788869414107467e+04,1.428415572548582979e+00
2.010204081632653295e-01,-1.049500937118184263e+00,8.291045935678090117e+00,1.259127980038835526e-01,6.952394754360882168e+00,4.553423936128371541e-02,9.025381643516017238e-03,2.462661168052451000e-01,8.420323166764481115e+00,0.000000000000000000e+00,8.420323166764481115e+00,-1.292772310863908314e-01,4.195681730801615328e-01,-1.049500937118184263e+00,5.893503447651817773e-01,4.118100545332085971e-02,5.656120196172863507e+04,1.460274642919103201e+02
2.193877551020408379e-01,-1.164938649500451673e+00,9.042809338376754269e+00,1.281192210118285713e-01,6.659309361518406689e+00,5.611004197646801694e-02,1.060836727897482290e-02,2.778800231968229228e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215043202e+00,-1.468834578382888501e-01,4.341598019075657566e-01,-1.164938649500451673e+00,6.095506277993323341e-01,3.584551306012138949e-02,6.170708811421411519e+04,3.313340237828965940e+01
2.377551020408163462e-01,-1.287799958702230407e+00,9.795946097086307702e+00,1.307129683568002132e-01,6.344031918861602115e+00,6.776564185849984212e-02,1.231212550605363665e-02,3.094498718881958377e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,-1.631163285792953943e-01,4.408436459223805670e-01,-1.287799958702230407e+00,6.264020218856151123e-01,3.072669691785892554e-02,6.686897495232656365e+04,1.791608666701999937e+02
2.561224489795918546e-01,-1.420074576238407271e+00,1.055075518624220621e+01,1.337905536435359810e-01,6.001032604173415663e+00,8.044842583148560655e-02,1.415861809538752729e-02,3.407391384833003412e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,-1.776768688739587543e-01,4.400893492320721578e-01,-1.420074576238407271e+00,6.401325373075337222e-01,2.588925571477821569e-02,7.205093615910860535e+04,1.850567519820452560e+02
2.744897959183673630e-01,-1.564304490219685428e+00,1.130731075617535097e+01,1.374719183826554059e-01,5.623439275106926871e+00,9.394012667621913504e-02,1.615265963458359724e-02,3.709246962327683583e-01,1.149780168456672769e+01,0.000000000000000000e+00,1.149780168456672769e+01,-1.904909283913770179e-01,4.324841406884380457e-01,-1.564304490219685428e+00,6.498897131704940433e-01,2.133007119101411678e-02,7.725624513680406380e+04,1.470000000000000000e+02
