r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.365384615384616196e-02,-3.184268913222565001e+00,-1.021695999820841827e+01,3.021239826216103319e-01,2.189570906097898728e+00,8.465731260848233242e-02,2.793591593253813218e-02,2.278745595606538359e+02
1.009615384615384637e-01,-3.337995831323203433e+00,-1.232289817667694898e+01,2.645295290169055735e-01,4.093574430747864312e+00,1.544242368470681304e-01,4.402544974385817073e-02,1.764911679941282330e+01
1.182692307692307654e-01,-3.582393608785221062e+00,-1.443223671955363407e+01,2.433042226783143080e-01,5.059694902821419760e+00,2.292586391922145916e-01,6.007930527015423877e-02,2.861813554154659656e+01
1.355769230769230949e-01,-3.826482257015884514e+00,-1.654687927038628459e+01,2.272562029075892720e-01,5.729178705226468438e+00,3.108620321498482553e-01,7.673716540580041712e-02,7.178922544630276237e-01
1.528846153846153966e-01,-4.062436585425448499e+00,-1.866799370033841043e+01,2.142743328435370298e-01,6.222985070083888459e+00,3.997821643989237228e-01,9.440413127485902667e-02,1.105175513122406361e+00
1.701923076923076983e-01,-4.331292571389418811e+00,-2.079569501648387941e+01,2.053426706043807726e-01,6.484731620423907827e+00,4.972442682356231214e-01,1.135323550779428758e-01,1.661387646656745346e+03
1.875000000000000000e-01,-4.616842532535557098e+00,-2.292948247971375864e+01,1.986929317761196578e-01,6.615733590147538479e+00,6.032736638526632333e-01,1.339081412121105041e-01,6.414602505668369758e+02
2.048076923076923017e-01,-4.901337207535366502e+00,-2.506877657344068666e+01,1.930799539036990864e-01,6.687333532737559594e+00,7.173612268038381812e-01,1.552490196781921017e-01,2.302847897223582549e+03
2.221153846153846034e-01,-5.181466488947481963e+00,-2.721276072364171483e+01,1.881535433912705224e-01,6.719596063248594930e+00,8.390932008474791814e-01,1.773948441953924759e-01,2.217853427175341039e+03
2.394230769230769607e-01,-5.455718936466965374e+00,-2.936099210317574304e+01,1.837198846380279638e-01,6.723625997610628957e+00,9.680771479731816731e-01,2.002016404721819742e-01,0.000000000000000000e+00
2.567307692307692069e-01,-5.722794995084974801e+00,-3.151254166127556289e+01,1.796458991475762268e-01,6.707048172011047527e+00,1.103892134029759386e+00,2.235197506800946643e-01,0.000000000000000000e+00
2.740384615384615086e-01,-5.981821723833764537e+00,-3.366698591986570932e+01,1.758411464425792825e-01,6.675044444098357843e+00,1.246138862636453792e+00,2.472088552045720311e-01,0.000000000000000000e+00
2.913461538461538658e-01,-6.232029657316495275e+00,-3.582383757816315750e+01,1.722395045400314795e-01,6.631403324431815349e+00,1.394420307487615807e+00,2.711308082403985908e-01,0.000000000000000000e+00
3.086538461538461675e-01,-6.472676789911027129e+00,-3.798266806656271655e+01,1.687899014998253400e-01,6.579051019631124930e+00,1.548359171087974495e+00,2.951513698086433157e-01,0.000000000000000000e+00
3.259615384615384692e-01,-6.702790459493950692e+00,-4.014289477578197562e+01,1.654469805796252857e-01,6.520586279604575708e+00,1.707609665783704322e+00,3.191356325637573210e-01,0.000000000000000000e+00
3.432692307692307709e-01,-6.927723580275031878e+00,-4.230452946760966881e+01,1.623177200180793422e-01,6.449879702777897350e+00,1.872141791455947279e+00,3.430920714522454062e-01,0.000000000000000000e+00
3.605769230769230727e-01,-7.144901120597914712e+00,-4.446702770311370756e+01,1.593168833990875888e-01,6.371814976054432478e+00,2.041556581478308985e+00,3.668630454472162628e-01,0.000000000000000000e+00
3.778846153846154299e-01,-7.351172804636618707e+00,-4.663000674606738727e+01,1.563620848281975784e-01,6.291112463477716688e+00,2.215372287949051167e+00,3.902736804715994934e-01,0.000000000000000000e+00
3.951923076923077316e-01,-7.546280923127881124e+00,-4.879323422247336595e+01,1.534426449844807361e-01,6.208384045065024281e+00,2.393239923339220532e+00,4.132151614661602745e-01,0.000000000000000000e+00
4.124999999999999778e-01,-7.729563367268248442e+00,-5.095590230430772039e+01,1.505435480340522048e-01,6.124490064723827842e+00,2.574799980610376071e+00,4.355696303010690995e-01,0.000000000000000000e+00
4.298076923076923350e-01,-7.899367226714659296e+00,-5.311748042731446873e+01,1.476330083278318550e-01,6.041251705995499321e+00,2.759865441452059809e+00,4.572147522687344257e-01,0.000000000000000000e+00
4.471153846153845812e-01,-8.059895203747807102e+00,-5.527607289128413015e+01,1.447912630173673332e-01,5.954071718736210883e+00,2.948423417900273957e+00,4.783197046875929948e-01,0.000000000000000000e+00
4.644230769230768829e-01,-8.211609751323877049e+00,-5.743246599248094952e+01,1.420160152144881172e-01,5.863081704944145045e+00,3.140337997665075598e+00,4.988569441137203908e-01,0.000000000000000000e+00
4.817307692307692402e-01,-8.347589324028696467e+00,-5.958498913624163862e+01,1.391896123114692851e-01,5.775022662490647107e+00,3.334924827523358282e+00,5.183956494388604064e-01,0.000000000000000000e+00
4.990384615384615419e-01,-8.464599797384181556e+00,-6.172913339946892819e+01,1.362749810058210553e-01,5.692018735140995211e+00,3.531696569185273749e+00,5.367251302079067976e-01,0.000000000000000000e+00
5.163461538461537881e-01,-8.559537291659907510e+00,-6.385976622631511646e+01,1.332423180002631491e-01,5.615777526044922752e+00,3.730069860615942368e+00,5.536268568490634312e-01,0.000000000000000000e+00
