r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.132352941176470590e-01,-7.186231439260801768e-01,4.708015398797588347e+00,1.514691210981121972e-01,6.321458634522196363e+00,1.306813289349730532e-02,3.941194129577856552e-03,8.750229247631911844e-02,4.743188908361060108e+00,0.000000000000000000e+00,4.743188908361060108e+00,-3.517350956347188584e-02,2.512326087931098240e-01,-7.186231439260801768e-01,3.690886094086013314e-01,5.255634852267478813e-02,3.209048628832534450e+04,3.666198091874944964e+01
1.397058823529411797e-01,-7.702685927431669466e-01,5.797588886437935685e+00,1.320865961749971840e-01,7.128965205893515567e+00,2.464698785304553219e-02,6.285009317170449882e-03,1.331948579228283414e-01,5.851986315510399272e+00,0.000000000000000000e+00,5.851986315510399272e+00,-5.439742907246318537e-02,3.069904380394046228e-01,-7.702685927431669466e-01,4.615904595888408735e-01,5.453159527799607276e-02,3.905873237296393927e+04,2.813741431687926564e+00
1.661764705882353144e-01,-8.860909241590322338e-01,6.883345047718297138e+00,1.280256104020527363e-01,7.058612248315602855e+00,3.832323954568091218e-02,8.723374328514364034e-03,1.738473428505111218e-01,6.960783722659739325e+00,0.000000000000000000e+00,6.960783722659739325e+00,-7.743867494144178465e-02,3.553999458741802231e-01,-8.860909241590322338e-01,5.122911461947270428e-01,4.922151394231100846e-02,4.593447071199462516e+04,3.387710830902265968e+01
1.926470588235293935e-01,-1.026519746586413762e+00,7.966752008847948652e+00,1.281444133045484546e-01,6.748775040378387935e+00,5.439471223897941743e-02,1.133854413803009678e-02,2.126842275566281082e-01,8.069581129809076714e+00,0.000000000000000000e+00,8.069581129809076714e+00,-1.028291209611276458e-01,3.889792850999005402e-01,-1.026519746586413762e+00,5.464266908492241281e-01,4.235730317792098243e-02,5.268547367081621633e+04,6.821279855393789227e-01
2.191176470588235281e-01,-1.180324806430538498e+00,9.050641613091677584e+00,1.296814971427768803e-01,6.357676320659828129e+00,7.292882917900730955e-02,1.416581950401760159e-02,2.505303608170867391e-01,9.178378536958415879e+00,0.000000000000000000e+00,9.178378536958415879e+00,-1.277369238667379614e-01,4.030941746006195814e-01,-1.180324806430538498e+00,5.716689612605495574e-01,3.558718032822848210e-02,5.932028931916816509e+04,1.665851328442657930e-01
2.455882352941176350e-01,-1.343675886521380924e+00,1.013754030923964677e+01,1.317764631988369295e-01,5.934613304394116717e+00,9.396699917225007082e-02,1.722848050613630042e-02,2.877447675159744422e-01,1.028717594410775327e+01,0.000000000000000000e+00,1.028717594410775327e+01,-1.496356348681066872e-01,3.982384207079550098e-01,-1.343675886521380924e+00,5.914632084297318793e-01,2.933435377560235022e-02,6.585173315213696333e+04,8.595584241202726616e+01
2.720588235294117418e-01,-1.515541796318050416e+00,1.122841228502785071e+01,1.341630249967110666e-01,5.494843082798472444e+00,1.173593555882267714e-01,2.054281963097773223e-02,3.240412433356237853e-01,1.139597335125709243e+01,0.000000000000000000e+00,1.139597335125709243e+01,-1.675610662292409958e-01,3.774210634713121015e-01,-1.515541796318050416e+00,6.067956334688865416e-01,2.375204058782164410e-02,7.228452848572720541e+04,3.134470650058160146e+01
2.985294117647058765e-01,-1.698959266479226571e+00,1.232306948844835226e+01,1.370045010714613376e-01,5.029008193097579849e+00,1.424480863448674695e-01,2.410306612182654823e-02,3.579938039073633504e-01,1.250477075840643160e+01,0.000000000000000000e+00,1.250477075840643160e+01,-1.817012699580793644e-01,3.432407942744086782e-01,-1.698959266479226571e+00,6.163580551933272034e-01,1.887497425082398927e-02,7.861943951228918741e+04,1.173005489126088605e+02
3.250000000000000111e-01,-1.794212288045850201e+00,1.342098552525371602e+01,1.328990781852797676e-01,4.961201294561898401e+00,1.659948077263047883e-01,2.727685609414279982e-02,3.829608836370767544e-01,1.361356816555577076e+01,0.000000000000000000e+00,1.361356816555577076e+01,-1.925826403020546862e-01,2.972700743803666779e-01,-1.794212288045850201e+00,6.115213691594616474e-01,1.833214037830710810e-02,8.476767827641138865e+04,1.178617254785602313e+02
3.514705882352941457e-01,-1.892228098139273840e+00,1.452171570181960547e+01,1.295732939087753388e-01,4.848724394146269212e+00,1.898567404625093602e-01,3.042609326184627511e-02,4.047362109707872690e-01,1.472236557270511170e+01,0.000000000000000000e+00,1.472236557270511170e+01,-2.006498708855070923e-01,2.407543708800210513e-01,-1.892228098139273840e+00,6.033217873188226887e-01,1.770272681508631291e-02,9.080516714393143775e+04,1.020000000000000000e+02
