r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.155172413793103536e-01,-1.460259698317846855e+00,8.316786386193982139e+00,1.738081832003171012e-01,5.041524657785211971e+00,6.228305571912106514e-02,1.512538878738740530e-02,1.992423163692612631e-01,8.387524836749420842e+00,0.000000000000000000e+00,8.387524836749420842e+00,-7.073845055543857840e-02,4.263558338898904565e-01,-1.460259698317846855e+00,4.743676365106486159e-01,3.060541769914185833e-02,5.685308554407167685e+04,9.956586477425953774e+01
1.465517241379310498e-01,-1.713169969717104335e+00,1.052388374657999570e+01,1.613732213098825197e-01,5.378995492513134025e+00,1.231775315316927938e-01,2.523282226451300722e-02,3.099288974277627506e-01,1.064088971826419083e+01,0.000000000000000000e+00,1.064088971826419083e+01,-1.170059716841959363e-01,5.369798109388170815e-01,-1.713169969717104335e+00,5.905115484381773250e-01,2.403567189062487397e-02,7.104298247241482022e+04,6.989442047717857598e+00
1.775862068965517182e-01,-2.016440448795612905e+00,1.272051080911348286e+01,1.572107276872725390e-01,5.242488809338805567e+00,1.908675333101491622e-01,3.615219234351994826e-02,3.965669330853726082e-01,1.289425459977895905e+01,0.000000000000000000e+00,1.289425459977895905e+01,-1.737437906654765718e-01,6.200712965968870893e-01,-2.016440448795612905e+00,6.321678343434118386e-01,1.895906961358044540e-02,8.491249726697722508e+04,3.917901834082420010e+01
2.086206896551724144e-01,-2.254963973480607287e+00,1.491450050867176635e+01,1.500562222041538218e-01,5.277411778024715616e+00,2.606721148757125128e-01,4.707576417737897173e-02,4.617305025443838584e-01,1.514761948129373081e+01,0.000000000000000000e+00,1.514761948129373081e+01,-2.331189726219644043e-01,6.495460341354029055e-01,-2.254963973480607287e+00,6.352111273461880092e-01,1.817949969404424396e-02,9.839158977880737802e+04,9.548330553786215091e-01
2.396551724137931105e-01,-2.506997699925794354e+00,1.711728818142417907e+01,1.454260412069857955e-01,5.167701607544117337e+00,3.354336700631276869e-01,5.848903683998432634e-02,5.175180596439540315e-01,1.740098436280850080e+01,0.000000000000000000e+00,1.740098436280850080e+01,-2.836961813843201230e-01,6.205151362010439264e-01,-2.506997699925794354e+00,6.275014549895421290e-01,1.707648286330342921e-02,1.116344615965706616e+05,1.010120875835678333e-01
2.706896551724138344e-01,-2.752449283002696312e+00,1.933461377507324030e+01,1.414084857716572941e-01,5.022890577948285085e+00,4.160421592068047625e-01,7.024320846664701412e-02,5.680973866756022783e-01,1.965434924432327080e+01,0.000000000000000000e+00,1.965434924432327080e+01,-3.197354692500316564e-01,5.479250302329161659e-01,-2.752449283002696312e+00,6.168807953222730234e-01,1.595046703396634999e-02,1.246548128227288544e+05,3.750423236920032650e+02
3.017241379310344751e-01,-2.982531901270585539e+00,2.156547979384269809e+01,1.374294183115958301e-01,4.875874349807646446e+00,5.026056839531259923e-01,8.211668585750392380e-02,6.151249210097047282e-01,2.190771412583803723e+01,0.000000000000000000e+00,2.190771412583803723e+01,-3.422343319953379814e-01,4.487000897392250942e-01,-2.982531901270585539e+00,6.058299228258139379e-01,1.485890054130306094e-02,1.374358750103455677e+05,3.627784561253465105e-07
3.327586206896551713e-01,-3.194443065946049209e+00,2.380630825746300516e+01,1.333879647482266728e-01,4.732432582086807393e+00,5.945450684813224917e-01,9.399513823772863430e-02,6.589899169506312493e-01,2.416107900735280722e+01,0.000000000000000000e+00,2.416107900735280722e+01,-3.547707498898031164e-01,3.332392340259556773e-01,-3.194443065946049209e+00,5.948614876654281236e-01,1.392835725163025021e-02,1.499513659490547143e+05,3.750423240547817159e+02
3.637931034482758674e-01,-3.388197876363539862e+00,2.605372650770747001e+01,1.293208039106227836e-01,4.590463732682402487e+00,6.908837700874252974e-01,1.060765369385580636e-01,6.996119999459190497e-01,2.641444388886758077e+01,0.000000000000000000e+00,2.641444388886758077e+01,-3.607173811601109281e-01,2.059532188355104598e-01,-3.388197876363539862e+00,5.839128158592581386e-01,1.344810871675564123e-02,1.621797968791247404e+05,5.074923714439920559e+02
3.948275862068965636e-01,-3.563819537843102569e+00,2.830538804929483021e+01,1.252470033416548945e-01,4.448875311862256154e+00,7.905787102674837197e-01,1.177927009065952713e-01,7.367776870681062018e-01,2.866780877038235076e+01,0.000000000000000000e+00,2.866780877038235076e+01,-3.624207210875211027e-01,6.811180997952034910e-02,-3.563819537843102569e+00,5.728070585918697555e-01,1.298228313333258006e-02,1.741067518818721292e+05,8.700000000000000000e+01
4.258620689655172598e-01,-3.721785096629119050e+00,3.055987040740385652e+01,1.211898670593584831e-01,4.306332097747237242e+00,8.925553286109395579e-01,1.289699281830159472e-01,7.703444459836227276e-01,3.092117365189712075e+01,0.000000000000000000e+00,3.092117365189712075e+01,-3.613032444932632870e-01,-8.002615508046950765e-02,-3.721785096629119050e+00,5.614406041370312295e-01,1.252898594519180966e-02,1.857242644595097809e+05,3.800000000000000000e+01
4.568965517241379004e-01,-3.860887026121826437e+00,3.281635974549094215e+01,1.171129170448509671e-01,4.164924126864318232e+00,9.956548889369654098e-01,1.394537253216036055e-01,8.001397099495118903e-01,3.317453853341188363e+01,0.000000000000000000e+00,3.317453853341188363e+01,-3.581787879209389347e-01,-2.382048390007319993e-01,-3.860887026121826437e+00,5.497021145739626746e-01,1.211967233487988224e-02,1.970270824175140297e+05,3.000000000000000000e+00
4.879310344827585966e-01,-3.981731134438610820e+00,3.507438816955053085e+01,1.130385372548308037e-01,4.023368892965872412e+00,1.098909204750693647e+00,1.491156134498229924e-01,8.261691523620440236e-01,3.542790341492665362e+01,0.000000000000000000e+00,3.542790341492665362e+01,-3.535152453761257751e-01,-4.058821329089738472e-01,-3.981731134438610820e+00,5.376069920434536353e-01,1.173885239540104278e-02,2.080135262450317095e+05,2.000000000000000000e+00
5.189655172413792927e-01,-4.085343399381992313e+00,3.733367056698939734e+01,1.089941844843279606e-01,3.880093237577726839e+00,1.201342798164583225e+00,1.579037464625596132e-01,8.484341200981458941e-01,3.768126829644142362e+01,0.000000000000000000e+00,3.768126829644142362e+01,-3.475977294520236627e-01,-5.822670813746008145e-01,-4.085343399381992313e+00,5.251581421668840566e-01,1.139562543172914499e-02,2.186832561071637319e+05,6.933593750000000000e+02
5.500000000000000444e-01,-4.170958400163381263e+00,3.959401808014197854e+01,1.049560489156340648e-01,3.736461362765546745e+00,1.301526019291906255e+00,1.657897325634719310e-01,8.666399417021497520e-01,3.993463317795620071e+01,0.000000000000000000e+00,3.993463317795620071e+01,-3.406150978142249985e-01,-7.664538450921433155e-01,-4.170958400163381263e+00,5.121813312753940028e-01,1.113793925257161761e-02,2.290353225630321540e+05,1.046875000000000000e+03
5.810344827586206851e-01,-4.229754184196826472e+00,4.185529859172939382e+01,1.007146816853415755e-01,3.604473804426398864e+00,1.397052150377899871e+00,1.721741951665285153e-01,8.799222545775767790e-01,4.218799805947096360e+01,0.000000000000000000e+00,4.218799805947096360e+01,-3.326994677415673896e-01,-9.575105574165075906e-01,-4.229754184196826472e+00,4.982146914920824177e-01,1.091666660095037648e-02,2.390646052464608510e+05,0.000000000000000000e+00
