r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,1.618778987542067682e+01,-1.833684210076324206e+00,-1.458001365475771749e+00,1.035373247660727714e+02,1.702652031495729967e-02,-5.012313404725733668e-02
1.890624999999999944e-02,-1.222839421107082813e+01,-7.714346996465554440e+00,1.007997552388855800e+00,-3.411764187503489154e+01,9.879872909292085684e-03,1.685120314744441294e-02
2.901041666666666352e-02,-2.676939137473194563e+01,-1.101991605554828446e+01,1.180277905774813396e+00,-4.035221538070899072e+01,2.554776346002153239e-02,6.828630237511598700e-02
3.911458333333332760e-02,-3.660799301751250567e+01,-1.281596095017117953e+01,1.234044527157590387e+00,-3.979645222825632800e+01,3.630345734401586866e-02,1.156210384659229207e-01
4.921874999999999167e-02,-4.299298058664236066e+01,-1.644306046961447620e+01,1.205502184448162595e+00,-3.452473281722647869e+01,5.129525867749017143e-02,1.484087105783071792e-01
5.932291666666666269e-02,-4.695549305499196180e+01,-2.194904263431153524e+01,1.133531400597997285e+00,-2.676474701800007239e+01,7.158743878959317186e-02,1.671019754285840431e-01
6.942708333333333370e-02,-4.970657000967646866e+01,-2.803474313983452859e+01,1.057264503668191802e+00,-1.875861207099931960e+01,9.224985174034350255e-02,1.767555857565450972e-01
7.953124999999999778e-02,-5.205333755103807647e+01,-3.406916442984642401e+01,9.912607338156046444e-01,-1.134051099012962283e+01,1.102724662360611285e-01,1.810666642634132517e-01
8.963541666666666186e-02,-5.459436448265164898e+01,-3.983033308947307916e+01,9.405000664048934755e-01,-4.795775345864967676e+00,1.242332279683340951e-01,1.824578624191892928e-01
9.973958333333332593e-02,-5.819762362995496829e+01,-4.522655670763228386e+01,9.101629265836244098e-01,5.787783647556494770e-01,1.657205018156454601e-01,2.250376549496844181e-01
1.098437499999999900e-01,-6.553121663662837193e+01,-5.043157809340082309e+01,9.148807152325780789e-01,3.944832622899511421e+00,3.214319982816173371e-01,4.293651142847150770e-01
1.199479166666666541e-01,-9.881559732137755248e+01,-5.812396915688511712e+01,1.039093708141982209e+00,4.643160048658714345e-01,2.182202609860914855e-01,3.950280949556845278e-01
