r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.232152324816705169e-01,-5.152922178909670414e+00,-1.020367858190988741e+01,4.676446401155049948e-01,-1.129406419053270483e+01,1.351175024095763455e-01,7.384271531085226381e-02,3.656155228527035774e+02
1.691557224778565405e-01,-5.262010154035548837e+00,-1.402346691734110173e+01,3.589713401481496868e-01,-5.263971328072630129e+00,2.367235881890958626e-01,9.771743928277829006e-02,3.182251642765560362e+01
2.141084134137167250e-01,-5.381652796964344176e+00,-1.775731930001487768e+01,2.942679333990210755e-01,-1.753167772657850065e+00,3.602353458200718284e-01,1.220953788487175590e-01,5.788773134056261682e+01
2.580577789817636858e-01,-5.533518118883159254e+00,-2.138339064271724155e+01,2.532216508771928387e-01,4.021824091159356129e-01,5.805531328846120775e-01,1.674830840297029388e-01,6.203721383091117536e-01
3.009886394152362366e-01,-5.624466200350402012e+00,-2.492640573421371641e+01,2.219262689678336287e-01,1.998847139343713053e+00,1.119261679008443311e+00,2.729002911793912967e-01,7.446222346617651366e-01
3.428861667310721950e-01,-5.787817984348818001e+00,-2.841103867756799417e+01,2.009672470999718241e-01,3.003282063666022239e+00,1.615780374049984980e+00,3.534235570490524281e-01,2.226974093860888843e+03
3.837358898513780203e-01,-5.971111663916301104e+00,-3.180548740507450134e+01,1.855782539900929506e-01,3.688577848389414271e+00,2.117347043608737156e+00,4.272163445195893416e-01,1.834902043240704188e+03
4.235236996016248368e-01,-6.126082868588370367e+00,-3.511584745758041493e+01,1.727153668674997478e-01,4.229138421438610962e+00,2.631179581624808250e+00,4.946724887948058536e-01,4.061876137101593031e+03
4.622358535838476667e-01,-6.314615034790433512e+00,-3.834314327033918346e+01,1.632218432019231502e-01,4.576648688755144079e+00,3.118816649399527297e+00,5.552512478997109202e-01,2.665956902076356528e+03
4.998589809231621106e-01,-6.491787845478086183e+00,-4.147303905913896216e+01,1.552703641606733298e-01,4.835806307276918403e+00,3.584022557630150985e+00,6.086318214166599461e-01,0.000000000000000000e+00
5.363800868859593951e-01,-6.668729843603823149e+00,-4.451434711298318092e+01,1.487049034088240296e-01,5.015550927488101607e+00,4.019731397924187100e+00,6.555121987201670830e-01,0.000000000000000000e+00
5.717865573681857327e-01,-6.828432928156132675e+00,-4.746366888634694448e+01,1.428861053350408972e-01,5.152514927526155475e+00,4.419551175557896450e+00,6.949745942800381604e-01,0.000000000000000000e+00
6.060661632521548992e-01,-7.031358251367850976e+00,-5.031709500881287056e+01,1.388418543042096442e-01,5.187804871455646172e+00,4.759473215387203027e+00,7.288897551095714356e-01,0.000000000000000000e+00
6.392070646303905646e-01,-7.226803505968476316e+00,-5.307805303611680614e+01,1.353221628911785435e-01,5.193039763182194513e+00,5.055353882771908225e+00,7.560289228396880334e-01,0.000000000000000000e+00
6.711978148950368261e-01,-7.414061040620076426e+00,-5.574427546214307228e+01,1.322252833751059453e-01,5.174049317685100569e+00,5.303692676593847466e+00,7.762793131513407996e-01,0.000000000000000000e+00
7.020273646914270138e-01,-7.545566987196688835e+00,-5.832064506614469934e+01,1.286659667548143704e-01,5.181554566550003571e+00,5.522519949232927772e+00,7.882838895465480444e-01,0.000000000000000000e+00
7.316850657344448061e-01,-7.734866154588897480e+00,-6.077547624098456680e+01,1.265889786696804686e-01,5.104128646498564237e+00,5.657510126980465515e+00,7.951106657768000074e-01,0.000000000000000000e+00
7.601606744863580456e-01,-7.889657600636040158e+00,-6.314856131848612364e+01,1.242939891941228087e-01,5.039193286046387499e+00,5.754837359201874669e+00,7.949328395028484318e-01,0.000000000000000000e+00
7.874443556948564904e-01,-7.341738920449885519e+00,-6.546967354070253009e+01,1.116729909126651515e-01,5.565894649387207238e+00,6.063314717841766566e+00,7.648936477193727379e-01,0.000000000000000000e+00
8.135266857900711468e-01,-7.303704087864700156e+00,-6.764972627727317445e+01,1.075469729413632003e-01,5.605869493909366064e+00,6.109649679778108577e+00,7.465811179496348871e-01,0.000000000000000000e+00
8.383986561394015657e-01,-7.017165554986426912e+00,-6.975163064738734420e+01,1.002648269376437001e-01,5.826677154291980187e+00,6.155893057838722093e+00,7.146841842116598009e-01,0.000000000000000000e+00
