r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.232152324816705169e-01,-7.514549240217596182e-01,-5.003940990683058310e+00,1.490587638961382300e-01,6.459561929314268980e+00,7.918533432495027113e-02,1.343356147205412854e-02,4.194198996079322797e+02
1.691557224778565405e-01,-8.221333921900433328e-01,-6.826581499891655191e+00,1.198539817688180770e-01,7.936444115380240305e+00,1.568783650851756639e-01,2.297557998778003083e-02,9.480743724934771421e+01
2.141084134137167250e-01,-9.762077117042295971e-01,-8.640506991729253627e+00,1.125033073538881240e-01,8.161178164501951215e+00,2.470978910454060540e-01,3.463345948606286889e-02,1.779877885829512252e+01
2.580577789817636858e-01,-1.143280792923754507e+00,-1.043626617871327511e+01,1.091137329510916687e-01,8.158957900699192578e+00,3.483855300992377280e-01,4.762189150684960348e-02,2.096239708377141756e-02
3.009886394152362366e-01,-1.308285751800795094e+00,-1.220338513467000041e+01,1.067988798393239985e-01,8.095160642767632808e+00,4.579108989189403234e-01,6.133845340860688555e-02,2.793771088891021034e-02
3.428861667310721950e-01,-1.465987277707447412e+00,-1.393494000147451217e+01,1.048167146833669794e-01,8.012301769073289393e+00,5.725626948587845266e-01,7.525378089110235091e-02,4.869470920939346252e+04
3.837358898513780203e-01,-1.614350961451332278e+00,-1.562666417497666771e+01,1.029422802051630781e-01,7.923270382219608443e+00,6.892819095210909186e-01,8.903680857379760172e-02,9.900329469438108208e+04
4.235236996016248368e-01,-1.753038089736374872e+00,-1.727584972381319517e+01,1.011271864074585608e-01,7.830839024819878702e+00,8.052925999626197040e-01,1.022630158467497524e-01,1.476980039037745446e+05
4.622358535838476667e-01,-1.882014791462863990e+00,-1.888063177127500580e+01,9.935146552002600828e-02,7.736151765834418548e+00,9.181086574107787390e-01,1.146092682333258173e-01,3.971284644909680992e+03
4.998589809231621106e-01,-2.001297392589636459e+00,-2.043956538319377358e+01,9.760180582835674412e-02,7.639971310322656528e+00,1.025558372622003667e+00,1.258277780172171179e-01,0.000000000000000000e+00
5.363800868859593951e-01,-2.110766987791859783e+00,-2.195137163126523205e+01,9.586177310201075830e-02,7.543239270328352397e+00,1.125807922066949907e+00,1.357221593205870658e-01,0.000000000000000000e+00
5.717865573681857327e-01,-2.212849562754294119e+00,-2.341476967392330266e+01,9.422670640960739696e-02,7.440493119596909288e+00,1.217528013419625799e+00,1.441922507767268713e-01,0.000000000000000000e+00
