r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.232152324816705169e-01,-7.448778883861744138e-01,-5.008017735139673299e+00,1.476545807681883538e-01,6.540015696209273699e+00,7.963557454989853013e-02,1.342852766959749637e-02,4.258722419767120755e+02
1.691557224778565405e-01,-8.147029563118477480e-01,-6.830510138711153090e+00,1.187132702671574863e-01,8.001802070067421724e+00,1.578092581338185751e-01,2.296634684278160005e-02,9.602129970115575475e+01
2.141084134137167250e-01,-9.663148409079234114e-01,-8.644477810753905089e+00,1.113219158496195210e-01,8.228866911649152627e+00,2.485058994714409442e-01,3.463160405128323793e-02,1.742530469069366461e+01
2.580577789817636858e-01,-1.131267360967286528e+00,-1.044037442475856636e+01,1.079339599728487836e-01,8.226553913136090301e+00,3.503244035983277826e-01,4.760679527500442931e-02,2.115178026885602969e-02
3.009886394152362366e-01,-1.294265299485452658e+00,-1.220765143784852924e+01,1.056262452300769095e-01,8.162347656788462302e+00,4.604172506949383847e-01,6.131024219955390209e-02,4.889901849208126011e-02
3.428861667310721950e-01,-1.450074095833785215e+00,-1.393933261941624124e+01,1.036546778531559215e-01,8.078881575083144639e+00,5.756504418284017488e-01,7.521180478859942897e-02,4.929738507497458340e+04
3.837358898513780203e-01,-1.596962125489886919e+00,-1.563109785520631689e+01,1.018124514643879569e-01,7.988004800638603520e+00,6.929575683578108602e-01,8.887868773286275448e-02,1.004689134223852598e+05
4.235236996016248368e-01,-1.734237118891674978e+00,-1.728017977302300068e+01,1.000249766927254896e-01,7.893990989612402309e+00,8.094677801244802851e-01,1.020749795264716542e-01,1.497662984973598504e+05
4.622358535838476667e-01,-1.862169291703179574e+00,-1.888465676687155792e+01,9.828977658136717199e-02,7.796982061175293133e+00,9.226736504202784905e-01,1.143939868411149446e-01,4.022130796390595606e+03
4.998589809231621106e-01,-1.980826206339092899e+00,-2.044304513778063637e+01,9.659333082927189229e-02,7.697752671514678013e+00,1.030370482700674328e+00,1.255891276348014840e-01,0.000000000000000000e+00
5.363800868859593951e-01,-2.090164387173913063e+00,-2.195404768020974018e+01,9.492023010193549604e-02,7.597185710462751373e+00,1.130692513970232627e+00,1.354655959276181987e-01,0.000000000000000000e+00
5.717865573681857327e-01,-2.189996960851651409e+00,-2.341636696015835284e+01,9.325294264416116030e-02,7.496285673599746069e+00,1.222145175918794235e+00,1.438750870274888571e-01,0.000000000000000000e+00
6.060661632521548992e-01,-2.284912130341309577e+00,-2.482854055809994165e+01,9.176916104549631692e-02,7.384871525493841737e+00,1.303852829552951897e+00,1.508004071027123916e-01,0.000000000000000000e+00
6.392070646303905646e-01,-2.370230869428405107e+00,-2.618875131987286409e+01,9.025977305991635113e-02,7.274924515286755877e+00,1.374387671613482631e+00,1.560833706035416046e-01,0.000000000000000000e+00
6.711978148950368261e-01,-2.445614261004426027e+00,-2.749453181079741881e+01,8.871563513735500339e-02,7.166968529807048682e+00,1.432864032226111695e+00,1.596808010510045728e-01,0.000000000000000000e+00
7.020273646914270138e-01,-2.509775054564934216e+00,-2.874222658058864255e+01,8.709921004260476329e-02,7.063154294206700712e+00,1.478684225133938046e+00,1.615596960453826170e-01,0.000000000000000000e+00
7.316850657344448061e-01,-2.562797600377986207e+00,-2.992589015191144952e+01,8.542970382467428292e-02,6.962381382936394303e+00,1.511624231967576337e+00,1.618536385310536396e-01,0.000000000000000000e+00
7.601606744863580456e-01,-2.602229691715574944e+00,-3.103489777974036556e+01,8.365282591263883960e-02,6.867760416577469940e+00,1.531397558004777393e+00,1.605936272585098967e-01,0.000000000000000000e+00
7.874443556948564904e-01,-2.614367948382122719e+00,-3.204873927307059489e+01,8.139452596510049487e-02,6.800722901017462796e+00,1.537090564294266937e+00,1.572333995686028274e-01,0.000000000000000000e+00
8.135266857900711468e-01,-2.580192384503121161e+00,-3.292605558295927182e+01,7.820342382227489508e-02,6.787131014367950854e+00,1.527771542989963871e+00,1.512646512490018469e-01,0.000000000000000000e+00
8.383986561394015657e-01,-2.456537969808792354e+00,-3.358448230869358042e+01,7.301500053367515619e-02,6.887977199703531284e+00,1.502360981465307388e+00,1.415397991327594918e-01,0.000000000000000000e+00
8.620516761590263366e-01,-2.168102226023714607e+00,-3.389221936471162167e+01,6.388345328279479429e-02,7.214747746174694498e+00,1.463771759235372061e+00,1.267818335411682318e-01,0.000000000000000000e+00
8.844775762810246356e-01,-1.647013641933124717e+00,-3.402899592065200807e+01,4.836255992798505626e-02,7.907600858249366205e+00,1.448586865294927195e+00,1.071379147310999869e-01,0.000000000000000000e+00
9.056686107750806514e-01,-1.696915868144293071e+00,-3.902203873254105559e+01,4.345870923164701916e-02,7.992142235083255386e+00,1.783561414549482693e+00,1.236636357776415146e-01,0.000000000000000000e+00
9.256174604237972225e-01,8.374404725097743807e+00,-6.869876336003378015e+01,-1.213018966691520317e-01,1.723580101178871615e+01,3.504911481605408330e+00,3.281979924064772347e-01,0.000000000000000000e+00
9.443172350506974233e-01,1.556558309084795511e+01,-8.248154714673047749e+01,-1.865223392739566166e-01,2.077622853959066873e+01,4.773650312312598842e+00,1.343982506260547050e-01,0.000000000000000000e+00
9.617614759000370217e-01,3.159096898580739321e+01,-7.938015349700863510e+01,-3.787556891761783562e-01,3.159395959922099806e+01,4.477322534201904958e+00,-7.413339168646613242e-01,0.000000000000000000e+00
9.779441578676075775e-01,4.016803928047600891e+01,-1.167133547332740591e+02,-3.314624816922233652e-01,2.868782983932528907e+01,8.576653513816216545e+00,-1.006276033925547875e+00,0.000000000000000000e+00
9.928596915817619051e-01,-1.785088256251883649e+02,-5.984920626600837750e+02,2.898636640107226103e-01,-7.107964582012538557e+00,9.504827247420396930e+01,3.174891115953484544e+01,0.000000000000000000e+00
