r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm,  misc
1.236842105263157993e-01,-1.105830098401487049e+00,5.098215263679501952e+00,2.135965990935028980e-01,2.761816353594417350e+00,6.086133583118617796e-02,1.415894633454497543e-02,2.064010353299700340e-01,5.180872095393694643e+00,7.492619312269380316e+01
1.710526315789473728e-01,-1.345727677371900244e+00,7.009330642866229866e+00,1.896827726330983510e-01,3.826422126228317566e+00,1.285512589500533431e-01,2.647117368085279490e-02,3.168789664928065020e-01,7.165035876608301102e+00,5.756451511474812932e+00
2.184210526315789602e-01,-1.632368156199969444e+00,8.926662683756502403e+00,1.808659807149190224e-01,4.026031536429488966e+00,2.094304946543631696e-01,4.116920764539964278e-02,4.053015810735807745e-01,9.149199657822906673e+00,2.005750446099124673e+01
2.657894736842105199e-01,-1.928647539115913023e+00,1.086407132703689982e+01,1.756948736755444829e-01,4.016758589640485155e+00,3.045418245288953329e-01,5.823359319837385917e-02,4.842297805505856867e-01,1.113336343903751313e+01,1.604357575776902189e+00
3.131578947368421351e-01,-2.217586775632400808e+00,1.282024568633475603e+01,1.712805278550813270e-01,3.964126418908684002e+00,4.142968862523170315e-01,7.734350652461986775e-02,5.581992376831440561e-01,1.311752722025212137e+01,9.782308824850668216e+00
3.605263157894736947e-01,-2.493075794751055341e+00,1.478788949918278384e+01,1.670184899415636248e-01,3.902767647922434691e+00,5.377793583582506365e-01,9.805457051572613603e-02,6.281310661544771135e-01,1.510169100146672605e+01,5.500331269681619517e+01
4.078947368421052544e-01,-2.753958415906814228e+00,1.676155321026224598e+01,1.628471409140368475e-01,3.836212786520162510e+00,6.734426015052064063e-01,1.199294063286105577e-01,6.939334852987032454e-01,1.708585478268133073e+01,9.070735663584015640e+01
4.552631578947368696e-01,-3.000195967724680557e+00,1.873809333941857602e+01,1.587645878070206851e-01,3.764570293634655229e+00,8.196053669321476942e-01,1.425613209799813930e-01,7.554240680787251971e-01,1.907001856389593897e+01,1.457106693326563516e+02
5.026315789473684292e-01,-3.231856740764973424e+00,2.071553932317880964e+01,1.547636524847735284e-01,3.688251446148676393e+00,9.746265062442903693e-01,1.655782912642175808e-01,8.125197927908053286e-01,2.105418234511054365e+01,2.411256770559351423e+02
5.500000000000000444e-01,-3.448750608135326523e+00,2.269227730387371267e+01,1.508248786751222315e-01,3.608371006342805387e+00,1.136963116556502840e+00,1.886367034187390324e-01,8.652493505132148321e-01,2.303834612632515189e+01,5.700000000000000000e+01
5.973684210526315486e-01,-3.649961858030858597e+00,2.466670043362720222e+01,1.469052266269135487e-01,3.527394970309416067e+00,1.305333868738141279e+00,2.114167232017767351e-01,9.138282787832285869e-01,2.502250990753975657e+01,1.800000000000000000e+01
6.447368421052631637e-01,-3.832345397643938334e+00,2.663746818011073358e+01,1.428899861892042045e-01,3.451895745564867113e+00,1.479144208619211254e+00,2.336100744632881032e-01,9.588545723030101886e-01,2.700667368875436480e+01,3.000000000000000000e+00
6.921052631578947789e-01,-3.990060563731109955e+00,2.860554862037995605e+01,1.385913412008784595e-01,3.392634405465438263e+00,1.659858491018016746e+00,2.549759851085062201e-01,1.001923256107397409e+00,2.899083746996897304e+01,3.000000000000000000e+00
7.394736842105262831e-01,-4.111435414499401197e+00,3.058372647765457941e+01,1.336309776611025180e-01,3.371286745589619827e+00,1.854025931407281336e+00,2.754499762041109356e-01,1.046671331534018368e+00,3.097500125118357417e+01,0.000000000000000000e+00
7.868421052631578982e-01,-4.172747503891175214e+00,3.264174941663564766e+01,1.271450807910167735e-01,3.437345707047085419e+00,2.084842605626394452e+00,2.957484827049575715e-01,1.102656191467834779e+00,3.295916503239818240e+01,0.000000000000000000e+00
8.342105263157895134e-01,-4.118324096762814079e+00,3.512504239317989629e+01,1.167146415612831806e-01,3.729410297822950859e+00,2.444521551399535308e+00,3.200796329516357730e-01,1.201265803109466512e+00,3.494332881361278709e+01,0.000000000000000000e+00
8.815789473684210176e-01,-3.869350994731576954e+00,3.933945319268293872e+01,9.804267362953771048e-02,4.493679699960027918e+00,3.252328372700449943e+00,3.625562754546550748e-01,1.426578570952827141e+00,3.692749259482739177e+01,0.000000000000000000e+00
9.289473684210526327e-01,4.175776823228712686e+00,4.490176700071839377e+01,-9.273133167642078067e-02,1.511866948924226683e+01,3.524808301131546528e+00,4.319502193793613443e-01,1.325956583792740950e+00,3.891165637604200356e+01,0.000000000000000000e+00
9.763157894736842479e-01,-5.948295934860625245e+00,2.365919256433205220e+01,2.463107803180685229e-01,-4.612568160799311201e+00,4.894558581695582222e-01,1.401221331475832055e-01,3.594632800423390173e-01,4.089582015725660824e+01,0.000000000000000000e+00
1.236842105263157993e-01,-1.100373688075635847e+00,5.078144944992037502e+00,2.133891347277411532e-01,2.773703186151925237e+00,6.047582375988967696e-02,1.405406327357934873e-02,2.059021690091051848e-01,5.180872095393693755e+00,0.000000000000000000e+00
1.710526315789473728e-01,-1.339705513404279680e+00,6.990160121526231229e+00,1.893596764132220445e-01,3.844934176003858894e+00,1.281106290588330532e-01,2.633517270417575287e-02,3.166564834884401103e-01,7.165035876608300214e+00,0.000000000000000000e+00
2.184210526315789602e-01,-1.624660842739490407e+00,8.908203204050419544e+00,1.803954110604324146e-01,4.052993191598501355e+00,2.091454125223062566e-01,4.100753368982060221e-02,4.055848072960409056e-01,9.149199657822906673e+00,0.000000000000000000e+00
2.657894736842105199e-01,-1.918550099119001429e+00,1.084601389066533095e+01,1.750787987144565017e-01,4.052057084774514095e+00,3.046378087767481757e-01,5.805090807585348844e-02,4.851829737284477639e-01,1.113336343903751136e+01,0.000000000000000000e+00
3.131578947368421351e-01,-2.204588713271244504e+00,1.280224376199812752e+01,1.705307945920762347e-01,4.007082970639446629e+00,4.150553885309925528e-01,7.714853739233697161e-02,5.599985102612899945e-01,1.311752722025211959e+01,0.000000000000000000e+00
3.605263157894736947e-01,-2.476144613991562604e+00,1.476958001414866217e+01,1.661068964269218906e-01,3.954998108942902491e+00,5.395285598544622419e-01,9.784093544300731526e-02,6.309428010615730775e-01,1.510169100146672427e+01,0.000000000000000000e+00
4.078947368421052544e-01,-2.731853967040186237e+00,1.674251165875483593e+01,1.617433380082893002e-01,3.899456034433773866e+00,6.766238031930748020e-01,1.196879134405428868e-01,6.979876623875228558e-01,1.708585478268133073e+01,0.000000000000000000e+00
4.552631578947368696e-01,-2.971306692736343624e+00,1.871776541633946778e+01,1.574290053159325131e-01,3.841093533565576479e+00,8.248278209516977100e-01,1.422787866411156787e-01,7.610411333202928841e-01,1.907001856389593897e+01,0.000000000000000000e+00
5.026315789473684292e-01,-3.194023554095458017e+00,2.069314649492334723e+01,1.531432053747310285e-01,3.781096226478283029e+00,9.827167670707039893e-01,1.652323441554333083e-01,8.201221930418416406e-01,2.105418234511054365e+01,0.000000000000000000e+00
5.500000000000000444e-01,-3.399209811425863759e+00,2.266667790558008022e+01,1.488557805703803194e-01,3.721192017191725654e+00,1.148997491150876238e+00,1.881904838067333385e-01,8.753580045573345902e-01,2.303834612632515189e+01,0.000000000000000000e+00
5.973684210526315486e-01,-3.585444017089471913e+00,2.463621839808860869e+01,1.445208409979303610e-01,3.664010203581797853e+00,1.322608884745558155e+00,2.108114270454546635e-01,9.270199928557203428e-01,2.502250990753975657e+01,0.000000000000000000e+00
6.447368421052631637e-01,-3.749960666558636024e+00,2.659986634031948682e+01,1.400537112243537829e-01,3.614402330589411960e+00,1.503113790367432090e+00,2.327704588466021907e-01,9.757082732489860133e-01,2.700667368875436125e+01,0.000000000000000000e+00
6.921052631578947789e-01,-3.886986364425859097e+00,2.855913605295110713e+01,1.352719048122587586e-01,3.582824100895494190e+00,1.692016051959346123e+00,2.537943267748971610e-01,1.022915790663005531e+00,2.899083746996896949e+01,0.000000000000000000e+00
