r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.155172413793103536e-01,-5.869875740443660783e-01,4.802764603917341724e+00,1.216155380566281557e-01,8.031942946142560658e+00,1.429285748981490821e-02,5.160899217881360565e-03,8.053096424256936392e-02,4.838774891736004058e+00,0.000000000000000000e+00,4.838774891736004058e+00,-3.601028781866220246e-02,2.560631618687776445e-01,-5.869875740443660783e-01,3.346063236419841713e-01,7.654720219686923788e-02,3.257738829809115123e+04,4.830979660013410637e+01
1.465517241379310498e-01,-6.240577101595988774e-01,6.081711738262193911e+00,1.022542965492281714e-01,8.944831799221518054e+00,2.712979161205163192e-02,8.644697801523715253e-03,1.199123378749014507e-01,6.138744265635229347e+00,0.000000000000000000e+00,6.138744265635229347e+00,-5.703252737303518560e-02,3.222631121533793830e-01,-6.240577101595988774e-01,3.984606813258667612e-01,8.335409410366338701e-02,4.073482984790705086e+04,4.638327023338042920e+00
1.775862068965517182e-01,-7.238893762269977827e-01,7.358138548052074235e+00,9.806385816605261985e-02,8.988497661458529464e+00,4.253003363779708779e-02,1.237654084504266616e-02,1.548898151521421185e-01,7.438713639534452859e+00,0.000000000000000000e+00,7.438713639534452859e+00,-8.057509148237830543e-02,3.791811105406555082e-01,-7.238893762269977827e-01,4.301034097616527885e-01,8.054391405661705250e-02,4.874583177901151066e+04,2.571447343250429185e+01
2.086206896551724144e-01,-8.468280655972180160e-01,8.634643930564324776e+00,9.776067177508197814e-02,8.809440390638378915e+00,6.094060696603158245e-02,1.643774456059323222e-02,1.887399593332854120e-01,8.738683013433677260e+00,0.000000000000000000e+00,8.738683013433677260e+00,-1.040390828693521369e-01,4.198880288910132874e-01,-8.468280655972180160e-01,4.514264302529759076e-01,7.549498634980754408e-02,5.659321728035368142e+04,4.104256881388164135e-01
2.396551724137931105e-01,-9.805747340611400409e-01,9.914011486876532331e+00,9.858731651058395828e-02,8.565648564708833845e+00,8.258841581899505069e-02,2.082148710089061841e-02,2.224118035290303663e-01,1.003865238733290255e+01,0.000000000000000000e+00,1.003865238733290255e+01,-1.246409004563709816e-01,4.428636843747068563e-01,-9.805747340611400409e-01,4.683033779755625958e-01,7.000020494100059332e-02,6.428624377794283646e+04,6.175995323588384656e-01
2.706896551724138344e-01,-1.119828574999869542e+00,1.119734357272165326e+01,9.967698346721823310e-02,8.306786675590254632e+00,1.076523507102779276e-01,2.551984432106350897e-02,2.563196039281659955e-01,1.133862176123212961e+01,0.000000000000000000e+00,1.133862176123212961e+01,-1.412781885104755220e-01,4.509194701979514774e-01,-1.119828574999869542e+00,4.830325900528527616e-01,6.466629181474480015e-02,7.182785534834353894e+04,1.442969641246026526e+02
3.017241379310344751e-01,-1.261446096146861873e+00,1.248417326473943412e+01,1.007018354106416352e-01,8.051638413177741427e+00,1.361909871757482349e-01,3.049581117774165587e-02,2.904778833408040439e-01,1.263859113513135135e+01,0.000000000000000000e+00,1.263859113513135135e+01,-1.544178703919168449e-01,4.469863779614255961e-01,-1.261446096146861873e+00,4.963730755723291255e-01,5.964279702714241072e-02,7.921225273479476164e+04,1.505932086461710071e+02
3.327586206896551713e-01,-1.404148466779467475e+00,1.377359284627613789e+01,1.015939891476607265e-01,7.804093197941153193e+00,1.681823257758284229e-01,3.572180939941636824e-02,3.247623774227885729e-01,1.393856050903057664e+01,0.000000000000000000e+00,1.393856050903057664e+01,-1.649676627544390539e-01,4.325186198461831166e-01,-1.404148466779467475e+00,5.086014125374291872e-01,5.498660606392226369e-02,8.643221831781696528e+04,2.948901727707736882e+02
3.637931034482758674e-01,-1.547028652149323058e+00,1.506485466779897209e+01,1.023325334469487036e-01,7.565349155179934115e+00,2.035498099660499605e-01,4.115891286276128491e-02,3.590004128252158866e-01,1.523852988292980193e+01,0.000000000000000000e+00,1.523852988292980193e+01,-1.736752151308289527e-01,4.079060622390572322e-01,-1.547028652149323058e+00,5.198216751482975795e-01,5.067741962821897123e-02,9.348201672761709779e+04,1.942897880195441189e+02
3.948275862068965636e-01,-1.689415538316493492e+00,1.635746637943183757e+01,1.029161042015913491e-01,7.335484442463074295e+00,2.421925754760557437e-01,4.677893337222666786e-02,3.930378322214684306e-01,1.653849925682902722e+01,0.000000000000000000e+00,1.653849925682902722e+01,-1.810328773971885408e-01,3.730869511138611427e-01,-1.689415538316493492e+00,5.301155998037568873e-01,4.670797240011288765e-02,1.003578343146963743e+05,8.700000000000000000e+01
