r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.102272727272727293e-01,-1.051167405260363230e+00,4.514303318408122934e+00,2.287760028155351733e-01,1.892100584796796880e+00,1.815500897788868695e-02,4.567577872767377214e-03,1.611659444684682141e-01,4.617189203003181142e+00,0.000000000000000000e+00,4.617189203003181142e+00,-1.028858845950585132e-01,2.524815918770182410e-01,-1.051167405260363230e+00,6.977983185966895041e-01,1.234984556725036986e-02,9.392836654977121214e+01
1.306818181818181768e-01,-1.067519714920848628e+00,5.335525964113016606e+00,1.974702615733196776e-01,3.557880455760198402e+00,3.165770272352521481e-02,6.784226126383965765e-03,2.374448805333967683e-01,5.473987199436760598e+00,0.000000000000000000e+00,5.473987199436760598e+00,-1.384612353237437421e-01,2.963805337122771832e-01,-1.067519714920848628e+00,8.817732630344524702e-01,1.202472827345611901e-02,9.729959033546572655e+00
1.511363636363636520e-01,-1.131137427718663435e+00,6.156592128179743106e+00,1.817014342442268837e-01,4.333460732843578356e+00,4.546457642645327507e-02,8.968503108818134256e-03,2.954271211708193734e-01,6.330785195870341830e+00,0.000000000000000000e+00,6.330785195870341830e+00,-1.741930676905985020e-01,3.370224008836726903e-01,-1.131137427718663435e+00,9.602792282583768602e-01,1.254343015696112069e-02,6.903847004808925192e+01
1.715909090909090995e-01,-1.215643956740437570e+00,6.979376460732731324e+00,1.724466075745055282e-01,4.735816264399542064e+00,6.022675383737430277e-02,1.129563049929801360e-02,3.451657999482180550e-01,7.187583192303921287e+00,0.000000000000000000e+00,7.187583192303921287e+00,-2.082067315711898514e-01,3.715501251101909208e-01,-1.215643956740437570e+00,9.982536065661181679e-01,1.292939789083949638e-02,3.137269062883996651e-01
1.920454545454545470e-01,-1.312572073835064579e+00,7.805133153030441306e+00,1.666088834319310319e-01,4.942386242986499312e+00,7.613970438600085877e-02,1.381917348019252867e-02,3.901671274437472081e-01,8.044381188737501631e+00,0.000000000000000000e+00,8.044381188737501631e+00,-2.392480357070600749e-01,3.975462544301628931e-01,-1.312572073835064579e+00,1.017134102608965973e+00,1.315662486728515039e-02,5.933808999167933945e-02
2.124999999999999944e-01,-1.416313577963672632e+00,8.634633615586608357e+00,1.625793186534893187e-01,5.045356321321593285e+00,9.327893505015391606e-02,1.654601441259997627e-02,4.320551555637225927e-01,8.901179185171081087e+00,0.000000000000000000e+00,8.901179185171081087e+00,-2.665455695844730633e-01,4.137310842706764524e-01,-1.416313577963672632e+00,1.026028505705727456e+00,1.331524827477534659e-02,4.841245923426650393e+02
2.329545454545454697e-01,-1.523910300039790666e+00,9.468231985009738949e+00,1.595812430864000375e-01,5.089226421232915243e+00,1.116944932304768379e-01,1.947258887038798986e-02,4.717894096018501737e-01,9.757977181604662320e+00,0.000000000000000000e+00,9.757977181604662320e+00,-2.897451965949230379e-01,4.200563236350375318e-01,-1.523910300039790666e+00,1.029538113698633239e+00,1.340737548458912319e-02,5.617639597167485590e+02
2.534090909090909172e-01,-1.633669312892864767e+00,1.030589793740377580e+01,1.572098250268544328e-01,5.097191690761794902e+00,1.314236619648312121e-01,2.259223769902378096e-02,5.099878441704468468e-01,1.061477517803824178e+01,0.000000000000000000e+00,1.061477517803824178e+01,-3.088772406344660881e-01,4.173507686450115273e-01,-1.633669312892864767e+00,1.030175335260943514e+00,1.342410255059976916e-02,1.045888552059413541e+03
2.738636363636363646e-01,-1.743796813682379820e+00,1.114730058727229078e+01,1.551745998935925297e-01,5.085894524512465154e+00,1.524760465089252948e-01,2.589002164914298160e-02,5.470051188623665794e-01,1.147157317447182123e+01,0.000000000000000000e+00,1.147157317447182123e+01,-3.242725871995305598e-01,4.068217013671193705e-01,-1.743796813682379820e+00,1.029271561960997117e+00,1.340037850147617754e-02,4.075675709269273739e+02
2.943181818181818121e-01,-1.853132358028584115e+00,1.199193741874981711e+01,1.533187822137228318e-01,5.064318068370575077e+00,1.748413795414775485e-01,2.934987623150492678e-02,5.830450164210406738e-01,1.232837117090540069e+01,0.000000000000000000e+00,1.232837117090540069e+01,-3.364337521555838539e-01,3.896598894902469912e-01,-1.853132358028584115e+00,1.027545445469645990e+00,1.335506794357820860e-02,1.320000000000000000e+02
