r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w,  misc
1.091836734693877597e-01,-1.129581587023023470e+00,4.519952843998585656e+00,2.448939912215240822e-01,9.686078748928377280e-01,1.345975579660495074e-02,3.688529856448921184e-03,1.331002625063102129e-01,4.573475019511672457e+00,0.000000000000000000e+00,4.573475019511672457e+00,-5.352217551308646043e-02,3.451724176593293780e-01,-1.129581587023023470e+00,6.963006109138564170e+01
1.275510204081632681e-01,-1.179940819633201965e+00,5.266240949808801197e+00,2.204171832869687431e-01,2.256442332161851638e+00,2.341669166548287356e-02,5.651669575706716464e-03,1.983543780228859410e-01,5.342844648962233656e+00,0.000000000000000000e+00,5.342844648962233656e+00,-7.660369915343243075e-02,4.032838460630259747e-01,-1.179940819633201965e+00,5.167250509442926187e+00
1.459183673469388043e-01,-1.255645706107995974e+00,6.010159213505563258e+00,2.059581032261381950e-01,2.970303261955871577e+00,3.340222695101895123e-02,7.483754166471504564e-03,2.477537472653526807e-01,6.112214278412796631e+00,0.000000000000000000e+00,6.112214278412796631e+00,-1.020550649072331922e-01,4.588722914653196039e-01,-1.255645706107995974e+00,2.093756471298807753e+01
1.642857142857143127e-01,-1.350051435829207946e+00,6.752472746369138079e+00,1.973324605953983291e-01,3.349932846952050625e+00,4.389383436211077155e-02,9.411627992567938097e-03,2.897115173694609358e-01,6.881583907863357830e+00,0.000000000000000000e+00,6.881583907863357830e+00,-1.291111614942199171e-01,5.086326179603382069e-01,-1.350051435829207946e+00,6.723303061828704852e-01
1.826530612244898211e-01,-1.455415362054747863e+00,7.494193508450219809e+00,1.918179944423603067e-01,3.551305150455538850e+00,5.500203451710008323e-02,1.146247424152259560e-02,3.270570729388586062e-01,7.650953537313919028e+00,0.000000000000000000e+00,7.650953537313919028e+00,-1.567600288636990247e-01,5.490534588162573337e-01,-1.455415362054747863e+00,6.613829357131314701e+00
2.010204081632653295e-01,-1.567255039516844750e+00,8.236616132251109335e+00,1.880312068939789250e-01,3.653688761557152276e+00,6.676910684632328397e-02,1.364467616129537778e-02,3.612147041901033195e-01,8.420323166764481115e+00,0.000000000000000000e+00,8.420323166764481115e+00,-1.837070345133711147e-01,5.775603981705208501e-01,-1.567255039516844750e+00,9.046173121764610414e+01
2.193877551020408379e-01,-1.683190737333390086e+00,8.981061027167266175e+00,1.852663932520188239e-01,3.697517581048327173e+00,7.924350149388442732e-02,1.596256117235936994e-02,3.931466778720603683e-01,9.189692796215043202e+00,0.000000000000000000e+00,9.189692796215043202e+00,-2.086317690477770548e-01,5.932935872056632753e-01,-1.683190737333390086e+00,2.210357201679996706e+02
2.377551020408163462e-01,-1.801129816579343235e+00,9.728501172286131649e+00,1.830666438722313438e-01,3.708970603163335156e+00,9.247639065448767792e-02,1.841559229869097966e-02,4.235350233161644939e-01,9.959062425665603513e+00,0.000000000000000000e+00,9.959062425665603513e+00,-2.305612533794725860e-01,5.970682705498104870e-01,-1.801129816579343235e+00,3.114974513856457747e+02
2.561224489795918546e-01,-1.919507059949615346e+00,1.047936206980403462e+01,1.811619610303541184e-01,3.703517557980552155e+00,1.065121655128620920e-01,2.100034918751103596e-02,4.528533363056843619e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,-2.490699853121316476e-01,5.906842063876954763e-01,-1.919507059949615346e+00,2.164452831963201902e+02
2.744897959183673630e-01,-2.037196969106402022e+00,1.123357672521856010e+01,1.793992136110754143e-01,3.689932212119465760e+00,1.213786687510107348e-01,2.371080333019497804e-02,4.814018542120369615e-01,1.149780168456672769e+01,0.000000000000000000e+00,1.149780168456672769e+01,-2.642249593481669212e-01,5.761398823582833950e-01,-2.037196969106402022e+00,1.470000000000000000e+02
