r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
3.197916666666666963e-02,-4.484641598287866060e+01,8.597887502922606728e+00,1.381376282791508592e+00,2.085296907657647125e+01,-3.162318052813809649e-03,1.252184227364760427e-01
3.593749999999999722e-02,-4.499558902002795691e+01,9.227864111815476278e+00,1.368517359265651878e+00,2.072016590629824861e+01,-1.548298268663175076e-03,1.249558865857140766e-01
3.989583333333333176e-02,-4.532305594287908690e+01,9.935425981948107221e+00,1.354996330846536257e+00,2.062529855199871065e+01,1.421677673845191114e-04,1.257116113945614122e-01
4.385416666666666630e-02,-4.573538981508610846e+01,1.071651053839719303e+01,1.340633146039722723e+00,2.057868320440424270e+01,1.967548443970158767e-03,1.269768797820411688e-01
4.781250000000000083e-02,-4.613694184377418139e+01,1.156532773509672296e+01,1.325183493472155138e+00,2.059431787407801551e+01,3.969541302424359902e-03,1.282415809656895778e-01
5.177083333333333537e-02,-4.651667029389956554e+01,1.247371829828205136e+01,1.308804114035959421e+00,2.066322196942410017e+01,6.130220422097553551e-03,1.294429346352397592e-01
5.572916666666666297e-02,-4.689390364856058824e+01,1.343190049673709296e+01,1.291833524631233132e+00,2.076599990077303914e+01,8.413108377464201260e-03,1.306739468612307109e-01
5.968750000000000444e-02,-4.729190785503102035e+01,1.442960313594649335e+01,1.274650936664670109e+00,2.088092445497807148e+01,1.078229770876458493e-02,1.320436546755641705e-01
6.364583333333333204e-02,-4.772870504329839036e+01,1.545703241778746140e+01,1.257603183618822840e+00,2.098812353729509539e+01,1.320858166103250700e-02,1.336304725373027857e-01
6.760416666666665964e-02,-4.821446057384653727e+01,1.650551407545545501e+01,1.240965957074806614e+00,2.107180118367895716e+01,1.567031572312253818e-02,1.354707145785828126e-01
7.156250000000000111e-02,-4.875445045684506340e+01,1.756786062550546745e+01,1.224945561189709542e+00,2.112013703663247099e+01,1.815165080803369385e-02,1.375756920125170979e-01
7.552083333333334259e-02,-4.935329582349343269e+01,1.863858582325734048e+01,1.209698833343552549e+00,2.112414497621055887e+01,2.064106027560541276e-02,1.399545802836077157e-01
7.947916666666665630e-02,-5.001855649432872042e+01,1.971410269490779754e+01,1.195355513255824009e+00,2.107639146405129793e+01,2.313108256888986650e-02,1.426335690939032619e-01
8.343749999999999778e-02,-5.076363107309081357e+01,2.079304780029004363e+01,1.182037118189852798e+00,2.096991407382800787e+01,2.561932646683043671e-02,1.456715891944637131e-01
8.739583333333333925e-02,-5.161072612508468893e+01,2.187689646319796211e+01,1.169872381549772911e+00,2.079733692480142793e+01,2.811078833681936173e-02,1.491771681144754003e-01
9.135416666666668073e-02,-5.259503249538457226e+01,2.297108084652443694e+01,1.159012366800519667e+00,2.055000471799216655e+01,3.062188226060096052e-02,1.533332038521773300e-01
9.531249999999999445e-02,-5.377186156801830919e+01,2.408688817905274249e+01,1.149651853931722201e+00,2.021675738206084816e+01,3.318701878263695393e-02,1.584404992253401756e-01
9.927083333333333592e-02,-5.523013758397924278e+01,2.524444664800253335e+01,1.142072458744234575e+00,1.978145952017435150e+01,3.586890695349983366e-02,1.650016680518256451e-01
1.032291666666666774e-01,-5.712019291233234242e+01,2.647690661081765739e+01,1.136748227440492753e+00,1.921695028563888741e+01,3.877339043666297447e-02,1.738970764385826262e-01
1.071875000000000050e-01,-5.971769424470881660e+01,2.783494839093394191e+01,1.134627290224301754e+00,1.846890581934756881e+01,4.206617089177219770e-02,1.867989493007511659e-01
1.111458333333333326e-01,-6.359558915467479068e+01,2.938786780902854900e+01,1.137921239254223504e+00,1.741061122461051980e+01,4.597261634661254509e-02,2.073299827072623280e-01
1.151041666666666741e-01,-7.020585271392434379e+01,3.121180035241099304e+01,1.152462584860366457e+00,1.570788827554612510e+01,5.065761042910387618e-02,2.452818990482099615e-01
1.190625000000000155e-01,-8.480054973486977588e+01,3.335166249701687491e+01,1.196083143072190547e+00,1.233904917261257594e+01,1.052496367317751064e-01,3.861435317763278197e-01
1.230208333333333293e-01,-1.542887513869420673e+02,3.576027576018535825e+01,1.343042771178176498e+00,3.049317505936116390e+00,2.155617967962309978e-01,9.945242660601519846e-01
