r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,2.639453692284179454e+01,-7.537508810498279033e+00,-1.292629336923865724e+00,1.240622054805316168e+02,7.110363506903262520e-02,-1.323999721648965178e-01
1.890624999999999944e-02,-4.921699881072696847e+00,-1.240839144619780043e+01,3.776089455228210934e-01,2.927369202424783268e+01,2.758471362333339907e-02,1.856064998354133022e-02
2.901041666666666352e-02,-2.283912212736561642e+01,-1.353742479519146436e+01,1.035739824967589318e+00,-7.525338826079654098e+00,2.953745369865593690e-02,5.374262003303478114e-02
3.911458333333332760e-02,-3.563597804658596147e+01,-1.243885372070060313e+01,1.234965191944440877e+00,-1.803102061670734457e+01,3.427823759464734832e-02,1.095237208604103729e-01
4.921874999999999167e-02,-4.391927787468895872e+01,-1.407638226461818221e+01,1.260634653698167185e+00,-1.859268152847744915e+01,4.320745725839571227e-02,1.515997323435231414e-01
5.932291666666666269e-02,-4.883263651141056272e+01,-1.850954892437831489e+01,1.208487979302472093e+00,-1.469580626087028463e+01,5.976357135668901310e-02,1.745961509906467368e-01
6.942708333333333370e-02,-5.206388801601487870e+01,-2.381709904305201420e+01,1.141756757248588272e+00,-9.963297966341514211e+00,7.750562194318785791e-02,1.851080783383877160e-01
7.953124999999999778e-02,-5.473963028321894342e+01,-2.907246241187834457e+01,1.082575879291680421e+00,-5.663392522440986454e+00,9.261185486926409860e-02,1.889599619562111477e-01
8.963541666666666186e-02,-5.770572439056653735e+01,-3.393966792408198074e+01,1.039135035644242810e+00,-2.265324613864208914e+00,1.036918477564111596e-01,1.901915586444505868e-01
9.973958333333332593e-02,-6.226157067475492823e+01,-3.825151984786281645e+01,1.019879015010910273e+00,-2.529449922665136796e-01,1.108281981258176646e-01,1.942838420436109048e-01
1.098437499999999900e-01,-7.255885805379955400e+01,-4.223287058693171048e+01,1.043680057329823274e+00,-7.075533560615809847e-01,1.185875587152590283e-01,2.198853361118236205e-01
1.199479166666666541e-01,-1.223557734587606376e+02,-5.022403537038638177e+01,1.181292175737420180e+00,-7.683056041580513806e+00,1.772810104892249272e-01,4.753206497261009966e-01
