r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.352374733239982973e-01,-9.675963436900298920e-01,-5.521885043977420970e+00,1.734681955793925534e-01,5.061004513550882322e+00,1.358750172705550652e-01,2.563316550488073040e-02,9.191179537851586190e+01
2.045613252310346797e-01,-1.272295871176989612e+00,-8.314897112296650405e+00,1.518363376252652996e-01,5.994863121793319038e+00,3.083354895885687674e-01,5.232571332351589749e-02,8.492009907796159496e+00
2.715555614633811676e-01,-1.621941065043392527e+00,-1.105837767157925278e+01,1.456324237853221237e-01,6.044765645729308190e+00,5.187861299688498740e-01,8.489017506538842905e-02,3.097936349425385316e+01
3.361662778835573517e-01,-1.956784846781555842e+00,-1.372930187553202508e+01,1.415726885904290133e-01,5.971815782781847659e+00,7.548554839180698917e-01,1.200445165043882156e-01,5.325177927961111113e-01
3.983414881545809250e-01,-2.264811804688235064e+00,-1.630863057014469675e+01,1.379894339093677702e-01,5.871565597371597001e+00,1.002227574259970222e+00,1.551230201234267969e-01,1.333773924022494173e+00
4.580311655686215011e-01,-2.542116410762077727e+00,-1.878635164989769635e+01,1.345002324974253760e-01,5.765926556591427499e+00,1.247643132107801645e+00,1.878851581686463990e-01,3.455718143990894191e+02
5.151872832989188300e-01,-2.786281348185605466e+00,-2.115686253413277740e+01,1.309427884960992494e-01,5.664197528165991535e+00,1.480285380315750965e+00,2.166531650971623146e-01,2.508654540540651681e+02
5.697638530425785941e-01,-2.992785274559127462e+00,-2.341696600681263973e+01,1.271150374144697504e-01,5.577955954614441936e+00,1.691939890112083011e+00,2.401577347437796606e-01,5.964372684531546156e+02
6.217169620231577376e-01,-3.153164375661571928e+00,-2.556688657872474479e+01,1.227103600816571299e-01,5.524769820345990290e+00,1.877453729694489537e+00,2.574667945506047273e-01,3.557124792072553419e+02
6.710048083232598159e-01,-3.252319391066334386e+00,-2.761497610957041360e+01,1.172337078506874714e-01,5.533003323485902847e+00,2.035777841589418546e+00,2.679276866613952701e-01,0.000000000000000000e+00
7.175877345187162692e-01,-3.266667231553022965e+00,-2.958747863186881588e+01,1.099617258924013158e-01,5.644101642835423149e+00,2.171415255551095491e+00,2.711516380257738557e-01,0.000000000000000000e+00
7.614282595872921000e-01,-3.170963566892311292e+00,-3.153625669035582035e+01,1.002129561353940768e-01,5.897109449801160252e+00,2.293631821706557439e+00,2.670936261753535379e-01,0.000000000000000000e+00
8.024911090662361079e-01,-2.989749285013325597e+00,-3.350153374863737810e+01,8.900637412799071446e-02,6.233643746037061284e+00,2.405823248487843902e+00,2.576447407177382964e-01,0.000000000000000000e+00
8.407432434344173089e-01,-2.814658808397821232e+00,-3.535158939953462465e+01,7.945141436046314343e-02,6.475547058578140280e+00,2.465588110147204137e+00,2.437269873881778570e-01,0.000000000000000000e+00
8.761538846962069194e-01,-2.806040450132907260e+00,-3.653180006836310412e+01,7.666037347961826565e-02,6.329906365943469559e+00,2.363342502908219789e+00,2.249589605360563793e-01,0.000000000000000000e+00
9.086945411457180155e-01,-2.727874066445576062e+00,-3.529442287870629258e+01,7.713574789034537138e-02,5.997113862964732256e+00,1.946282613782820414e+00,1.823413914714836492e-01,0.000000000000000000e+00
9.383390302914766945e-01,-5.529231223785936677e+00,4.734921307485517872e+01,-1.162490639319294777e-01,1.677169184675715385e+01,2.401533091725112534e+00,2.371250876920667494e-01,0.000000000000000000e+00
9.650634999230792710e-01,-1.030407280369782086e+01,-6.268729919952991025e+01,1.629157614819484456e-01,4.711700064799266841e-01,2.193491190603679808e+00,4.215171602927926253e-01,0.000000000000000000e+00
9.888464473028857338e-01,-6.595410189814794322e+00,-4.654503269931084475e+01,1.407624302437751884e-01,1.434906833027026707e+00,1.342977622433859208e+00,2.176654277368679224e-01,0.000000000000000000e+00
