r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,2.641163568820982732e+01,-7.523977752614973369e+00,-1.293274077578767223e+00,1.440991463989379895e+02,7.108415102381010486e-02,-1.325686780260096065e-01
1.890624999999999944e-02,-4.902831617250838825e+00,-1.237826202391210373e+01,3.771259688880514438e-01,4.384681909247811404e+01,2.744932285832606123e-02,1.845029767490828643e-02
2.901041666666666352e-02,-2.282292783240437473e+01,-1.349005739969498308e+01,1.036965324790458665e+00,1.495354297184988468e+00,4.654580595141708660e-02,8.239539470290205281e-02
3.911458333333332760e-02,-3.561844270348784391e+01,-1.237479079480109334e+01,1.236415997111651066e+00,-1.447778199332063309e+01,3.405130944581663544e-02,1.093549737376483255e-01
4.921874999999999167e-02,-4.390093641959862936e+01,-1.399605289256875551e+01,1.262173313921656437e+00,-2.049902208356985511e+01,4.289604258489988775e-02,1.513903898007744886e-01
5.932291666666666269e-02,-4.881346830245674795e+01,-1.841209048689273331e+01,1.210104558539891961e+00,-2.206115670115021032e+01,5.936194287570071421e-02,1.743421531673590985e-01
6.942708333333333370e-02,-5.204418699056719078e+01,-2.370159965864622720e+01,1.143450070311065492e+00,-2.278759038548856353e+01,7.701451764342101547e-02,1.848129907777553704e-01
7.953124999999999778e-02,-5.471965418418302107e+01,-2.893811632461602912e+01,1.084341304479347734e+00,-2.394636211655859626e+01,9.203838961518538697e-02,1.886318495515311444e-01
8.963541666666666186e-02,-5.768597811289510702e+01,-3.378543799962870509e+01,1.040973891444892274e+00,-2.600704692673820517e+01,1.030485542350251388e-01,1.898414248372650992e-01
9.973958333333332593e-02,-6.224349411290507561e+01,-3.807594687706441761e+01,1.021799548884414266e+00,-2.945389256853930249e+01,1.101311002136894091e-01,1.939262257099286790e-01
1.098437499999999900e-01,-7.254626556089036171e+01,-4.203544313397296861e+01,1.045639565593324605e+00,-3.536527945493577363e+01,1.178469395600731245e-01,2.195406642322280666e-01
1.199479166666666541e-01,-1.223568407941025669e+02,-5.001924748019778377e+01,1.182728441408900100e+00,-4.776534800281584126e+01,1.763935387781242203e-01,4.750237924990429184e-01
