r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.173090018586878391e-01,-1.115650555727871307e+00,-4.889828616165630137e+00,2.243176559603955456e-01,2.147545043201720461e+00,3.763576261904825332e-02,9.252511528128726237e-03,1.252682760869060843e+02
1.516572102987705506e-01,-1.267536538437811000e+00,-6.280670885470360787e+00,1.991405918084154236e-01,3.445347717535037546e+00,7.203368141682062187e-02,1.557205608332943789e-02,1.688979669073751921e+01
1.854625740592986127e-01,-1.464711107648456245e+00,-7.646195748138057802e+00,1.892678989708004578e-01,3.866274507454150466e+00,1.092686285718380418e-01,2.244937112307751267e-02,3.410081991157632331e+01
2.187186370369460509e-01,-1.679138848781230875e+00,-8.993157611779675875e+00,1.845875068291839560e-01,3.989704381529708854e+00,1.494375133809485445e-01,2.995772614999744204e-02,9.932724297944539593e-02
2.514190480331192634e-01,-1.897494321909946269e+00,-1.032608929565737732e+01,1.817299267216246073e-01,4.008694819208134419e+00,1.924535647828398977e-01,3.800669403574262473e-02,3.022028569716795898e-01
2.835575619668990188e-01,-2.112710948646247200e+00,-1.164485722728304573e+01,1.794764256525071267e-01,3.993074077491526097e+00,2.380733846857602531e-01,4.646143221721080879e-02,1.436878853721860878e+03
3.151280410677183008e-01,-2.321107372391091772e+00,-1.294676973594989988e+01,1.773962319977631652e-01,3.967523552372982820e+00,2.857703119206567166e-01,5.515921701769577884e-02,3.650982776751029178e+03
3.461244560475461585e-01,-2.521388604178411263e+00,-1.422898663211005577e+01,1.753803226074382160e-01,3.938289810214131492e+00,3.348573264076266098e-01,6.394252846405858171e-02,5.087861630472890283e+03
3.765408872523522410e-01,-2.713183449003283343e+00,-1.548933351744359044e+01,1.734054046737639743e-01,3.906707430593097996e+00,3.846035466235576128e-01,7.266542717135590634e-02,7.074781493899491807e+02
4.063715257926343027e-01,-2.896475231006335527e+00,-1.672627437719558330e+01,1.714686994226418959e-01,3.872935625537955673e+00,4.343072243311226210e-01,8.119828073640546207e-02,0.000000000000000000e+00
4.356106746527932949e-01,-3.071320980022292702e+00,-1.793869429159775564e+01,1.695679456608046587e-01,3.837103951879580421e+00,4.833261884256616070e-01,8.942774247830198586e-02,0.000000000000000000e+00
4.642527497791409941e-01,-3.237742774598474149e+00,-1.912570784741211227e+01,1.676975635655765240e-01,3.799532109907726607e+00,5.310872761716688428e-01,9.725555894371612498e-02,0.000000000000000000e+00
4.922922811463348314e-01,-3.395678991194114538e+00,-2.028652875404329237e+01,1.658483959354375425e-01,3.760744768621634648e+00,5.770891781126911146e-01,1.045972299949586570e-01,0.000000000000000000e+00
5.197239138020366411e-01,-3.544942193952236309e+00,-2.142039041795815280e+01,1.640073108064682150e-01,3.721494334130612813e+00,6.209063779789011361e-01,1.113808512749269175e-01,0.000000000000000000e+00
5.465424088895947108e-01,-3.685163280297510724e+00,-2.252650384253522731e+01,1.621559491544122267e-01,3.682832701040524626e+00,6.621974612708678709e-01,1.175462030281838599e-01,0.000000000000000000e+00
5.727426446485522904e-01,-3.815716562590360184e+00,-2.360404710582034582e+01,1.602687124792981921e-01,3.646226555361598898e+00,7.007188345285260134e-01,1.230440805775295937e-01,0.000000000000000000e+00
5.983196173927953776e-01,-3.935626312505744018e+00,-2.465219178031897229e+01,1.583101783610957602e-01,3.613705452261710249e+00,7.363441594100439413e-01,1.278358702841487227e-01,0.000000000000000000e+00
