r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.312500000000000444e-02,-1.320407388442627727e+00,-3.842888819812628309e+00,3.309597784715549995e-01,2.037401504995216328e+00,1.955716999621064101e-02,7.335069871688266324e-03,5.564133174680112859e+01
1.093750000000000000e-01,-1.404838821130960813e+00,-5.028991601215631491e+00,2.724040152772464474e-01,5.044573515240056594e+00,5.125120233270927250e-02,1.518289995221773839e-02,4.674476218729893162e+00
1.356249999999999956e-01,-1.527478207052163306e+00,-6.208358142753561459e+00,2.412441617768378566e-01,6.482075524102892672e+00,8.222729493013046509e-02,2.212810429766395859e-02,3.757774246479598190e+01
1.618749999999999911e-01,-1.686166309878718073e+00,-7.385555722968147663e+00,2.244588558085885699e-01,7.095976626962807288e+00,1.193246970741160123e-01,3.049415700474849070e-02,0.000000000000000000e+00
1.881249999999999867e-01,-1.873366850100904646e+00,-8.565056442328817354e+00,2.153310422590699880e-01,7.271135732576027522e+00,1.609751685202752414e-01,3.972913873482546154e-02,0.000000000000000000e+00
2.143749999999999822e-01,-2.078112215412188490e+00,-9.750862390966430482e+00,2.099793571079106025e-01,7.229938618063769695e+00,2.062736260073096684e-01,4.969385097051100264e-02,0.000000000000000000e+00
2.406249999999999778e-01,-2.289561825458920730e+00,-1.094543260319824896e+01,2.062063697575702292e-01,7.098288782438000766e+00,2.554007805521389951e-01,6.032881647029520594e-02,0.000000000000000000e+00
2.668749999999999734e-01,-2.499659115758892547e+00,-1.214922500963718832e+01,2.029147739656348148e-01,6.939057242222396837e+00,3.088520821433800578e-01,7.158252979656230808e-02,0.000000000000000000e+00
2.931249999999999689e-01,-2.703467556219194101e+00,-1.336128449397741136e+01,1.996406076391648021e-01,6.778827067196463219e+00,3.670814225166000311e-01,8.339214798016381103e-02,0.000000000000000000e+00
3.193749999999999645e-01,-2.898166747700331225e+00,-1.458011157602720331e+01,1.962177326940871824e-01,6.627117268393961425e+00,4.296784129644696804e-01,9.559325791152260832e-02,0.000000000000000000e+00
3.456249999999999600e-01,-3.081953264768253931e+00,-1.580422896686700085e+01,1.925911174223655098e-01,6.487080930424779623e+00,4.967677060054407900e-01,1.081034908093993219e-01,0.000000000000000000e+00
3.718749999999999556e-01,-3.253239540156110721e+00,-1.703242761139850003e+01,1.887295251620675351e-01,6.360507782183718817e+00,5.704609953421648783e-01,1.211548722179959098e-01,0.000000000000000000e+00
3.981249999999999512e-01,-3.410172510276460844e+00,-1.826383664693902631e+01,1.845916322809058041e-01,6.249765493394990656e+00,6.486813108315633292e-01,1.342855532356151405e-01,0.000000000000000000e+00
4.243750000000000022e-01,-3.550458663709698204e+00,-1.949791071185131486e+01,1.801207821626816252e-01,6.158100249048279906e+00,7.313701245080159730e-01,1.473609450045401947e-01,0.000000000000000000e+00
4.506249999999999423e-01,-3.671428352247144922e+00,-2.073439275967378848e+01,1.752529535839939812e-01,6.089180195043725874e+00,8.185251812388802950e-01,1.602436944565152066e-01,0.000000000000000000e+00
4.768749999999999378e-01,-3.770315228518273720e+00,-2.197328623456492380e+01,1.699315107950843950e-01,6.046250320812049495e+00,9.101965879204960697e-01,1.727951219353054402e-01,0.000000000000000000e+00
5.031249999999999334e-01,-3.844775789502204333e+00,-2.321486305378236636e+01,1.641271988505512702e-01,6.030986811254649638e+00,1.006469215962521035e+00,1.848802534439005218e-01,0.000000000000000000e+00
5.293749999999999289e-01,-3.893473435887145673e+00,-2.445982524805606317e+01,1.578539714721843568e-01,6.042590177004468543e+00,1.107448564922540735e+00,1.963775212103001655e-01,0.000000000000000000e+00
5.556249999999999245e-01,-3.916127550681561154e+00,-2.571001733935675304e+01,1.511572730831789446e-01,6.078456644410016096e+00,1.213326251213254325e+00,2.071919939997977078e-01,0.000000000000000000e+00
5.818749999999999201e-01,-3.911744753150308895e+00,-2.697050616937094603e+01,1.440335111626723785e-01,6.138792049754528080e+00,1.324710811522324505e+00,2.172628789016114725e-01,0.000000000000000000e+00
6.081250000000000266e-01,-3.873413026287374716e+00,-2.825029884752685660e+01,1.362608845644524835e-01,6.236304662607134119e+00,1.443093801188913172e+00,2.264886796098505850e-01,0.000000000000000000e+00
6.343749999999999112e-01,-3.766123916678010719e+00,-2.957841397258792426e+01,1.266453083257015888e-01,6.439410511717315266e+00,1.574274357720507833e+00,2.345456989223826672e-01,0.000000000000000000e+00
6.606249999999999067e-01,-2.325778040301129668e+00,-3.342599112007458473e+01,6.946796529119846075e-02,9.367604864409559084e+00,2.293561453802401839e+00,2.700529147150466103e-01,0.000000000000000000e+00
6.868749999999999023e-01,-2.236069045207061734e+00,-3.438265135645013970e+01,6.494334872903798073e-02,9.279020210379824718e+00,2.407602363050677319e+00,2.689835575178467497e-01,0.000000000000000000e+00
