r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-8.987300078186891694e-01,-3.169377370564718799e+00,2.763130675918373802e-01,1.168427402674671711e+00,-5.424575177941431611e-04,3.617813401933881465e-04,2.218468754400665688e+01
1.099137931034482735e-01,-9.339568328565049926e-01,-4.017336575745552807e+00,2.284240251741745387e-01,3.644410275272587540e+00,1.626312531751181872e-02,4.661309475568394325e-03,1.453205251577194712e+00
1.331896551724137956e-01,-9.835497415177524294e-01,-4.862270602091344429e+00,1.995888087065843253e-01,5.028689337354494526e+00,2.873208700217835115e-02,7.096376491113281712e-03,3.896997260666536533e+01
1.564655172413793038e-01,-1.049970554881063833e+00,-5.702767943143921769e+00,1.820768395451320687e-01,5.764194118411813506e+00,4.205722657710115470e-02,9.333365684311553320e-03,0.000000000000000000e+00
1.797413793103448398e-01,-1.134984600621102624e+00,-6.537354708204222042e+00,1.719017681808942266e-01,6.079325620969923349e+00,5.617878325610577844e-02,1.190888780835326621e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.237795028753424287e+00,-7.365671462975140749e+00,1.664935204693774873e-01,6.121338246543976069e+00,7.021847983335137433e-02,1.421920590852657901e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.353371723883736610e+00,-8.189649674965366444e+00,1.637738003669056974e-01,6.009309587015351894e+00,8.429061847268566610e-02,1.680422389147713177e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.473446147404779305e+00,-9.013123300821185069e+00,1.620444636104392544e-01,5.840536141660580327e+00,9.856728102917861056e-02,1.943999492153398664e-02,0.000000000000000000e+00
2.728448275862068728e-01,-1.589961439034253798e+00,-9.839863894685089818e+00,1.601990313202846794e-01,5.678414480406456022e+00,1.133304324007188835e-01,2.179310327669707267e-02,0.000000000000000000e+00
2.961206896551724088e-01,-1.697712651180979915e+00,-1.067202421490284081e+01,1.577587410816178870e-01,5.550375669011893720e+00,1.291323558267681304e-01,2.447212784361015719e-02,0.000000000000000000e+00
3.193965517241379448e-01,-1.794598897480873090e+00,-1.151002887132613672e+01,1.546707901211163139e-01,5.459445083534859577e+00,1.460141233316539500e-01,2.718506093787503158e-02,0.000000000000000000e+00
3.426724137931034253e-01,-1.880560571347453358e+00,-1.235322253353055899e+01,1.510724943700009204e-01,5.397755100656485894e+00,1.640528652160053724e-01,2.960078026887922459e-02,0.000000000000000000e+00
3.659482758620689613e-01,-1.956366675645390796e+00,-1.320051192601354906e+01,1.471328594986600069e-01,5.355622408749741936e+00,1.829192491571615398e-01,3.225555494419390240e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.022666400961521838e+00,-1.405078561143326965e+01,1.429717818920219208e-01,5.326177450979358241e+00,2.025786643442597235e-01,3.484920818557722677e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.079406268538087854e+00,-1.490313735016196794e+01,1.386330717763984421e-01,5.306910086278158190e+00,2.232272297733189359e-01,3.706507341882057244e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.125643660690671677e+00,-1.575693905063324962e+01,1.340925474072173773e-01,5.299205826551392384e+00,2.443351153338466086e-01,3.942942530182982214e-02,0.000000000000000000e+00
4.590517241379309943e-01,-2.159689728790083141e+00,-1.661180666313236287e+01,1.292841715470219033e-01,5.306848326796036908e+00,2.662709029662919114e-01,4.165803472593801460e-02,0.000000000000000000e+00
4.823275862068965303e-01,-2.179449480544737305e+00,-1.746751261850945980e+01,1.241301011228668205e-01,5.334297666556181206e+00,2.896881585623398703e-01,4.345245137513199796e-02,0.000000000000000000e+00
5.056034482758620108e-01,-2.182885355579547770e+00,-1.832388881187014107e+01,1.185690616184182505e-01,5.385064617009465593e+00,3.138710186309192629e-01,4.530648093376909991e-02,0.000000000000000000e+00
5.288793103448274913e-01,-2.168593163478733210e+00,-1.918073848696464623e+01,1.125829004381205811e-01,5.460189245268428415e+00,3.393896043094234982e-01,4.693342830739169469e-02,0.000000000000000000e+00
5.521551724137930828e-01,-2.136422459242279359e+00,-2.003775656833014196e+01,1.062185657446063775e-01,5.556981619758336599e+00,3.661655199217441203e-01,4.830747679332317301e-02,0.000000000000000000e+00
5.754310344827586743e-01,-2.087969144590750226e+00,-2.089439810370385686e+01,9.959896324382347399e-02,5.668399762250300178e+00,3.939468906737081388e-01,4.939467612547791125e-02,0.000000000000000000e+00
5.987068965517241548e-01,-2.026576702050073120e+00,-2.174933873728478417e+01,9.291050119148280828e-02,5.783763266425686389e+00,4.231741602467672947e-01,4.983502282613836570e-02,0.000000000000000000e+00
6.219827586206896353e-01,-1.956092158738546471e+00,-2.259780354582036210e+01,8.634593372542388734e-02,5.892028133702608805e+00,4.513669498480091247e-01,5.021779245327830793e-02,0.000000000000000000e+00
6.452586206896551158e-01,-1.876409997171554433e+00,-2.341812686300130508e+01,7.995557201644332146e-02,5.990311746332060316e+00,4.781147551906584914e-01,5.016325605810337263e-02,0.000000000000000000e+00
6.685344827586205962e-01,-1.758335050820194922e+00,-2.422216407081736733e+01,7.246487977572538264e-02,6.151639654499448717e+00,5.075883946297041760e-01,4.955301255072161459e-02,0.000000000000000000e+00
6.918103448275860767e-01,-1.696447407667790896e+00,-2.582905989156727955e+01,6.558559664242821774e-02,6.277936401255765020e+00,5.732464110886358322e-01,5.112169137515010231e-02,0.000000000000000000e+00
7.150862068965516682e-01,-1.664328444135325213e+00,-2.663381310441775085e+01,6.240815562153448348e-02,6.192133218547573037e+00,5.886069674213121328e-01,5.053743571633202702e-02,0.000000000000000000e+00
7.383620689655172598e-01,-1.620059428860734840e+00,-2.743652842658215718e+01,5.897905498124447060e-02,6.120749069904657169e+00,6.021109351586538816e-01,5.001954504922311723e-02,0.000000000000000000e+00
