r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-9.194539135785497752e-01,-3.148478305549107681e+00,2.841300348341703197e-01,7.205481710969792175e-01,1.092416712483644525e-02,3.483961911950677129e-03,3.127629225772395927e+01
1.099137931034482735e-01,-1.061165636599152418e+00,-3.986295384251379303e+00,2.601698905225483527e-01,1.825506173820160782e+00,2.215566355794771833e-02,6.327028482420662611e-03,2.531417711413891602e+00
1.331896551724137956e-01,-1.203834140979046063e+00,-4.818954173906910832e+00,2.448020190042684008e-01,2.438163209059764469e+00,3.518930767279972865e-02,9.386233771739633039e-03,3.911369390400491142e+01
1.564655172413793038e-01,-1.344231979970531565e+00,-5.646259578950236779e+00,2.337238156776963449e-01,2.805040361402985738e+00,4.988097208722844927e-02,1.266192306944935279e-02,7.383810294162881371e-01
1.797413793103448398e-01,-1.484874634329389931e+00,-6.468628761660734305e+00,2.256410874635832453e-01,3.000289432165839543e+00,6.596277270426680051e-02,1.614353136818866274e-02,9.955311423798252068e-01
2.030172413793103481e-01,-1.625274381146580627e+00,-7.287803807746958462e+00,2.194223046059280424e-01,3.088742300760644710e+00,8.319579682550186372e-02,1.980227344297349687e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.764361944680072902e+00,-8.106573432872925977e+00,2.143037154354249796e-01,3.114158714434694275e+00,1.014559601338979461e-01,2.359660541869142841e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.900869911662995460e+00,-8.927653261049549371e+00,2.097865672704590234e-01,3.105115096865366908e+00,1.207261660147343763e-01,2.750586606479737961e-02,0.000000000000000000e+00
2.728448275862068728e-01,-2.033264689221297772e+00,-9.752742206341467934e+00,2.055372276467467285e-01,3.080727180164648971e+00,1.410441677694707352e-01,3.151037764824909937e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.159970291176057877e+00,-1.058233414568539033e+01,2.013452547394842529e-01,3.053052392726831599e+00,1.624548394326237322e-01,3.558615287582741343e-02,0.000000000000000000e+00
