r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.065042417773791605e+00,-3.336217016258860468e+00,3.090102587027894199e-01,-7.049836499155510694e-01,5.000796782700601441e-03,2.244752161255654695e-03,3.577194571481552998e+01
1.099137931034482735e-01,-1.110697715333737401e+00,-4.224666218397675976e+00,2.570898068127983049e-01,2.001981970935835520e+00,1.425965143734291701e-02,4.881995602214980225e-03,2.529846679178777258e+00
1.331896551724137956e-01,-1.174470568360258760e+00,-5.109151123366750369e+00,2.259504930177337056e-01,3.518276085469398851e+00,3.013302575707106287e-02,8.954674608584681922e-03,6.547027157842482836e+01
1.564655172413793038e-01,-1.258136369938924526e+00,-5.989340180976248540e+00,2.070521492860298574e-01,4.333214278226398264e+00,5.053800732843162502e-02,1.355758912750263875e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.362201776386631424e+00,-6.865047794353015931e+00,1.958813332764599013e-01,4.705397746434785589e+00,8.405486023180079591e-02,1.926109147125477580e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.485319211551591856e+00,-7.736597270689207662e+00,1.896781554395735592e-01,4.792956513200323343e+00,1.065827895512855422e-01,2.362133594165006720e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.623825440549881316e+00,-8.605119192492818314e+00,1.865113695690081563e-01,4.706542835348239251e+00,1.334172855171335548e-01,2.812198735810118866e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.771751449005165790e+00,-9.472570931926460602e+00,1.849037173903793629e-01,4.530797377251536417e+00,1.557093993966061074e-01,3.268671652581918441e-02,0.000000000000000000e+00
2.728448275862068728e-01,-1.921554568117999295e+00,-1.034145222904184891e+01,1.837157197921494567e-01,4.331007482844649203e+00,1.772986578376991584e-01,3.721176137678081780e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.065604292457951630e+00,-1.121425528992296705e+01,1.821528227250603926e-01,4.152697745745085101e+00,2.043195895963296482e-01,4.174054377349595280e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.197953136210289760e+00,-1.209278743275659096e+01,1.797946250344598929e-01,4.019955377816847530e+00,2.295254608756740755e-01,4.643196792755274055e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.315405335936406406e+00,-1.297771816158629754e+01,1.765561932546256818e-01,3.937646708185242872e+00,2.565902392796742815e-01,5.113504031777715148e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.417268402513567338e+00,-1.386862307868529065e+01,1.725641049725901155e-01,3.898519375332368142e+00,2.889690351874133478e-01,5.556198754080826641e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.504192656898471370e+00,-1.476441090803211154e+01,1.680111479096663418e-01,3.891527456485036396e+00,3.208597516886203538e-01,6.018654229449317550e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.576971759218073199e+00,-1.566380783201006643e+01,1.630569483212930271e-01,3.907525040907135150e+00,3.546822802680279496e-01,6.469780491072738005e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.635830968675245245e+00,-1.656567388060900115e+01,1.577912781356101135e-01,3.941368575997492130e+00,3.918490261852320966e-01,6.861083647019998455e-02,0.000000000000000000e+00
4.590517241379309943e-01,-2.680248211990275298e+00,-1.746912563702694499e+01,1.522405489551636459e-01,3.991544788400043231e+00,4.292494358780616359e-01,7.266889634935620734e-02,0.000000000000000000e+00
4.823275862068965303e-01,-2.709196951176435331e+00,-1.837352593821816171e+01,1.463962267264586614e-01,4.058542643362185842e+00,4.683034704989085251e-01,7.642212003923069819e-02,0.000000000000000000e+00
5.056034482758620108e-01,-2.721637441607537067e+00,-1.927840164147676916e+01,1.402486300771136896e-01,4.142916842661277244e+00,5.098183112960203989e-01,7.934895217376863874e-02,0.000000000000000000e+00
5.288793103448274913e-01,-2.717056373013390314e+00,-2.018335009240590594e+01,1.338142349151691668e-01,4.243723386302949763e+00,5.523897718479798824e-01,8.228856245015529758e-02,0.000000000000000000e+00
5.521551724137930828e-01,-2.695914085385177295e+00,-2.108797371129507781e+01,1.271516021930258200e-01,4.357606978870379955e+00,5.965651473233408719e-01,8.475144897599642957e-02,0.000000000000000000e+00
5.754310344827586743e-01,-2.659835987981487460e+00,-2.199186058948007982e+01,1.203617695953193845e-01,4.478778587462165284e+00,6.419569486119593993e-01,8.669182188394479460e-02,0.000000000000000000e+00
5.987068965517241548e-01,-2.611379638559960359e+00,-2.289459548990225102e+01,1.135701491875842628e-01,4.600052630023165001e+00,6.875459996584070144e-01,8.757980908979540180e-02,0.000000000000000000e+00
6.219827586206896353e-01,-2.553236257134956055e+00,-2.379556831823490981e+01,1.068898568781741637e-01,4.714948042408922291e+00,7.328380038399540108e-01,8.836455717944613486e-02,0.000000000000000000e+00
6.452586206896551158e-01,-2.486338404819274928e+00,-2.469201507544046592e+01,1.003557594961212995e-01,4.821467102470887056e+00,7.775222696522980925e-01,8.858904109965015650e-02,0.000000000000000000e+00
6.685344827586205962e-01,-2.403637589937342334e+00,-2.556537617619106939e+01,9.374368235418359396e-02,4.932454073661699745e+00,8.210763603653002951e-01,8.804183935244941361e-02,0.000000000000000000e+00
6.918103448275860767e-01,-2.256406667748208417e+00,-2.636123586684771780e+01,8.538750504102374239e-02,5.143370623711582823e+00,8.655882688716736162e-01,8.561377398327461863e-02,0.000000000000000000e+00
7.150862068965516682e-01,-2.135927910039966626e+00,-2.849918702413660299e+01,7.480712093567268295e-02,5.481724835718355671e+00,1.007266219228513338e+00,8.854416303315348902e-02,0.000000000000000000e+00
7.383620689655172598e-01,-2.121139827616336238e+00,-2.931499346480010004e+01,7.223094439990142279e-02,5.361471735641539560e+00,1.030071840945049555e+00,8.768513551303835918e-02,0.000000000000000000e+00
