r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.236842105263157993e-01,-1.249067270527149498e+00,-4.452336397861999195e+00,2.735112106079982119e-01,3.828961982647912876e+00,6.316986935394290625e-02,2.200006934585280530e-02,1.194516726843569643e+02
1.710526315789473728e-01,-1.467049488951975400e+00,-6.141635426082709515e+00,2.344757934363057572e-01,5.648859971451724249e+00,1.417776334254663428e-01,4.314517007240702834e-02,1.040910716951220039e+01
2.184210526315789602e-01,-1.930506447907147205e+00,-7.812545073566577791e+00,2.422505985125623096e-01,4.786729787378664724e+00,2.522354803200808626e-01,7.114187143927490353e-02,5.225215088619845716e+01
2.657894736842105199e-01,-2.315453865487907770e+00,-9.473286440748481141e+00,2.397193645944812046e-01,4.515092141178410401e+00,3.778702376184580602e-01,1.008832332786122610e-01,0.000000000000000000e+00
3.131578947368421351e-01,-2.643472654552847523e+00,-1.113880440644352099e+01,2.330103900253893967e-01,4.482821402181308201e+00,5.124066716155284418e-01,1.319397155433535695e-01,0.000000000000000000e+00
3.605263157894736947e-01,-2.964170638281991010e+00,-1.281753982229259137e+01,2.272637442406356123e-01,4.395413285337673059e+00,6.585399453290055050e-01,1.645347340888517751e-01,0.000000000000000000e+00
4.078947368421052544e-01,-3.271651737597990994e+00,-1.451016467859769321e+01,2.217646952359859369e-01,4.293818917973052152e+00,8.171750753415563118e-01,1.984464077583810715e-01,0.000000000000000000e+00
4.552631578947368696e-01,-3.552370166306648702e+00,-1.621354267386864123e+01,2.156906896047636191e-01,4.225167138714120085e+00,9.873248358444839390e-01,2.334678091190483806e-01,0.000000000000000000e+00
5.026315789473684292e-01,-3.808409101607397762e+00,-1.792391196117101160e+01,2.093628559514740528e-01,4.171058633841791874e+00,1.169347204180985367e+00,2.676706438792740284e-01,0.000000000000000000e+00
5.500000000000000444e-01,-4.034099833576631156e+00,-1.963775633092674155e+01,2.026070937655570781e-01,4.141468627822245452e+00,1.362767004250134750e+00,3.013060161822567751e-01,0.000000000000000000e+00
5.973684210526315486e-01,-4.223765281656049808e+00,-2.135277614063895868e+01,1.952876731225917928e-01,4.144173872478420506e+00,1.568873174050862129e+00,3.338562851130997267e-01,0.000000000000000000e+00
6.447368421052631637e-01,-4.366531678789604243e+00,-2.306766482093083326e+01,1.870788304017883541e-01,4.197839248400477175e+00,1.791075031247712390e+00,3.648227003548938363e-01,0.000000000000000000e+00
6.921052631578947789e-01,-4.448091130638511359e+00,-2.477759069197483299e+01,1.776286690019806824e-01,4.322626945660234199e+00,2.035508056521519560e+00,3.944743226723442242e-01,0.000000000000000000e+00
7.394736842105262831e-01,-4.445176697370493812e+00,-2.647543814181354804e+01,1.663466233893153845e-01,4.552373876873375025e+00,2.312468723327388176e+00,4.198210435672489194e-01,0.000000000000000000e+00
7.868421052631578982e-01,-4.313742021816185712e+00,-2.811123876981377734e+01,1.522648285173709704e-01,4.942534624338088989e+00,2.633642075447049535e+00,4.394580145233276669e-01,0.000000000000000000e+00
8.342105263157895134e-01,-3.903814158516643040e+00,-2.947120682504562339e+01,1.316952932245811780e-01,5.704415516493672733e+00,3.016018026169546840e+00,4.377922972968754656e-01,0.000000000000000000e+00
8.815789473684210176e-01,-2.388417166543118419e+00,-2.929575079982825159e+01,8.134785240150101127e-02,8.172444718274165965e+00,3.461515744390267102e+00,3.248855276248319157e-01,0.000000000000000000e+00
9.289473684210526327e-01,5.654329804345675115e+00,-3.950759955341529661e+01,-1.421546986020099101e-01,2.056153093451609948e+01,6.723416360096631905e+00,-6.488898939101053198e-01,0.000000000000000000e+00
9.763157894736842479e-01,-8.064841962372575779e+00,-6.007551813267296836e+01,1.334472333528207433e-01,4.354036741185937309e+00,9.932093079588369733e+00,1.450741793714716010e+00,0.000000000000000000e+00
