r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.236842105263157993e-01,-1.197196915178717402e+00,-4.469667819622458182e+00,2.617060840416340350e-01,4.505345911518343627e+00,6.992292410805493741e-02,2.322152824753766567e-02,1.348594802899081344e+02
1.710526315789473728e-01,-1.133435871679500551e+00,-6.145929529008269832e+00,1.823714599982793616e-01,8.634218371793009439e+00,1.419075617163482739e-01,4.257053213317958662e-02,1.485508769933601059e+01
2.184210526315789602e-01,-1.645253586407548596e+00,-7.811434045316933528e+00,2.075870788120443011e-01,6.772803169286930824e+00,2.602288924617371935e-01,6.954317363406112285e-02,5.713829203783455313e+01
2.657894736842105199e-01,-2.079439907992647996e+00,-9.475562080299059886e+00,2.160284355587253902e-01,5.872482387671157156e+00,4.035947752859009863e-01,1.018350917338733397e-01,6.204767264068821175e-01
3.131578947368421351e-01,-2.413313974979443444e+00,-1.114728761020634806e+01,2.132031198415533513e-01,5.617694387390427480e+00,5.590424291500798448e-01,1.350611210173000565e-01,1.205608757837527856e+00
3.605263157894736947e-01,-2.680041893211574600e+00,-1.283024853627424378e+01,2.059237082420893872e-01,5.618107282711617856e+00,7.227956472352781159e-01,1.690637298817956324e-01,0.000000000000000000e+00
4.078947368421052544e-01,-2.976781854006795847e+00,-1.452423355217251633e+01,2.021532683041672995e-01,5.417470911395456667e+00,9.028834660783271460e-01,2.044095843467116924e-01,0.000000000000000000e+00
4.552631578947368696e-01,-3.243826403793072188e+00,-1.622726012702064580e+01,1.972992325709896355e-01,5.278920005845559871e+00,1.094496624483502600e+00,2.398280082327582108e-01,0.000000000000000000e+00
5.026315789473684292e-01,-3.470487870774886296e+00,-1.793672467929228631e+01,1.911233979933784632e-01,5.216102595446971080e+00,1.295192121927290607e+00,2.754741679893878414e-01,0.000000000000000000e+00
5.500000000000000444e-01,-3.678880106887683965e+00,-1.965008632481252349e+01,1.850770005176171351e-01,5.145868985399983941e+00,1.508259186568375210e+00,3.091048941476726153e-01,0.000000000000000000e+00
5.973684210526315486e-01,-3.850808360541408071e+00,-2.136489101164430693e+01,1.783254148774850167e-01,5.116039680934019174e+00,1.732791670844423093e+00,3.410925248415620503e-01,0.000000000000000000e+00
6.447368421052631637e-01,-3.978291556956477848e+00,-2.307843852199648182e+01,1.707036697963259519e-01,5.136066839942364126e+00,1.970231700053475032e+00,3.722355346024590061e-01,0.000000000000000000e+00
6.921052631578947789e-01,-4.052427884559536508e+00,-2.478330465328935617e+01,1.620800754342294758e-01,5.213495734456637720e+00,2.224866233058139020e+00,4.004153368223994369e-01,0.000000000000000000e+00
7.394736842105262831e-01,-4.059088785165395841e+00,-2.645722167800861158e+01,1.522338075047053041e-01,5.360978664106719194e+00,2.503392399481183972e+00,4.227502396706125376e-01,0.000000000000000000e+00
7.868421052631578982e-01,-3.923502810296399801e+00,-2.801605837403942800e+01,1.391398631558546650e-01,5.694539745808370412e+00,2.808147380345589195e+00,4.361164912397548221e-01,0.000000000000000000e+00
8.342105263157895134e-01,-3.422111445935112961e+00,-2.899049811277330235e+01,1.174987887870296288e-01,6.517815304604120286e+00,3.129196049652954059e+00,4.157292448717391786e-01,0.000000000000000000e+00
8.815789473684210176e-01,1.289272463442546979e+00,-2.730997152615109513e+01,-4.717382992414913961e-02,1.553619469145502663e+01,3.282105704555768000e+00,-4.111044672093250307e-03,0.000000000000000000e+00
9.289473684210526327e-01,-6.590287787758136062e+00,-6.101318348711073014e+01,1.075970075102727214e-01,6.251812248090617530e+00,1.270435376014929219e+01,1.526599528130626604e+00,0.000000000000000000e+00
9.763157894736842479e-01,-7.662107349124875455e+00,-5.396581131840386547e+01,1.410381022935064399e-01,3.919111988047704997e+00,7.639751569480329074e+00,1.185113472907786347e+00,0.000000000000000000e+00
