r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.562500000000000000e-01,-1.425605612857667959e+00,-5.554227964743867041e+00,2.512467158449946947e-01,4.604623565559137433e+00,1.917576615626588599e-01,5.187689970887107704e-02,2.208885421929126665e+02
2.187500000000000000e-01,-1.673702352059821097e+00,-7.737228309675516336e+00,2.130356594008591398e-01,6.352779359956036487e+00,4.030297663884280235e-01,9.496583859636097136e-02,3.339897042515323022e+01
2.812500000000000000e-01,-2.010755663539544713e+00,-9.927301626944196045e+00,1.998444105465225495e-01,6.667405775228068876e+00,6.576783884429611149e-01,1.469363648279298495e-01,3.226135363207963991e+01
3.437500000000000000e-01,-2.372433584935687900e+00,-1.214201424340947355e+01,1.929593935331631038e-01,6.620711721381097092e+00,9.573930586577926727e-01,2.067813168038309946e-01,4.224641063570613309e-01
4.062500000000000000e-01,-2.725279050182200180e+00,-1.438433333773292411e+01,1.872422704682101813e-01,6.507102273371561552e+00,1.302021393812630823e+00,2.727470650609097880e-01,9.552589834103558664e-01
4.687500000000000000e-01,-3.059543739093211645e+00,-1.664687437040796425e+01,1.817624094155046721e-01,6.379898713421468415e+00,1.689896962792851065e+00,3.430734649492463428e-01,0.000000000000000000e+00
5.312500000000000000e-01,-3.365361570906456823e+00,-1.892189098051708385e+01,1.760149240011875393e-01,6.268028899886603611e+00,2.116110738427113169e+00,4.155240219516269096e-01,0.000000000000000000e+00
5.937500000000000000e-01,-3.639590331359695341e+00,-2.120444820155498178e+01,1.699863548516785949e-01,6.172263998068004298e+00,2.575776876415566630e+00,4.881778408691238025e-01,0.000000000000000000e+00
6.562500000000000000e-01,-3.879536955333311887e+00,-2.349184820932559958e+01,1.636667648811452880e-01,6.093173361044531333e+00,3.064555574817477979e+00,5.592939280217954501e-01,0.000000000000000000e+00
7.187500000000000000e-01,-4.081973552095213620e+00,-2.578249865194609214e+01,1.570201122328557519e-01,6.032822035092738844e+00,3.578715639414213889e+00,6.272549280399273286e-01,0.000000000000000000e+00
7.812500000000000000e-01,-4.244164911425928111e+00,-2.807493781777090192e+01,1.500366711382601914e-01,5.991767265703048295e+00,4.114851172747884256e+00,6.906161505217924823e-01,0.000000000000000000e+00
8.437500000000000000e-01,-4.364992810975765636e+00,-3.036671686814842275e+01,1.427647585482273440e-01,5.967240695511744519e+00,4.668834030014423320e+00,7.480679125253834050e-01,0.000000000000000000e+00
9.062500000000000000e-01,-4.444973052742080100e+00,-3.265108785100746047e+01,1.353037620856007706e-01,5.953547833194048344e+00,5.232807069089679075e+00,7.980210344468662287e-01,0.000000000000000000e+00
9.687500000000000000e-01,-4.492253485997000695e+00,-3.490587045152291523e+01,1.279926759862631824e-01,5.931265739754620903e+00,5.791016421885444743e+00,8.391312853826545792e-01,0.000000000000000000e+00
1.031250000000000000e+00,-4.515943550404559304e+00,-3.704548400058111923e+01,1.213041659368813696e-01,5.873312666226800260e+00,6.301794904997602309e+00,8.680456523743161901e-01,0.000000000000000000e+00
1.093750000000000000e+00,-4.549179715502975618e+00,-3.872388585289742480e+01,1.169413549931183904e-01,5.682106849529670711e+00,6.612100105966873365e+00,8.740602895783246007e-01,0.000000000000000000e+00
1.156250000000000000e+00,2.551436922736927571e+00,-4.148555112174786075e+01,-6.142445310113702622e-02,1.546053839218264869e+01,5.627623433109520512e+00,8.692180149587136473e-01,0.000000000000000000e+00
1.218750000000000000e+00,-1.183159952525654646e+01,-7.762318377118188550e+01,1.512592993353928106e-01,2.833480535976015346e+00,1.874355086576110452e+01,3.141378972583077633e+00,0.000000000000000000e+00
