r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.044824325039758861e+00,-3.149942095365771078e+00,3.202765549643069587e-01,-1.350494876444521708e+00,2.573651997686444027e-03,1.293531293625913839e-03,3.132087835108848850e+01
1.099137931034482735e-01,-1.085397125464747647e+00,-3.986150619952420815e+00,2.658469128524728053e-01,1.500236754113965176e+00,1.837210303499833136e-02,5.639470936344240584e-03,2.356363882042383118e+00
1.331896551724137956e-01,-1.143140216940173648e+00,-4.817992913285809919e+00,2.329571653272433374e-01,3.116823333703315768e+00,3.723750117008597232e-02,9.674017127514771344e-03,5.878162348659751757e+01
1.564655172413793038e-01,-1.219714952301602651e+00,-5.645459396682586117e+00,2.127818275236370571e-01,4.004927897243547363e+00,5.682747453252830205e-02,1.332334633591661377e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.315587044932525318e+00,-6.468662357464905810e+00,2.006420262255821096e-01,4.432630132892395380e+00,7.671904541294385926e-02,1.693817075326450872e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.429208501904325024e+00,-7.288359180544091487e+00,1.936376452307445040e-01,4.566094459141092798e+00,9.703742076217833357e-02,2.068681180338395945e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.556344587424212333e+00,-8.106371799835558889e+00,1.896821770832558818e-01,4.524868947133477093e+00,1.174614594160685727e-01,2.456501108578847126e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.690528473059498271e+00,-8.925341766903297724e+00,1.871902233791431780e-01,4.399790234263983635e+00,1.380970460157849855e-01,2.855584808186513446e-02,0.000000000000000000e+00
2.728448275862068728e-01,-1.824762682340978159e+00,-9.747863703393061741e+00,1.850544158042558007e-01,4.254305851299960750e+00,1.593363736844534417e-01,3.264031232981637332e-02,0.000000000000000000e+00
2.961206896551724088e-01,-1.953354992775337085e+00,-1.057565971767810886e+01,1.826444803083965007e-01,4.124527841254321814e+00,1.816198988701707429e-01,3.679876904518555175e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.072798054408460100e+00,-1.140931184649099528e+01,1.797158571698409257e-01,4.024468444020770974e+00,2.052546748913490204e-01,4.100624429255447789e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.181592248219514474e+00,-1.224849691749171043e+01,1.762626372113715867e-01,3.954466230514263714e+00,2.301902828277217483e-01,4.520571741387890280e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.279535144380685718e+00,-1.309239736705156076e+01,1.723833049188894240e-01,3.908878455345156766e+00,2.565059278437353263e-01,4.937661324221761378e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.366956411678771133e+00,-1.394005656683456884e+01,1.681912227393535519e-01,3.881209928747423987e+00,2.841491346774611682e-01,5.348763362196955889e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.444134931724400772e+00,-1.479060702025607554e+01,1.637691356144906352e-01,3.866719714784066397e+00,3.129784382990989378e-01,5.749648730369025934e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.510971401887431398e+00,-1.564338127898854047e+01,1.591557500742429299e-01,3.863190092649798402e+00,3.429044423550749454e-01,6.136388187158825502e-02,0.000000000000000000e+00
4.590517241379309943e-01,-2.566902259711994372e+00,-1.649793880317737305e+01,1.543516939551053124e-01,3.870585089963238801e+00,3.739195143067983174e-01,6.505335311784458951e-02,0.000000000000000000e+00
4.823275862068965303e-01,-2.610998008821432403e+00,-1.735404373480897178e+01,1.493346441274607528e-01,3.890183727836966199e+00,4.060941596797884579e-01,6.852940972827346877e-02,0.000000000000000000e+00
5.056034482758620108e-01,-2.642184421615061840e+00,-1.821162047029153896e+01,1.440770603004725148e-01,3.923563948702488702e+00,4.395451404495889780e-01,7.175519017001794064e-02,0.000000000000000000e+00
5.288793103448274913e-01,-2.659534197389929133e+00,-1.907069883112859898e+01,1.385629157110013221e-01,3.971644018446942148e+00,4.743820242539655285e-01,7.469081338185630525e-02,0.000000000000000000e+00
5.521551724137930828e-01,-2.662566974298293587e+00,-1.993132636886084441e+01,1.328008031287047641e-01,4.033931607634621663e+00,5.103724217626263160e-01,7.726647896034524732e-02,0.000000000000000000e+00
5.754310344827586743e-01,-2.651437335369772441e+00,-2.079328911764442012e+01,1.268296352502345237e-01,4.108197182977909812e+00,5.473070699988531462e-01,7.943224295143470892e-02,0.000000000000000000e+00
5.987068965517241548e-01,-2.626702692349613955e+00,-2.165488342853255688e+01,1.207086963084545439e-01,4.191044008142032595e+00,5.850991763345269048e-01,8.116303881426485678e-02,0.000000000000000000e+00
6.219827586206896353e-01,-2.587691505906147604e+00,-2.250739186274802606e+01,1.144681489340094310e-01,4.280743891692042169e+00,6.231109602312749907e-01,8.236238044577266770e-02,0.000000000000000000e+00
6.452586206896551158e-01,-2.525625176917052350e+00,-2.331003033808166691e+01,1.079282578114428015e-01,4.387594908633039914e+00,6.596475377687933683e-01,8.266615837277924150e-02,0.000000000000000000e+00
6.685344827586205962e-01,-2.379348557389221686e+00,-2.410220688679455492e+01,9.840029033198938180e-02,4.665650089686478985e+00,7.079374222238846714e-01,8.150019363745600320e-02,0.000000000000000000e+00
6.918103448275860767e-01,-2.332724958526823045e+00,-2.634192513202433261e+01,8.832519501484489832e-02,4.975053386693733870e+00,8.503313613811886995e-01,8.875214735930078702e-02,0.000000000000000000e+00
7.150862068965516682e-01,-2.334258842210052087e+00,-2.708424107131214953e+01,8.597268533587247574e-02,4.841985119705387142e+00,8.642711042477033700e-01,8.835390454902020130e-02,0.000000000000000000e+00
7.383620689655172598e-01,-2.303661002333475594e+00,-2.781925430459959614e+01,8.261964856456192885e-02,4.766242832396510920e+00,8.810100152658313366e-01,8.720062288326206612e-02,0.000000000000000000e+00
