r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.043584271722330925e+00,-3.114304045111958352e+00,3.233342218489958508e-01,2.474313715905889666e+00,1.249185127061977832e-02,4.538244031540857905e-03,4.208052541183964479e+01
1.099137931034482735e-01,-1.106389908597368299e+00,-3.933388495746069413e+00,2.741967578439082898e-01,5.003968733659119650e+00,2.775930741636596991e-02,8.278404312881433927e-03,3.827457929707192896e+00
1.331896551724137956e-01,-1.192953746417056093e+00,-4.748247921444984421e+00,2.461461612554352862e-01,6.325435245288399955e+00,4.266037271400555803e-02,1.164008073162558013e-02,4.166028029527945620e+01
1.564655172413793038e-01,-1.302287733853119800e+00,-5.561048053612162256e+00,2.300349889923287983e-01,6.962823133258352115e+00,5.975805784334505683e-02,1.557923787361175511e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.430707049637569117e+00,-6.374144755850323918e+00,2.207954022984357223e-01,7.206498169549373500e+00,7.919978517063785972e-02,1.997892117803344580e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.572330584382402030e+00,-7.190030080958455194e+00,2.152928606624077978e-01,7.236056296174501412e+00,1.002585046122426715e-01,2.472117363750295921e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.720622158760149789e+00,-8.010728266094270467e+00,2.115751713127435041e-01,7.163349919736711868e+00,1.229733249964092834e-01,2.978932573931064934e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.870071752270866083e+00,-8.837222038539605862e+00,2.085366373377716132e-01,7.051730806695427844e+00,1.474823962938031641e-01,3.516258690694137878e-02,0.000000000000000000e+00
2.728448275862068728e-01,-2.016922384440015925e+00,-9.669449841357037556e+00,2.056385759590403095e-01,6.932063206752310691e+00,1.740572657539859180e-01,4.083241341399943686e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.158923546061152887e+00,-1.050671658372076855e+01,2.026595074365815097e-01,6.817036974255188397e+00,2.027650933951045398e-01,4.676343886082535983e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.294743263842082825e+00,-1.134811056086304326e+01,1.995231949627847279e-01,6.711020156523689550e+00,2.334841687304015645e-01,5.289848105575330889e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.423463282297609656e+00,-1.219274595370982794e+01,1.962055796190604051e-01,6.615391228052654782e+00,2.661845200007719181e-01,5.919343614912623425e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.544238362939029940e+00,-1.303985917498004987e+01,1.926915683409425872e-01,6.531014957735889581e+00,3.008424451111599285e-01,6.560489932010511727e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.656087829647694409e+00,-1.388882613862358539e+01,1.889576859544436771e-01,6.459236373966225742e+00,3.379588753436969517e-01,7.217097738233158033e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.757797556880528855e+00,-1.473913796466808712e+01,1.849683796095646926e-01,6.402092504998268652e+00,3.774117361243476410e-01,7.882045342784871345e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.847916404066915597e+00,-1.559035174826778913e+01,1.806796026258703225e-01,6.362107039722518564e+00,4.188474372686117331e-01,8.544355957536617363e-02,0.000000000000000000e+00
