r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.102272727272727293e-01,-9.660437438589034587e-01,4.557102465205835173e+00,2.088939314392450897e-01,8.031259362636077981e+00,1.138495899253015586e-02,4.316444360845449017e-03,1.030859179137762899e-01,4.617189203003181142e+00,0.000000000000000000e+00,4.617189203003181142e+00,-6.008673779734564208e-02,2.469659259713333777e-01,-8.330437438589034516e-01,4.425834716456346074e-01,6.847413936537846690e-02,3.152765122681569483e+04,5.716854869669680284e+01
1.306818181818181768e-01,-9.601887714640295890e-01,5.391403427590379493e+00,1.762483307654633957e-01,9.599388919517858554e+00,1.994942362355311277e-02,6.686450115757193793e-03,1.516775847725737869e-01,5.473987199436760598e+00,0.000000000000000000e+00,5.473987199436760598e+00,-8.258377184638077129e-02,2.896676749710421772e-01,-8.271887714640295819e-01,5.539479456312175198e-01,8.210940810677735957e-02,3.706294339134735492e+04,5.273416622390412201e+00
1.511363636363636520e-01,-1.077272013893479041e+00,6.224101706685043034e+00,1.713828143059732967e-01,9.575836896402723397e+00,2.916573885901849877e-02,8.962838328444865804e-03,1.912307167248551987e-01,6.330785195870341830e+00,0.000000000000000000e+00,6.330785195870341830e+00,-1.066834891852990463e-01,3.292963857222821478e-01,-9.442720138934790342e-01,6.054822027533366402e-01,7.716723428017509268e-02,4.275074898744523671e+04,3.835349058459706129e+01
1.715909090909090995e-01,-5.955975196106653158e-01,7.056061008098907905e+00,8.420973168157237787e-02,1.426816103653075984e+01,3.554224875871925260e-02,1.371516063610096585e-02,2.061074877176490849e-01,7.187583192303921287e+00,0.000000000000000000e+00,7.187583192303921287e+00,-1.315221842050132428e-01,3.635412290528576840e-01,-4.625975196106653087e-01,5.821296338921848612e-01,1.699609323640082215e-01,4.792493317519910488e+04,7.400084114875586927e-01
1.920454545454545470e-01,-1.311316862050713183e+00,7.888132746366276038e+00,1.647327332174223502e-01,9.352207313405761724e+00,5.459527747954374260e-02,1.436420914702864378e-02,2.805481675324962842e-01,8.044381188737501631e+00,0.000000000000000000e+00,8.044381188737501631e+00,-1.562484423712251491e-01,3.903390504373614456e-01,-1.178316862050713176e+00,7.016873460788530803e-01,6.512022609077133817e-02,5.411918747192468436e+04,0.000000000000000000e+00
2.124999999999999944e-01,-1.412205363601318986e+00,8.721196042439814278e+00,1.605345174893221538e-01,9.290421774715994729e+00,7.159676424806479811e-02,1.751139116096750437e-02,3.319089900574935803e-01,8.901179185171081087e+00,0.000000000000000000e+00,8.901179185171081087e+00,-1.799831427312672816e-01,4.083858661726569306e-01,-1.279205363601318979e+00,7.513677732995764913e-01,5.973881070547507055e-02,5.979349506532346277e+04,1.773240178411831494e+02
2.329545454545454697e-01,-1.566124160784454489e+00,9.555974766179662794e+00,1.624453823271447273e-01,8.878611702893463686e+00,9.020353505369295422e-02,2.080039887939981805e-02,3.807341299549065194e-01,9.757977181604662320e+00,0.000000000000000000e+00,9.757977181604662320e+00,-2.020024154249995818e-01,4.171339616382849780e-01,-1.433124160784454482e+00,7.863596624337781948e-01,5.054361010193521297e-02,6.553722964774136199e+04,3.321913201939349847e+01
2.534090909090909172e-01,-1.735164743194682835e+00,1.039288113389625856e+01,1.654311962503578204e-01,8.405211585286608056e+00,1.103848243776038157e-01,2.425992690016491246e-02,4.275211080411821518e-01,1.061477517803824178e+01,0.000000000000000000e+00,1.061477517803824178e+01,-2.218940441419837151e-01,4.164514328332201698e-01,-1.602164743194682828e+00,8.114868986768568604e-01,4.134475868405416282e-02,7.131215371343426523e+04,2.105431498605766478e+02
2.738636363636363646e-01,-1.913912391425285797e+00,1.123206326726480064e+01,1.687761976769911187e-01,7.911231539679928204e+00,1.316847556474400327e-01,2.787312697001024034e-02,4.710941810574229560e-01,1.147157317447182123e+01,0.000000000000000000e+00,1.147157317447182123e+01,-2.395099072070209223e-01,4.063238494749910057e-01,-1.780912391425285790e+00,8.269191960723772938e-01,3.293760821416302081e-02,7.711381215549015906e+04,2.208923589362669020e+02
2.943181818181818121e-01,-2.023197710307854003e+00,1.207354809268455931e+01,1.660301466283901073e-01,7.766243093696893141e+00,1.524705811260541333e-01,3.131052598526933711e-02,5.070975579740271133e-01,1.232837117090540069e+01,0.000000000000000000e+00,1.232837117090540069e+01,-2.548230782208411038e-01,3.868312606867024828e-01,-1.890197710307853995e+00,8.284627954600469746e-01,3.025951802485488465e-02,8.285257645405238145e+04,1.320000000000000000e+02
3.147727272727273151e-01,-2.111830567212974685e+00,1.291732643119031998e+01,1.620545393750340013e-01,7.691703028920443330e+00,1.731467875774783949e-01,3.465152533507053628e-02,5.380743584792364587e-01,1.318516916733898192e+01,0.000000000000000000e+00,1.318516916733898192e+01,-2.678427361486627190e-01,3.583016994380349152e-01,-1.978830567212974678e+00,8.221893966875559734e-01,2.917045561250169658e-02,8.858454011943590012e+04,0.000000000000000000e+00
3.352272727272727071e-01,-2.203546554901333998e+00,1.376335906851895885e+01,1.587550858807152687e-01,7.578422207449252213e+00,1.942715391654902535e-01,3.798219662638414179e-02,5.664383975276505723e-01,1.404196716377255960e+01,0.000000000000000000e+00,1.404196716377255960e+01,-2.786080952536010846e-01,3.214102184124222328e-01,-2.070546554901333991e+00,8.127599539566625619e-01,2.790511861997011303e-02,9.433609585903056723e+04,3.000000000000000000e+00
3.556818181818182101e-01,-2.294796669865493577e+00,1.461155715215284268e+01,1.557810284303433879e-01,7.446497565989650624e+00,2.159783762162722220e-01,4.129497154314365481e-02,5.930002431595430279e-01,1.489876516020614261e+01,0.000000000000000000e+00,1.489876516020614261e+01,-2.872080080532994351e-01,2.771294581289421854e-01,-2.161796669865493570e+00,8.018575889275674218e-01,2.658203453152672285e-02,1.001025493775953073e+05,0.000000000000000000e+00
3.761363636363636576e-01,-2.383663756588993543e+00,1.546177209836107203e+01,1.529607660356059329e-01,7.305761116932213639e+00,2.383181159855591591e-01,4.457761664957310410e-02,6.181832800186525256e-01,1.575556315663972207e+01,0.000000000000000000e+00,1.575556315663972207e+01,-2.937910582786504854e-01,2.265814142709245693e-01,-2.250663756588993536e+00,7.902917604170331956e-01,2.526102388954978156e-02,1.058808236006689840e+05,4.000000000000000000e+02
3.965909090909091050e-01,-2.469480526305462220e+00,1.631380079529489535e+01,1.502331563224505728e-01,7.159716060259558645e+00,2.613083248163532990e-01,4.784007835728511931e-02,6.422513797274748137e-01,1.661236115307330152e+01,0.000000000000000000e+00,1.661236115307330152e+01,-2.985603577784049500e-01,1.708661340602536383e-01,-2.336480526305462213e+00,7.785030637343939297e-01,2.401710642562440712e-02,1.116688979007073212e+05,0.000000000000000000e+00
4.170454545454545525e-01,-2.551598478393996672e+00,1.716740322784420059e+01,1.475502438978712749e-01,7.011110037595814859e+00,2.849365998546204981e-01,5.106120973881198705e-02,6.653407955246035677e-01,1.746915914950688276e+01,0.000000000000000000e+00,1.746915914950688276e+01,-3.017559216626828356e-01,1.109218760610171939e-01,-2.418598478393996665e+00,7.666987554002133720e-01,2.283108680790456313e-02,1.174645731073689531e+05,0.000000000000000000e+00
4.375000000000000000e-01,-2.629507483595737050e+00,1.802232726729341294e+01,1.448804889797256912e-01,6.861750145344501561e+00,3.091687004827124441e-01,5.421653668673720450e-02,6.875157931654528598e-01,1.832595714594046044e+01,0.000000000000000000e+00,1.832595714594046044e+01,-3.036298786470472133e-01,4.744946282708260160e-02,-2.496507483595737042e+00,7.549666536132572103e-01,2.168611030029920367e-02,1.232657490151206002e+05,0.000000000000000000e+00
4.579545454545454475e-01,-2.703360948685737064e+00,1.887833285819738904e+01,1.422321915282198923e-01,6.711160830815687817e+00,3.339675172471598397e-01,5.730514503801664716e-02,7.088287658823251292e-01,1.918275514237404167e+01,0.000000000000000000e+00,1.918275514237404167e+01,-3.044222841766530685e-01,-1.909426152093367246e-02,-2.570360948685737057e+00,7.433612367616412309e-01,2.059779198876728057e-02,1.290710766226181731e+05,0.000000000000000000e+00
4.784090909090908950e-01,-2.773501293771857057e+00,1.973520905181789686e+01,1.396212986986440641e-01,6.558428389316003582e+00,3.592899513485054985e-01,6.033078016991547804e-02,7.293116244280744009e-01,2.003955313880761935e+01,0.000000000000000000e+00,2.003955313880761935e+01,-3.043440869897239276e-01,-8.845492179669015020e-02,-2.640501293771857050e+00,7.319046110325589938e-01,1.957826551394375655e-02,1.348795666241956642e+05,0.000000000000000000e+00
4.988636363636363424e-01,-2.839226164976776268e+00,2.059278186103385266e+01,1.370110123788059742e-01,6.405661197368113235e+00,3.850672118284629852e-01,6.325436848191520744e-02,7.489343602010521961e-01,2.089635113524120058e+01,0.000000000000000000e+00,2.089635113524120058e+01,-3.035692742073468620e-01,-1.605204083897769363e-01,-2.706226164976776261e+00,7.205591259372515767e-01,1.859692855052101634e-02,1.406894857707986084e+05,0.000000000000000000e+00
5.193181818181817899e-01,-2.900550365757553983e+00,2.145091476938120323e+01,1.344028460323195839e-01,6.252772539894489334e+00,4.112476461096701841e-01,6.606649039873109530e-02,7.677075569286578860e-01,2.175314913167477826e+01,0.000000000000000000e+00,2.175314913167477826e+01,-3.022343622935760865e-01,-2.352634351108927047e-01,-2.767550365757553976e+00,7.093254657837803068e-01,1.765526186549255111e-02,1.465000499935555563e+05,0.000000000000000000e+00
5.397727272727272929e-01,-2.959709241362701526e+00,2.230950500610790854e+01,1.318956418451293910e-01,6.094099176802666662e+00,4.378055076738492368e-01,6.895831426748140480e-02,7.857234243685865538e-01,2.260994712810836305e+01,0.000000000000000000e+00,2.260994712810836305e+01,-3.004421220004536153e-01,-3.126961650167425777e-01,-2.826709241362701519e+00,6.982664317709695867e-01,1.699208676556141634e-02,1.523126750013382698e+05,0.000000000000000000e+00
5.602272727272727959e-01,-3.014236100393342888e+00,2.316847814280016848e+01,1.293740664100458682e-01,5.936249225561468279e+00,4.646227059857965247e-01,7.174367391483617296e-02,8.028339307070470054e-01,2.346674512454194428e+01,0.000000000000000000e+00,2.346674512454194428e+01,-2.982669817417759606e-01,-3.928375669275775417e-01,-2.881236100393342880e+00,6.872480057858735281e-01,1.637933999730851325e-02,1.581247092551159731e+05,0.000000000000000000e+00
5.806818181818181879e-01,-3.064060936416882264e+00,2.402778258364128661e+01,1.268370112511669479e-01,5.779286197161773941e+00,4.916061063949760945e-01,7.438668422709375505e-02,8.189780926269073502e-01,2.432354312097552196e+01,0.000000000000000000e+00,2.432354312097552196e+01,-2.957605373342354627e-01,-4.756902008555122241e-01,-2.931060936416882257e+00,6.762165498019345744e-01,1.578398246441940073e-02,1.639358732419240114e+05,0.000000000000000000e+00
6.011363636363635798e-01,-3.108757103222838047e+00,2.488738478380004793e+01,1.242693007459108739e-01,5.624079590729002653e+00,5.186551547796509620e-01,7.689983677461117995e-02,8.341021400573809252e-01,2.518034111740909964e+01,0.000000000000000000e+00,2.518034111740909964e+01,-2.929563336090507675e-01,-5.612223930557643792e-01,-2.975757103222838040e+00,6.651321301020771681e-01,1.525155345692881526e-02,1.697457139421610045e+05,0.000000000000000000e+00
6.215909090909090828e-01,-3.148650780881099287e+00,2.574726546249463155e+01,1.216864797562024481e-01,5.469738751281749245e+00,5.457007635041638549e-01,7.925176756402105283e-02,8.481959588288612295e-01,2.603713911384268087e+01,0.000000000000000000e+00,2.603713911384268087e+01,-2.898736513480493771e-01,-6.493527620433015013e-01,-3.015650780881099280e+00,6.539908729565502288e-01,1.473989331502410793e-02,1.755545220815135399e+05,0.000000000000000000e+00
6.420454545454545858e-01,-3.183896933717304201e+00,2.660741663666251355e+01,1.190957198607164730e-01,5.315852777629500814e+00,5.726590187493483253e-01,8.142879668096827950e-02,8.612324339383401473e-01,2.689393711027626210e+01,0.000000000000000000e+00,2.689393711027626210e+01,-2.865204736137495489e-01,-7.399358388590233648e-01,-3.050896933717304194e+00,6.427770804962680273e-01,1.424087026819849562e-02,1.813625041069977451e+05,0.000000000000000000e+00
6.624999999999999778e-01,-3.213099764991633300e+00,2.746783916043901996e+01,1.164475788565089570e-01,5.165254499330776738e+00,5.993856335397506063e-01,8.343191328748550406e-02,8.731081133183778986e-01,2.775073510670983978e+01,0.000000000000000000e+00,2.775073510670983978e+01,-2.828959462708188766e-01,-8.327492217091346793e-01,-3.080099764991633293e+00,6.314257953374291521e-01,1.380482202049348323e-02,1.871686954246560344e+05,0.000000000000000000e+00
6.829545454545453698e-01,-3.236877392863918068e+00,2.832854060231766624e+01,1.137686573081035518e-01,5.016419816305710988e+00,6.258003174390536216e-01,8.524948126057500797e-02,8.838125051883449768e-01,2.860753310314341746e+01,0.000000000000000000e+00,2.860753310314341746e+01,-2.789925008257518324e-01,-9.274835543889975442e-01,-3.103877392863918061e+00,6.199394140969003431e-01,1.340684520783684899e-02,1.929738240168343473e+05,0.000000000000000000e+00
7.034090909090908728e-01,-3.256298268943187857e+00,2.918953343268648126e+01,1.110977011542920723e-01,4.867128749788253828e+00,6.518271301026030695e-01,8.686787043176730228e-02,8.933405865981468574e-01,2.946433109957699870e+01,0.000000000000000000e+00,2.946433109957699870e+01,-2.747976668905164344e-01,-1.023736826789538590e+00,-3.123298268943187850e+00,6.083229384803756634e-01,1.301395066388775362e-02,1.987789452429217345e+05,0.000000000000000000e+00
7.238636363636363757e-01,-3.271062960071607684e+00,3.005083347814190731e+01,1.084241118049182884e-01,4.717988554263150114e+00,6.772980962516970127e-01,8.828211099628779923e-02,9.015720246254645964e-01,3.032112909601057993e+01,0.000000000000000000e+00,3.032112909601057993e+01,-2.702956178686714006e-01,-1.121014935813774649e+00,-3.138062960071607677e+00,5.965078271384302022e-01,1.264171076074608810e-02,2.045840585896990087e+05,0.000000000000000000e+00
7.443181818181817677e-01,-3.280451709569969232e+00,3.091245861828030783e+01,1.057250059895764038e-01,4.570310344546109960e+00,7.019806869939098082e-01,8.949066889417175985e-02,9.083185484674601851e-01,3.117792709244415761e+01,0.000000000000000000e+00,3.117792709244415761e+01,-2.654684741638493328e-01,-1.218741328788849776e+00,-3.147451709569969225e+00,5.843901291033060108e-01,1.231733581221311144e-02,2.103888988527502515e+05,0.000000000000000000e+00
7.647727272727272707e-01,-3.286988543254010686e+00,3.177442787841449956e+01,1.030809472233712304e-01,4.419478171238884201e+00,7.256981873159276120e-01,9.048922883602554534e-02,9.134730016989103252e-01,3.203472508887774239e+01,0.000000000000000000e+00,3.203472508887774239e+01,-2.602972104632429451e-01,-1.316279152740736480e+00,-3.153988543254010679e+00,5.719216497879788808e-01,1.199576355965691239e-02,2.161955191645686864e+05,0.000000000000000000e+00
7.852272727272726627e-01,-3.292180723198641523e+00,3.263676127915907443e+01,1.005333193003902226e-01,4.263120917600025983e+00,7.481063882741560978e-01,9.135067642589039805e-02,9.167488112521280375e-01,3.289152308531132007e+01,0.000000000000000000e+00,3.289152308531132007e+01,-2.547618061522452515e-01,-1.412968770487628589e+00,-3.159180723198641516e+00,5.589524876526362762e-01,1.172538390464060269e-02,2.220051103188643174e+05,0.000000000000000000e+00
8.056818181818181657e-01,-3.293925050708142344e+00,3.349948101341788487e+01,9.801258199306178698e-02,4.105222945175770022e+00,7.685744759050094910e-01,9.197714130048971481e-02,9.175374087035026438e-01,3.374832108174489775e+01,0.000000000000000000e+00,3.374832108174489775e+01,-2.488400683270151625e-01,-1.508181143200585828e+00,-3.160925050708142336e+00,5.451629469068390854e-01,1.150102849738570028e-02,2.278163863563820196e+05,0.000000000000000000e+00
8.261363636363636687e-01,-3.297031796340278653e+00,3.436261479804307584e+01,9.565540275480818866e-02,3.937953785688213415e+00,7.865083753277062328e-01,9.236848777810563460e-02,9.153301311068244850e-01,3.460511907817848254e+01,0.000000000000000000e+00,3.460511907817848254e+01,-2.425042801354101440e-01,-1.601382649568781513e+00,-3.164031796340278646e+00,5.303122088627800768e-01,1.127098429443931099e-02,2.336327079145002062e+05,0.000000000000000000e+00
8.465909090909090606e-01,-3.305161796737331237e+00,3.522620237673788068e+01,9.355291013333588701e-02,3.756092157960624789e+00,8.008788812501449472e-01,9.251553004459280027e-02,9.091810212364885846e-01,3.546191707461206022e+01,0.000000000000000000e+00,3.546191707461206022e+01,-2.357146978741796184e-01,-1.692198774400381023e+00,-3.172161796737331230e+00,5.139386127514034008e-01,1.102816122025307086e-02,2.394564959088683245e+05,0.000000000000000000e+00
8.670454545454544526e-01,-3.305425735350929095e+00,3.609030579413865780e+01,9.133282766707834233e-02,3.580967932052828928e+00,8.095802635506440526e-01,9.202984951317069728e-02,8.970441832035528362e-01,3.631871507104563790e+01,0.000000000000000000e+00,3.631871507104563790e+01,-2.284092769069786810e-01,-1.780453697521033440e+00,-3.172425735350929088e+00,4.950389492931331348e-01,1.082193281682049431e-02,2.452799074280364730e+05,0.000000000000000000e+00
8.874999999999999556e-01,-3.312731711043897853e+00,3.695502273794682679e+01,8.940329605968609650e-02,3.389196368198148512e+00,8.110232454384592726e-01,9.105363812360844911e-02,8.776208504723442827e-01,3.717551306747921558e+01,0.000000000000000000e+00,3.717551306747921558e+01,-2.204903295323881185e-01,-1.866153097918008985e+00,-3.179731711043897846e+00,4.730700899004648408e-01,1.059788301090216524e-02,2.511128584216449526e+05,0.000000000000000000e+00
