r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-1.014643847052788761e+00,-3.152390180714069956e+00,3.113937281963196080e-01,-8.415463924930151052e-01,4.786145191597522899e-03,2.054893056328167301e-03,3.135638232191097785e+01
1.099137931034482735e-01,-1.055648369203913362e+00,-3.990083720810530199e+00,2.586420103176672591e-01,1.913047261161430868e+00,1.250951964622834360e-02,4.308513288798274284e-03,2.324593383001742897e+00
1.331896551724137956e-01,-1.113669866503038897e+00,-4.823683827459157136e+00,2.268996337173012079e-01,3.463894329220085666e+00,2.643389347242211529e-02,7.897875559036832832e-03,6.707963727989458391e+01
1.564655172413793038e-01,-1.190332478219940038e+00,-5.653197985075851584e+00,2.075276526645177255e-01,4.305969941494831588e+00,5.356287965966605169e-02,1.319717898284479031e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.286111706179407843e+00,-6.478731043487529817e+00,1.959652506719833376e-01,4.700589633843563320e+00,7.479624766222180143e-02,1.715030524790356337e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.399906788446991568e+00,-7.300754263428167690e+00,1.894487326466587906e-01,4.806101470958443755e+00,9.881586549634091554e-02,2.108753888041364072e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.528550085582008666e+00,-8.120397527154933570e+00,1.860587324102548901e-01,4.732477034195595067e+00,1.191535461258005357e-01,2.504506890994622620e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.666648426160582064e+00,-8.939537985045715729e+00,1.843195337468977457e-01,4.564268634483610754e+00,1.392071644438211131e-01,2.911562048518703122e-02,0.000000000000000000e+00
2.728448275862068728e-01,-1.807254801180407489e+00,-9.760533492156477919e+00,1.830859142576838072e-01,4.367092681883510963e+00,1.616476079363534935e-01,3.306477788352495117e-02,0.000000000000000000e+00
2.961206896551724088e-01,-1.943446646947668999e+00,-1.058560887908855896e+01,1.815712557579877151e-01,4.186019078462571485e+00,1.827722889467862655e-01,3.720720054742251981e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.070035598271879440e+00,-1.141620257415224593e+01,1.793754364596815976e-01,4.043973113971746969e+00,2.051518049173944869e-01,4.139446022815058274e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.184362743935723827e+00,-1.225268763661455829e+01,1.764227481912019058e-01,3.945292547116281412e+00,2.312560003688468035e-01,4.536100766839747805e-02,0.000000000000000000e+00
