r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-9.907277318711980030e-01,-3.110138313713890490e+00,3.083850862695803885e-01,3.330836091975250213e+00,8.199564943274971485e-03,3.341428528684614770e-03,4.351345137195244206e+01
1.099137931034482735e-01,-1.050796668475161288e+00,-3.927101054093433241e+00,2.614508476233189938e-01,5.734255595351545054e+00,2.752599425152222473e-02,8.305900834159062746e-03,3.737711845033901081e+00
1.331896551724137956e-01,-1.133365026974141987e+00,-4.740052160007627968e+00,2.346975266583090081e-01,6.981393688891193605e+00,4.322166712675212796e-02,1.177547001580179012e-02,4.406983878589547743e+01
1.564655172413793038e-01,-1.237056019892627035e+00,-5.551451836192379474e+00,2.192525108942643686e-01,7.580613620969691269e+00,6.224879450225286048e-02,1.624630842631914415e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.358360846642265862e+00,-6.363592880032836518e+00,2.103019795090282917e-01,7.807727008028816584e+00,8.274160451698388263e-02,2.066927738033425346e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.492057155711890681e+00,-7.178644885269715559e+00,2.049288872329739775e-01,7.829868232666784778e+00,1.047364303976926758e-01,2.558462491975265277e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.632208227178136850e+00,-7.998395228805265766e+00,2.013030257081707131e-01,7.751900509422593899e+00,1.283533812211599956e-01,3.078304134311648718e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.773455092537227440e+00,-8.823860938658029340e+00,1.983415589852553507e-01,7.635865768099796114e+00,1.539183617358547140e-01,3.588262759162118981e-02,0.000000000000000000e+00
2.728448275862068728e-01,-1.911851259161321481e+00,-9.655173728493021912e+00,1.954843888285127118e-01,7.513855273717599204e+00,1.811958963563392033e-01,4.153449800151259863e-02,0.000000000000000000e+00
2.961206896551724088e-01,-2.044934278489185964e+00,-1.049180258469539062e+01,1.924944642950930374e-01,7.399451044830883006e+00,2.104289003123943902e-01,4.702672814827797698e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.171318509081295201e+00,-1.133289126826610271e+01,1.893003436370853665e-01,7.296746392075982968e+00,2.418758274318277834e-01,5.311736199438207157e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.290202231463625004e+00,-1.217752010014818609e+01,1.858966331672095018e-01,7.206050350970075513e+00,2.761969913402278487e-01,5.918930607037690972e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.400994639544669962e+00,-1.302484371796090734e+01,1.822931568798498991e-01,7.126800048096963991e+00,3.118615837020474735e-01,6.553593272972355055e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.503089049282145151e+00,-1.387413645837220422e+01,1.784939581115424501e-01,7.058763817337995405e+00,3.495273444922475936e-01,7.194732131370205896e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.595740164796435323e+00,-1.472478711101139481e+01,1.744909631612658885e-01,7.002404247686738969e+00,3.901224347729717046e-01,7.822349368220044008e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.678026475396438677e+00,-1.557626387433503901e+01,1.702653109583062707e-01,6.958801998892198526e+00,4.323767913023597309e-01,8.469431917475718496e-02,0.000000000000000000e+00
4.590517241379309943e-01,-2.748902559797180789e+00,-1.642805279316646860e+01,1.657938052318758126e-01,6.929286119370958730e+00,4.790085488597834451e-01,9.093671910803453884e-02,0.000000000000000000e+00
4.823275862068965303e-01,-2.807328972056296390e+00,-1.727956766448758330e+01,1.610580309697509371e-01,6.914911711603108913e+00,5.256737299038589661e-01,9.718591313994676129e-02,0.000000000000000000e+00
5.056034482758620108e-01,-2.852433648496483620e+00,-1.813002085085339132e+01,1.560528458061679613e-01,6.915973411443625096e+00,5.744989507195874534e-01,1.032442873116366788e-01,0.000000000000000000e+00
5.288793103448274913e-01,-2.883649805345604555e+00,-1.897821060546123562e+01,1.507918913597361410e-01,6.931689611720466715e+00,6.266675920951518819e-01,1.089727394662617227e-01,0.000000000000000000e+00
5.521551724137930828e-01,-2.900795479574107105e+00,-1.982210189204994322e+01,1.453100146234085066e-01,6.960063726808703777e+00,6.796539074599903252e-01,1.144399262214918084e-01,0.000000000000000000e+00
5.754310344827586743e-01,-2.904033332142943458e+00,-2.065791603984143165e+01,1.396620644004291367e-01,6.997953151771108438e+00,7.342401063554915286e-01,1.194969922972356768e-01,0.000000000000000000e+00
5.987068965517241548e-01,-2.893778259558142274e+00,-2.147807823957733930e+01,1.339252329774852923e-01,7.040935094369536351e+00,7.935447345532458119e-01,1.239650222275755914e-01,0.000000000000000000e+00
6.219827586206896353e-01,-2.872164344500534039e+00,-2.226726172351083477e+01,1.282776970378368964e-01,7.078800782645552125e+00,8.486701560349929618e-01,1.278388557837113193e-01,0.000000000000000000e+00
6.452586206896551158e-01,-2.860453405341916167e+00,-2.301136375503547171e+01,1.236717339913519093e-01,7.056988740088074863e+00,8.983637857706926466e-01,1.309934731697620369e-01,0.000000000000000000e+00
6.685344827586205962e-01,-3.043897323140626554e+00,-2.406233730122973924e+01,1.258321206569990858e-01,6.647493416315866988e+00,9.545109461275932405e-01,1.391533680799538208e-01,0.000000000000000000e+00
6.918103448275860767e-01,-3.399858911925214500e+00,-2.799612647031066359e+01,1.208485694802182847e-01,6.647315580018577030e+00,1.291921997280334411e+00,1.801663660367862074e-01,0.000000000000000000e+00
7.150862068965516682e-01,-2.422192094242811233e+00,-2.905884571573277952e+01,8.316247601577461679e-02,8.520855396152466454e+00,1.555450972212118144e+00,1.697502911697329475e-01,0.000000000000000000e+00
7.383620689655172598e-01,-2.541041688049596736e+00,-2.944591592717845785e+01,8.608195889553078850e-02,8.067867063067453159e+00,1.537746794872064005e+00,1.684477291797231158e-01,0.000000000000000000e+00
