r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.967105263157895689e-02,-2.072441987155951182e+00,-4.689513482075878592e+00,4.161236251513466544e-01,3.157872523143925747e+00,5.724701316763896458e-02,2.674800430627143413e-02,6.466654206586953535e+01
1.240131578947368390e-01,-2.167529346683187086e+00,-6.464547191526693659e+00,3.235148745808411608e-01,3.979426994339412715e+00,1.181716323172025684e-01,4.194744202294190677e-02,7.160856549875259880e+00
1.583552631578947212e-01,-2.345894233673897045e+00,-8.211669028368778100e+00,2.782662296185287598e-01,3.925371920856431274e+00,1.868888655115376884e-01,5.699447209687484583e-02,4.108211249030986068e+01
1.926973684210526172e-01,-2.615451192558925442e+00,-9.928259148957499391e+00,2.575828782719301602e-01,3.364037179778204489e+00,2.516495272515495984e-01,7.164949103255360829e-02,0.000000000000000000e+00
2.270394736842105410e-01,-2.940615195002517002e+00,-1.163514666565321676e+01,2.475516368750571849e-01,2.700056925736660673e+00,3.075758694065622856e-01,8.553703097058196203e-02,0.000000000000000000e+00
2.613815789473684092e-01,-3.272258246998149822e+00,-1.335910524627586504e+01,2.402162489754860464e-01,2.196013626185026268e+00,3.648951572732022641e-01,9.982140809652841063e-02,0.000000000000000000e+00
2.957236842105263053e-01,-3.587177611722367931e+00,-1.511002809123851698e+01,2.330887054512292833e-01,1.888244168719818816e+00,4.341615737038957423e-01,1.164221202844890057e-01,0.000000000000000000e+00
3.300657894736842568e-01,-3.889612886199165676e+00,-1.688415185502396199e+01,2.264203787003784552e-01,1.699132682042447939e+00,5.161759534157819296e-01,1.355173423016364787e-01,0.000000000000000000e+00
3.644078947368420973e-01,-4.197429804245139451e+00,-1.867195095649368497e+01,2.211228085027064083e-01,1.536478671656581696e+00,6.041568956558530656e-01,1.560630689826204287e-01,0.000000000000000000e+00
3.987499999999999378e-01,-4.521872622725317648e+00,-2.046384836216376613e+01,2.174742199407074250e-01,1.357826862679473834e+00,6.895483112717872842e-01,1.766018388410788287e-01,0.000000000000000000e+00
4.330921052631578894e-01,-4.849385363169904650e+00,-2.225523645353327495e+01,2.145450571017186447e-01,1.198156942491934274e+00,7.772759857172139020e-01,1.979287687299944309e-01,0.000000000000000000e+00
4.674342105263157854e-01,-5.138722265070649442e+00,-2.404848752215735530e+01,2.105157878516601966e-01,1.148708474997912177e+00,8.932564450379322230e-01,2.241190921246908607e-01,0.000000000000000000e+00
5.017763157894736814e-01,-5.336022263216032790e+00,-2.585111129121873219e+01,2.035548571066699564e-01,1.304907723883129478e+00,1.080779071616383202e+00,2.613958095576034979e-01,0.000000000000000000e+00
5.361184210526315219e-01,-5.402488958384815909e+00,-2.767144303207731326e+01,1.928115658277539390e-01,1.708378543058080012e+00,1.381328915120714873e+00,3.133405327251337913e-01,0.000000000000000000e+00
5.704605263157894735e-01,-5.344982475261469190e+00,-2.951421562861575509e+01,1.791568349839601781e-01,2.303789863644260194e+00,1.802567827995743333e+00,3.753494306202847519e-01,0.000000000000000000e+00
6.048026315789474250e-01,-5.231741022782268047e+00,-3.138449925892979664e+01,1.651794044818131746e-01,2.938601824466179124e+00,2.305283126237553049e+00,4.372644587235917646e-01,0.000000000000000000e+00
6.391447368421052655e-01,-5.197362753745295549e+00,-3.336681579026653566e+01,1.545227006146380755e-01,3.400738703953258835e+00,2.803467880705060367e+00,4.931269959026206573e-01,0.000000000000000000e+00
6.734868421052631060e-01,-5.618669584224002200e+00,-3.602498123973843747e+01,1.547194267352442199e-01,3.255954185463409090e+00,3.195484542150097251e+00,5.653957141056145108e-01,0.000000000000000000e+00
7.078289473684209465e-01,-5.523373416193175345e+00,-3.794961810587665241e+01,1.445300608879637183e-01,3.719037498350864723e+00,3.785599428400800104e+00,6.221556889674502155e-01,0.000000000000000000e+00
