r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
3.153846153846154299e-01,-2.846651082026844026e+00,-1.138063894895944372e+01,2.451019932267921864e-01,1.904330976213928039e+01,7.444229275650129374e-01,4.129070459008702398e-01,1.230653698371700557e+03
3.461538461538461453e-01,-2.912148346160725154e+00,-1.244905538749869400e+01,2.297932101299471619e-01,1.816618110120884921e+01,8.976424702557014301e-01,4.667797705107225026e-01,4.707259171169147862e+02
3.769230769230769162e-01,-2.997945358833486118e+00,-1.350682618500234966e+01,2.184169482761993131e-01,1.751436931035342326e+01,1.040459374703708528e+00,5.099570139573716965e-01,5.685128585958023173e+00
4.076923076923076872e-01,-3.109459700975690133e+00,-1.455357558202092960e+01,2.104912501656520385e-01,1.706026025892425224e+01,1.207173939615263425e+00,5.691505540022352427e-01,0.000000000000000000e+00
4.384615384615384581e-01,-3.252646202712446311e+00,-1.558922739053275386e+01,2.056960308377553670e-01,1.678551442959621198e+01,1.384909726656464501e+00,6.375391841412243465e-01,0.000000000000000000e+00
4.692307692307692846e-01,-3.433119766652331428e+00,-1.661444962413976256e+01,2.037667454207249262e-01,1.667497451772423034e+01,1.572957683128736406e+00,7.170957115367937451e-01,0.000000000000000000e+00
5.000000000000000000e-01,-3.654514502383243713e+00,-1.763130193663125311e+01,2.043801257338886401e-01,1.671011862090492528e+01,1.771424938943036098e+00,8.100830313090620072e-01,0.000000000000000000e+00
5.307692307692307709e-01,-3.916283531717519750e+00,-1.864378470620266270e+01,2.070481241484276591e-01,1.686298366980560814e+01,1.980880112622898093e+00,9.180930608526338688e-01,0.000000000000000000e+00
5.615384615384615419e-01,-4.211911682022799752e+00,-1.965776657085081780e+01,2.110706259450997047e-01,1.709345604583870681e+01,2.202444161463970485e+00,1.041365409092522398e+00,0.000000000000000000e+00
5.923076923076924238e-01,-4.529051719181799385e+00,-2.067988947322247029e+01,2.156034654820577767e-01,1.735316862051643838e+01,2.437665199082343914e+00,1.178400664228774097e+00,0.000000000000000000e+00
6.230769230769230838e-01,-4.852371922718317521e+00,-2.171572212020301507e+01,2.198383699456460394e-01,1.759581077292115836e+01,2.697290348323738929e+00,1.332653670729068818e+00,0.000000000000000000e+00
6.538461538461539657e-01,-5.167915045527769813e+00,-2.276817650508753488e+01,2.231979975203681188e-01,1.778830325368850751e+01,2.985330992114367366e+00,1.502748578076117836e+00,0.000000000000000000e+00
6.846153846153846256e-01,-5.466446637957679044e+00,-2.383712445165729932e+01,2.254271302186605097e-01,1.791602314927526862e+01,3.286912502091507537e+00,1.674813686320878681e+00,0.000000000000000000e+00
7.153846153846152855e-01,-5.744213798987533259e+00,-2.492021969777709955e+01,2.265471457151473633e-01,1.798019531021321527e+01,3.600442795022898324e+00,1.845705689515845016e+00,0.000000000000000000e+00
7.461538461538461675e-01,-6.001580554908573006e+00,-2.601416724545958203e+01,2.267372107553563831e-01,1.799108523485017486e+01,3.924972350755637329e+00,2.014129423757695214e+00,0.000000000000000000e+00
7.769230769230769384e-01,-6.241006606277743174e+00,-2.711572493804685990e+01,2.262221425536653507e-01,1.796157400073188626e+01,4.260033290841247045e+00,2.180011194238363537e+00,0.000000000000000000e+00
8.076923076923077094e-01,-6.465437704155326593e+00,-2.822219918527171600e+01,2.252044112124499675e-01,1.790326229020205773e+01,4.605411791292121748e+00,2.343808217170575858e+00,0.000000000000000000e+00
8.384615384615384803e-01,-6.677394896093712617e+00,-2.933154581102246183e+01,2.238375345610359168e-01,1.782494602696105801e+01,4.960953580491190174e+00,2.506008507782123473e+00,0.000000000000000000e+00
8.692307692307692513e-01,-6.878605148864914476e+00,-3.044226724635035808e+01,2.222239469677393664e-01,1.773249426799049289e+01,5.326427011082691010e+00,2.666844738526283454e+00,0.000000000000000000e+00
9.000000000000000222e-01,-7.069939526008975683e+00,-3.155323727375012766e+01,2.204232138831327958e-01,1.762931986221296299e+01,5.701432849339740372e+00,2.826160193820910660e+00,0.000000000000000000e+00
9.307692307692307931e-01,-7.251504179169867115e+00,-3.266350803049750340e+01,2.184631640962669263e-01,1.751701728179003226e+01,6.085345433585536590e+00,2.983371693091698695e+00,0.000000000000000000e+00
9.615384615384615641e-01,-7.422811360285749949e+00,-3.377210563034049784e+01,2.163511282052328066e-01,1.739600653905362293e+01,6.501289702052022612e+00,3.154210228921299652e+00,0.000000000000000000e+00
9.923076923076923350e-01,-7.582994070821095889e+00,-3.487779721838990810e+01,2.140843443602024609e-01,1.726612939166494698e+01,6.933672273702624622e+00,3.327171142540888304e+00,0.000000000000000000e+00
