r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
1.479746835443037922e-01,-7.981900715242934430e-01,-5.288677635704628344e+00,1.497938044399631796e-01,6.417447208382098367e+00,3.916115043460957623e-02,6.756523979882470693e-03,2.667210847714037527e+02
1.639240506329113778e-01,-8.539217568182273510e-01,-5.846206470792115084e+00,1.450385976076489225e-01,6.689900490585477755e+00,4.826241834160858307e-02,8.193634471280034082e-03,4.299224495344957120e+01
1.798734177215189911e-01,-9.160403283717657441e-01,-6.403425735097990845e+00,1.420906829257496118e-01,6.858803560222959561e+00,5.822122733576041986e-02,9.777307831153304873e-03,2.719745644078319202e+01
1.958227848101265489e-01,-9.836856152406718845e-01,-6.960976054069447194e+00,1.403847651912071004e-01,6.956545446608764394e+00,6.890240975423418679e-02,1.149700866573401432e-02,0.000000000000000000e+00
2.117721518987341622e-01,-1.056035987289853262e+00,-7.519355367838000070e+00,1.395297680951376462e-01,7.005533171709485529e+00,8.030345700848000312e-02,1.335525253710660547e-02,0.000000000000000000e+00
2.277215189873417756e-01,-1.132307025913231069e+00,-8.078936895476143576e+00,1.392483987389529776e-01,7.021654448303180196e+00,9.243230550297364123e-02,1.535368257164441627e-02,0.000000000000000000e+00
2.436708860759493889e-01,-1.211724320923336595e+00,-8.640003672140915469e+00,1.393370189334197651e-01,7.016576885180604073e+00,1.052540581664982294e-01,1.749018434237538736e-02,0.000000000000000000e+00
2.596202531645569467e-01,-1.293513896602825231e+00,-9.202772347851153611e+00,1.396421735282328824e-01,6.999092814798787643e+00,1.187866905519104205e-01,1.976483424012976872e-02,0.000000000000000000e+00
2.755696202531645600e-01,-1.376924669387515454e+00,-9.767398669731583993e+00,1.400486214606416202e-01,6.975805063679947793e+00,1.330947504778899892e-01,2.217980458014444031e-02,0.000000000000000000e+00
2.915189873417721733e-01,-1.461271987108031079e+00,-1.033397178385244075e+01,1.404733537805862020e-01,6.951469694324323711e+00,1.481757494438426803e-01,2.473279808894768630e-02,0.000000000000000000e+00
3.074683544303797311e-01,-1.545981510346098986e+00,-1.090250853007923837e+01,1.408614231961493601e-01,6.929234954654447165e+00,1.640505943258010468e-01,2.742274142519222913e-02,0.000000000000000000e+00
3.234177215189873444e-01,-1.630616621962025725e+00,-1.147295529002932213e+01,1.411814334989136832e-01,6.910899714905347935e+00,1.807358992913881690e-01,3.024832067688539364e-02,0.000000000000000000e+00
3.393670886075949578e-01,-1.714882809851935974e+00,-1.204519897336994738e+01,1.414202593805573283e-01,6.897215999848674173e+00,1.982419792899847433e-01,3.320798458314254409e-02,0.000000000000000000e+00
3.553164556962025156e-01,-1.798612026744078829e+00,-1.261908425530908495e+01,1.415775232209205425e-01,6.888205445525844794e+00,2.165722711848396820e-01,3.629996356027515025e-02,0.000000000000000000e+00
3.712658227848101289e-01,-1.881735132693820312e+00,-1.319443257609186482e+01,1.416605733501012099e-01,6.883447023635774542e+00,2.357239153185528568e-01,3.952230664626184969e-02,0.000000000000000000e+00
3.872151898734176867e-01,-1.964250976726233056e+00,-1.377105911342246358e+01,1.416804836864649642e-01,6.882306245393445820e+00,2.556890271494218214e-01,4.287292869120466754e-02,0.000000000000000000e+00
4.031645569620253000e-01,-2.046198327920688342e+00,-1.434878563691959030e+01,1.416492459256253611e-01,6.884096037250994726e+00,2.764562049360255735e-01,4.634965765387222963e-02,0.000000000000000000e+00
4.191139240506329133e-01,-2.127633810868900355e+00,-1.492744877335551124e+01,1.415780509667250997e-01,6.888175207918587617e+00,2.980119511947393884e-01,4.995027448589865748e-02,0.000000000000000000e+00
4.350632911392404711e-01,-2.208616539158742675e+00,-1.550690425536470585e+01,1.414764175240447175e-01,6.893998375241556786e+00,3.203418371020619326e-01,5.367254228206645716e-02,0.000000000000000000e+00
4.510126582278480845e-01,-2.289198684151762642e+00,-1.608702816649534029e+01,1.413519001591023450e-01,6.901132694728845607e+00,3.434313573724784296e-01,5.751422478858128629e-02,0.000000000000000000e+00
4.669620253164556978e-01,-2.369420627347520458e+00,-1.666771621914883283e+01,1.412101472124953627e-01,6.909254540302969261e+00,3.672664947401069191e-01,6.147309623021268016e-02,0.000000000000000000e+00
4.829113924050632556e-01,-2.449309303400124982e+00,-1.724888191947160010e+01,1.410551394907276768e-01,6.918135828552195221e+00,3.918340458001654536e-01,6.554694497141255738e-02,0.000000000000000000e+00
4.988607594936708134e-01,-2.528878558505635255e+00,-1.783045423428590581e+01,1.408894983957542091e-01,6.927626364208101961e+00,4.171217677034413374e-01,6.973357330316276581e-02,0.000000000000000000e+00
5.148101265822784267e-01,-2.608130636522056012e+00,-1.841237515884812481e+01,1.407147973445813105e-01,6.937635997116807118e+00,4.431184004122451503e-01,7.403079510845561595e-02,0.000000000000000000e+00
5.307594936708861511e-01,-2.687058166010475091e+00,-1.899459741932201240e+01,1.405318413375253317e-01,6.948118604157681233e+00,4.698136101944788146e-01,7.843643258263677254e-02,0.000000000000000000e+00
5.467088607594936533e-01,-2.765646220436268177e+00,-1.957708243148093885e+01,1.403408987770153882e-01,6.959058807004321778e+00,4.971978912308804288e-01,8.294831269069459501e-02,0.000000000000000000e+00
5.626582278481011556e-01,-2.843874163209869188e+00,-2.015979856655215130e+01,1.401418806694819386e-01,6.970461704612668896e+00,5.252624551362690131e-01,8.756426366287584084e-02,0.000000000000000000e+00
5.786075949367087690e-01,-2.921717095353186799e+00,-2.074271973178132811e+01,1.399344688028192896e-01,6.982345529193368705e+00,5.539991317861978626e-01,9.228211156734446308e-02,0.000000000000000000e+00
5.945569620253163823e-01,-2.999146833935440348e+00,-2.132582424348983707e+01,1.397181994509292813e-01,6.994736850294696495e+00,5.834002962229486444e-01,9.709967687306150785e-02,0.000000000000000000e+00
