r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.312500000000000444e-02,-1.313671388803303142e+00,-3.840163433704015805e+00,3.296083841046809626e-01,2.114830698674850851e+00,1.986519327757541725e-02,7.408190640511189487e-03,5.465921140228448394e+01
1.093750000000000000e-01,-1.396758983165093948e+00,-5.024740243348358781e+00,2.711311944047141154e-01,5.117500779312317505e+00,5.144625670256057492e-02,1.516719868413012387e-02,4.699051366295025289e+00
1.356249999999999956e-01,-1.517430364154260580e+00,-6.202785707433839058e+00,2.399247197585437363e-01,6.557673983063368794e+00,8.236503243635220906e-02,2.209888626523270894e-02,4.433321319930264082e+01
1.618749999999999911e-01,-1.673300747020464385e+00,-7.379101459778549810e+00,2.229910265233518707e-01,7.180077050052572574e+00,1.197883737393429793e-01,3.048051478762107969e-02,0.000000000000000000e+00
1.881249999999999867e-01,-1.856806873585702844e+00,-8.558169156734736660e+00,2.136517620649779348e-01,7.367351400317412313e+00,1.617441615967163682e-01,3.971349450587401825e-02,0.000000000000000000e+00
2.143749999999999822e-01,-2.057230509298313414e+00,-9.743802583148607255e+00,2.080763291044364360e-01,7.338974090958044982e+00,2.074750153505988404e-01,4.968606224806721566e-02,0.000000000000000000e+00
2.406249999999999778e-01,-2.264074210768633577e+00,-1.093823854987149957e+01,2.041048036228447771e-01,7.218699652325391014e+00,2.571387742286132538e-01,6.033640967504528413e-02,0.000000000000000000e+00
2.668749999999999734e-01,-2.469491680034245462e+00,-1.214181544586832295e+01,2.006504963198985636e-01,7.068790794968904834e+00,3.109434663580098457e-01,7.157708893120480476e-02,0.000000000000000000e+00
2.931249999999999689e-01,-2.668565549789358116e+00,-1.335357613427707513e+01,1.972407652739861517e-01,6.916327906217892618e+00,3.694185585095545177e-01,8.335467953767124183e-02,0.000000000000000000e+00
3.193749999999999645e-01,-2.858373366193055709e+00,-1.457208674636613388e+01,1.936947799926262426e-01,6.771671810098801814e+00,4.326388352297159678e-01,9.556139576214184306e-02,0.000000000000000000e+00
3.456249999999999600e-01,-3.036992456815346575e+00,-1.579595608374794935e+01,1.899460775563872605e-01,6.638630551389180567e+00,5.002163513955810714e-01,1.080404624811000802e-01,0.000000000000000000e+00
3.718749999999999556e-01,-3.202795162496090864e+00,-1.702405358056618567e+01,1.859598860655109209e-01,6.519196413190837092e+00,5.720804617076642451e-01,1.206756230655924023e-01,0.000000000000000000e+00
3.981249999999999512e-01,-3.354004052519047541e+00,-1.825557214586671861e+01,1.816986286469681189e-01,6.415522391735628105e+00,6.502276409748568575e-01,1.336613651319873697e-01,0.000000000000000000e+00
4.243750000000000022e-01,-3.488503097611107773e+00,-1.949001966271799091e+01,1.771136915800557432e-01,6.330393848046279359e+00,7.332982726987599120e-01,1.466500840387343352e-01,0.000000000000000000e+00
4.506249999999999423e-01,-3.603914511479643590e+00,-2.072717693025507657e+01,1.721527929215198871e-01,6.266806316815973332e+00,8.208866841911977019e-01,1.594445143466360904e-01,0.000000000000000000e+00
4.768749999999999378e-01,-3.697862497180885555e+00,-2.196706640910632657e+01,1.667730903776082907e-01,6.227214480661377394e+00,9.130291566510807533e-01,1.719097241356325467e-01,0.000000000000000000e+00
5.031249999999999334e-01,-3.768322769371923453e+00,-2.320999558100204752e+01,1.609533156581185454e-01,6.212836922848550714e+00,1.009797890689398292e+00,1.839147846711644274e-01,0.000000000000000000e+00
5.293749999999999289e-01,-3.813927577125453716e+00,-2.445681811317116683e+01,1.546993592200916756e-01,6.223336145049639612e+00,1.111312323161773863e+00,1.953405347133179426e-01,0.000000000000000000e+00
5.556249999999999245e-01,-3.833822937436589751e+00,-2.570989576820062794e+01,1.480278038497389592e-01,6.257762023602166934e+00,1.217847950382479727e+00,2.060925303021933774e-01,0.000000000000000000e+00
5.818749999999999201e-01,-3.826086351550500808e+00,-2.697611241682723815e+01,1.408926477599964644e-01,6.318750266754955547e+00,1.330271929200168346e+00,2.161209243399470625e-01,0.000000000000000000e+00
6.081250000000000266e-01,-3.781674966407108762e+00,-2.827136432714799597e+01,1.329741030607872743e-01,6.424623370948813417e+00,1.451012560862671164e+00,2.253794432717260987e-01,0.000000000000000000e+00
6.343749999999999112e-01,-3.656050873020578518e+00,-2.965258616540490877e+01,1.226770458930759033e-01,6.666775201107085103e+00,1.599428509744939442e+00,2.346131001440718289e-01,0.000000000000000000e+00
6.606249999999999067e-01,-3.500276850443630572e+00,-3.342526361689946413e+01,1.043392070773880853e-01,7.369629883680655524e+00,2.105458982818381397e+00,2.784075951159350470e-01,0.000000000000000000e+00
6.868749999999999023e-01,-3.458554658688269168e+00,-3.439365332662481478e+01,1.002210300215618105e-01,7.257757961310590034e+00,2.192044752186833367e+00,2.794279836643192572e-01,0.000000000000000000e+00
