r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-9.655778163360975164e-01,-3.103802175992604884e+00,3.016044974014633895e-01,3.719335216731742833e+00,8.577689873448240271e-03,3.434022217453267748e-03,4.311644950792891251e+01
1.099137931034482735e-01,-1.023409779337061121e+00,-3.916995684004926037e+00,2.555611737867609645e-01,6.071709048894945226e+00,2.888045681862751873e-02,8.348620663974735609e-03,3.784477240020362565e+00
1.331896551724137956e-01,-1.103143054067460493e+00,-4.726370843614891015e+00,2.292967818753815501e-01,7.290833571180234784e+00,4.425823163755608636e-02,1.191878888375592915e-02,4.574970694512302316e+01
1.564655172413793038e-01,-1.203237845926109273e+00,-5.534824146766992747e+00,2.140633068008146733e-01,7.877933114556368466e+00,6.329524035440102503e-02,1.634508764760138344e-02,0.000000000000000000e+00
1.797413793103448398e-01,-1.320256013833199127e+00,-6.344771594359425393e+00,2.051580110649207922e-01,8.102454689824652334e+00,8.391887114672794135e-02,2.071658921370018655e-02,0.000000000000000000e+00
2.030172413793103481e-01,-1.449366410865170485e+00,-7.158210797365465616e+00,1.997752614946832483e-01,8.125149236660837104e+00,1.062084023455220350e-01,2.563766545687613460e-02,0.000000000000000000e+00
2.262931034482758563e-01,-1.585227831321081249e+00,-7.976609361268204523e+00,1.961784805239722984e-01,8.045515320401252168e+00,1.303960034672290713e-01,3.087548582448629286e-02,0.000000000000000000e+00
2.495689655172413646e-01,-1.723060950667946178e+00,-8.800690662527015817e+00,1.933413498041985645e-01,7.922356650856915650e+00,1.566312104532103788e-01,3.600745769665687768e-02,0.000000000000000000e+00
2.728448275862068728e-01,-1.859337472582741402e+00,-9.630413538823200170e+00,1.907226575101508004e-01,7.786682381434999911e+00,1.842593034211651715e-01,4.167676982093185961e-02,0.000000000000000000e+00
2.961206896551724088e-01,-1.991839893788330373e+00,-1.046519824790756914e+01,1.880803104649226565e-01,7.652363429421152219e+00,2.137493506031204749e-01,4.713603202465475178e-02,0.000000000000000000e+00
3.193965517241379448e-01,-2.119315786053046047e+00,-1.130422826897165756e+01,1.853285497103046020e-01,7.524313421176211492e+00,2.449131029005390259e-01,5.306278522441629925e-02,0.000000000000000000e+00
3.426724137931034253e-01,-2.241056948612538680e+00,-1.214667694569935463e+01,1.824478753013096533e-01,7.403649621248682422e+00,2.788278071161470750e-01,5.901398292065161005e-02,0.000000000000000000e+00
3.659482758620689613e-01,-2.356584512678442156e+00,-1.299182112361370756e+01,1.794388454313619319e-01,7.290340047511197241e+00,3.140743262156595050e-01,6.531670893638875930e-02,0.000000000000000000e+00
3.892241379310344973e-01,-2.465460872286787009e+00,-1.383907271233029590e+01,1.763025267616610825e-01,7.184323584778855576e+00,3.510474221369682124e-01,7.167695143785261791e-02,0.000000000000000000e+00
4.124999999999999778e-01,-2.567176880602201727e+00,-1.468797015592750554e+01,1.730330847935294680e-01,7.085934525201457390e+00,3.906016312200032981e-01,7.790247923731392909e-02,0.000000000000000000e+00
4.357758620689655138e-01,-2.661080318772396591e+00,-1.553815244562425946e+01,1.696155315243915995e-01,6.996031618069910252e+00,4.311021607764004560e-01,8.424125888413232233e-02,0.000000000000000000e+00
4.590517241379309943e-01,-2.746351904193526039e+00,-1.638931634530154824e+01,1.660271210290173161e-01,6.915918108901021100e+00,4.764000804458493055e-01,9.052882064325483424e-02,0.000000000000000000e+00
4.823275862068965303e-01,-2.822044043756332332e+00,-1.724114505128369146e+01,1.622420897187234756e-01,6.847070142591441311e+00,5.213714237154289943e-01,9.687382189994453441e-02,0.000000000000000000e+00
5.056034482758620108e-01,-2.887158407496628776e+00,-1.809318872437779646e+01,1.582374916694236078e-01,6.790802423748361960e+00,5.681916892636414973e-01,1.030799564683503172e-01,0.000000000000000000e+00
5.288793103448274913e-01,-2.940703697625040469e+00,-1.894465184113020584e+01,1.539970506573029863e-01,6.748047511302772250e+00,6.183006162693643892e-01,1.090341347617985873e-01,0.000000000000000000e+00
5.521551724137930828e-01,-2.981709694968381896e+00,-1.979396730283357897e+01,1.495131608134808165e-01,6.719241189441069295e+00,6.689645183822691132e-01,1.147877504796477044e-01,0.000000000000000000e+00
5.754310344827586743e-01,-3.009187559984777049e+00,-2.063787735669804491e+01,1.447886383625676676e-01,6.704222100378910199e+00,7.212607022827065562e-01,1.202053378930950378e-01,0.000000000000000000e+00
5.987068965517241548e-01,-3.022140854704344903e+00,-2.146939343265977840e+01,1.398462338738724053e-01,6.701686732513376654e+00,7.770673149546529768e-01,1.250655798332295232e-01,0.000000000000000000e+00
6.219827586206896353e-01,-3.021160134706040612e+00,-2.227398836067509080e+01,1.348135318069568489e-01,6.704325034780118209e+00,8.303145900400292767e-01,1.293603693155421230e-01,0.000000000000000000e+00
