r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-3.192393524673025951e+00,-1.056855000355241891e+01,2.933505989075310127e-01,2.692248764963455443e+00,1.308522698122384920e-01,4.170126288029222389e-02,2.152567016174378693e+02
1.099137931034482735e-01,-3.506942434445469381e+00,-1.340645515314017544e+01,2.558531607039319367e-01,4.501408002296582112e+00,2.550798828662170781e-01,7.027274189944274219e-02,1.690040226032954607e+01
1.331896551724137956e-01,-3.892434604780115492e+00,-1.625204459794991507e+01,2.350762276172456977e-01,5.352552865103707092e+00,3.968141170356361269e-01,1.006317910662639786e-01,2.452050300315761788e+01
1.564655172413793038e-01,-4.249161232193385374e+00,-1.910866445295665983e+01,2.188081452220623779e-01,5.945359612833074792e+00,5.564256872721833336e-01,1.331012714527087248e-01,8.363248242771456065e-01
1.797413793103448398e-01,-4.633589170580760808e+00,-2.197634294980466407e+01,2.078008057637115158e-01,6.236747993178681782e+00,7.359499149412410679e-01,1.688266616154418531e-01,1.637216629633342357e+00
2.030172413793103481e-01,-5.026915359760769419e+00,-2.485437564515128628e+01,1.995626389637105147e-01,6.369474467457822087e+00,9.351460769598700651e-01,2.071856141974286192e-01,1.407410908968351350e+03
2.262931034482758563e-01,-5.415972380491625771e+00,-2.774068174004619891e+01,1.928103666468461708e-01,6.417065459051455534e+00,1.152925623430214541e+00,2.476118074205765629e-01,4.074393261826857042e+02
2.495689655172413646e-01,-5.795428846261206246e+00,-3.063309287260948821e+01,1.869786031372723811e-01,6.411915180982719065e+00,1.388051183012416478e+00,2.896086951112889496e-01,1.814850235151036941e+03
2.728448275862068728e-01,-6.162506947591467110e+00,-3.353105085968935839e+01,1.817567984519751489e-01,6.371816836606173595e+00,1.639328141845698417e+00,3.327179713888436252e-01,2.123767183350545565e+03
2.961206896551724088e-01,-6.515189921314838983e+00,-3.643383246030634126e+01,1.769521825930912007e-01,6.307815333216131748e+00,1.905552658451656667e+00,3.764926481911434752e-01,0.000000000000000000e+00
3.193965517241379448e-01,-6.851938927323711681e+00,-3.933995320328556033e+01,1.724426658328522266e-01,6.226905896935621243e+00,2.185426580200605873e+00,4.204874673968912457e-01,0.000000000000000000e+00
3.426724137931034253e-01,-7.171292229874065782e+00,-4.224773486322720828e+01,1.681411698038430824e-01,6.134077750704413745e+00,2.477647642296258557e+00,4.642672356759274810e-01,0.000000000000000000e+00
3.659482758620689613e-01,-7.471625257780925011e+00,-4.515595614259053292e+01,1.639769970245904540e-01,6.033381561833138562e+00,2.781036434347602615e+00,5.074186890323676424e-01,0.000000000000000000e+00
3.892241379310344973e-01,-7.760911663250332992e+00,-4.806553485382642776e+01,1.600835713066465493e-01,5.917172709033302169e+00,3.095349228240205530e+00,5.501961049214023625e-01,0.000000000000000000e+00
4.124999999999999778e-01,-8.034712366025480890e+00,-5.097380233120572512e+01,1.563380543449994498e-01,5.792489308744629639e+00,3.419096513841116458e+00,5.920462834188716661e-01,0.000000000000000000e+00
4.357758620689655138e-01,-8.290551742511855338e+00,-5.388094541347820865e+01,1.526706409670731679e-01,5.663330902743906492e+00,3.750713460186272830e+00,6.324509773025530635e-01,0.000000000000000000e+00
4.590517241379309943e-01,-8.531774874495248184e+00,-5.678594228989658177e+01,1.491290479511585276e-01,5.526963521023111170e+00,4.088403001122982161e+00,6.711890531462969545e-01,0.000000000000000000e+00
4.823275862068965303e-01,-8.715007826145729553e+00,-5.968892833348508731e+01,1.449826502519567517e-01,5.425248895084413547e+00,4.426352822943079524e+00,7.067905500788371764e-01,0.000000000000000000e+00
5.056034482758620108e-01,-8.864458355627682806e+00,-6.258656736065616855e+01,1.406993050899588982e-01,5.331380780778955497e+00,4.766055425461193984e+00,7.396621712062571019e-01,0.000000000000000000e+00
5.288793103448274913e-01,-8.984195049833232360e+00,-6.547538781940023966e+01,1.363632857884028715e-01,5.240530672359663633e+00,5.108554524198159363e+00,7.696735159613099508e-01,0.000000000000000000e+00
