r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-3.177036384483105547e+00,-1.058433716200776153e+01,2.916071947965562239e-01,2.792138462508066965e+00,1.329365436353305563e-01,4.207206542993154053e-02,2.285767404974007491e+02
1.099137931034482735e-01,-3.478232267289847357e+00,-1.341780920339218675e+01,2.536420415753164459e-01,4.628095796366894277e+00,2.584008061814601076e-01,7.057023982448461241e-02,1.803031440375282557e+01
1.331896551724137956e-01,-3.853056909403774988e+00,-1.625929832916464690e+01,2.326833382727352406e-01,5.489655325385982110e+00,4.010868435350554706e-01,1.007515809156254716e-01,2.493572685886315554e+01
1.564655172413793038e-01,-4.183944849564923629e+00,-1.911210476430058947e+01,2.155160797881544021e-01,6.133981068076904464e+00,5.609840630286906382e-01,1.328952237824248261e-01,7.871067820246074875e-01
1.797413793103448398e-01,-4.564297723084585812e+00,-2.197649771040262934e+01,2.047786902881215954e-01,6.409902455131154753e+00,7.415118472606281319e-01,1.685294030770432272e-01,1.541745379911482194e+00
2.030172413793103481e-01,-4.952530346891155233e+00,-2.485117115545545019e+01,1.967104695875057929e-01,6.532891735170812453e+00,9.419127816936306852e-01,2.067537879833660774e-01,1.608425128659711845e+03
2.262931034482758563e-01,-5.337698520107645450e+00,-2.773442591670319146e+01,1.901327574462372827e-01,6.570481165431742099e+00,1.161063777232365091e+00,2.470678337400517566e-01,5.016365813999865395e+02
2.495689655172413646e-01,-5.710321717403921582e+00,-3.062469463061616182e+01,1.843443805415510284e-01,6.562845018015549314e+00,1.397468971243428726e+00,2.888790011270026548e-01,2.110061710059698271e+03
2.728448275862068728e-01,-6.067854952362846888e+00,-3.352042485004142236e+01,1.790803945329801916e-01,6.525163485436857869e+00,1.649807594372716846e+00,3.317071402452848594e-01,2.265756130909764124e+03
2.961206896551724088e-01,-6.412161503660826156e+00,-3.642047477978445613e+01,1.742732564565953046e-01,6.461306494464635009e+00,1.917062076939196169e+00,3.751970852913090737e-01,0.000000000000000000e+00
3.193965517241379448e-01,-6.743470680367398273e+00,-3.932361201714324039e+01,1.698345997929918139e-01,6.376337073711020764e+00,2.198111272940830752e+00,4.189668343628265568e-01,0.000000000000000000e+00
3.426724137931034253e-01,-7.057697977722380500e+00,-4.222925419758424681e+01,1.655976741266127206e-01,6.279809318219482961e+00,2.491619887285899893e+00,4.625344126136464729e-01,0.000000000000000000e+00
3.659482758620689613e-01,-7.353945051562796209e+00,-4.513633212761136804e+01,1.615082766152610150e-01,6.174828822085522972e+00,2.796327185688031403e+00,5.055013517139128609e-01,0.000000000000000000e+00
3.892241379310344973e-01,-7.630770096864175400e+00,-4.804398987063495241e+01,1.575131053359205002e-01,6.064449560537903849e+00,3.111122160358276378e+00,5.474841054407263430e-01,0.000000000000000000e+00
4.124999999999999778e-01,-7.892931039049852160e+00,-5.095063486795068286e+01,1.536916341526506358e-01,5.944118016584416964e+00,3.435350201344637533e+00,5.885418048526589452e-01,0.000000000000000000e+00
4.357758620689655138e-01,-8.141842054518580341e+00,-5.385456754916574340e+01,1.500457518485121267e-01,5.813725970927269060e+00,3.768264127935509133e+00,6.285809410558133026e-01,0.000000000000000000e+00
