r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-3.173784312801832819e+00,-1.057391325751627065e+01,2.915965071928793839e-01,2.792750817091860682e+00,1.326851836262404327e-01,4.199072323792320954e-02,2.288780007085123600e+02
1.099137931034482735e-01,-3.475595859312841540e+00,-1.340782906710884959e+01,2.536385956764142247e-01,4.628293231830619803e+00,2.580210469273274132e-01,7.046556601633671701e-02,1.806462661807742265e+01
1.331896551724137956e-01,-3.850753204178587907e+00,-1.624970934110999821e+01,2.326815116428543051e-01,5.489759983568893276e+00,4.006168848181217435e-01,1.006327940952393557e-01,2.490868650728981493e+01
1.564655172413793038e-01,-4.181867865300377574e+00,-1.910298188017995713e+01,2.155120915048658325e-01,6.134209579876841900e+00,5.604542160098452408e-01,1.327681441759878955e-01,7.862448870435676529e-01
1.797413793103448398e-01,-4.562299205110205591e+00,-2.196776389072969593e+01,2.047706349130168912e-01,6.410363994127051157e+00,7.409373791270107423e-01,1.683946336497950946e-01,1.539393633294782404e+00
2.030172413793103481e-01,-4.950570510567560589e+00,-2.484280271173062360e+01,1.966991604072633459e-01,6.533539703468456139e+00,9.413120265144594434e-01,2.066136150305284969e-01,1.612236580105248322e+03
2.262931034482758563e-01,-5.335691670533730502e+00,-2.772636903919812923e+01,1.901168899253568023e-01,6.571390307409529896e+00,1.160447269289765826e+00,2.469222976578043516e-01,5.043157015518636399e+02
2.495689655172413646e-01,-5.708216709938447764e+00,-3.061689885993881433e+01,1.843238195671640378e-01,6.564023075070601010e+00,1.396848268326013942e+00,2.887283759509274850e-01,2.116552281657111962e+03
2.728448275862068728e-01,-6.065590119486763854e+00,-3.351279232386500695e+01,1.790548765955498889e-01,6.526625555553493996e+00,1.649189822369504954e+00,3.315503546496741394e-01,2.270067930927786165e+03
2.961206896551724088e-01,-6.409485234037273216e+00,-3.641302137154944774e+01,1.742369225534864952e-01,6.463388273766007330e+00,1.916452568505131460e+00,3.750292372588012735e-01,0.000000000000000000e+00
3.193965517241379448e-01,-6.740450900755938335e+00,-3.931644758588687694e+01,1.697903430042837780e-01,6.378872800918793828e+00,2.197556470289799169e+00,4.187936632205531695e-01,0.000000000000000000e+00
3.426724137931034253e-01,-7.054489430925634963e+00,-4.222202300962349142e+01,1.655515920007749331e-01,6.282449629540979075e+00,2.491059093366347899e+00,4.623512372373981827e-01,0.000000000000000000e+00
3.659482758620689613e-01,-7.350447029321227177e+00,-4.512918396239017227e+01,1.614579085421984361e-01,6.177714700094215416e+00,2.795802885369516488e+00,5.053102346181261861e-01,0.000000000000000000e+00
3.892241379310344973e-01,-7.626875979216713120e+00,-4.803676052772647864e+01,1.574573491121059321e-01,6.067644156844064440e+00,3.110634268256679213e+00,5.472804411771302613e-01,0.000000000000000000e+00
4.124999999999999778e-01,-7.888322737300185850e+00,-5.094386869198898893e+01,1.536233877922962843e-01,5.948028244999848724e+00,3.434937332623419604e+00,5.883076944620767579e-01,0.000000000000000000e+00
4.357758620689655138e-01,-8.136761615900780953e+00,-5.384817706775577761e+01,1.499710525191364219e-01,5.818005927232954733e+00,3.767974093025182381e+00,6.283376819236722310e-01,0.000000000000000000e+00
4.590517241379309943e-01,-8.364267922200237848e+00,-5.674799402912700685e+01,1.463395313496332617e-01,5.686791049172185808e+00,4.107705972204945155e+00,6.664998694880213126e-01,0.000000000000000000e+00
4.823275862068965303e-01,-8.569117998853158724e+00,-5.963663732615968627e+01,1.427120023580921437e-01,5.555347436163124542e+00,4.452172829869740056e+00,7.023539949642336744e-01,0.000000000000000000e+00
5.056034482758620108e-01,-8.720795288929757305e+00,-6.251089641504426453e+01,1.386137614235239679e-01,5.450873630855917362e+00,4.796519403786314584e+00,7.347245042245196256e-01,0.000000000000000000e+00
5.288793103448274913e-01,-8.812934304247857398e+00,-6.535044409120493469e+01,1.340478259205591383e-01,5.373196750419028334e+00,5.139378206956163986e+00,7.628440882818158242e-01,0.000000000000000000e+00
5.521551724137930828e-01,-8.845756885651042012e+00,-6.811282029514048020e+01,1.291463670785769624e-01,5.314743941235973601e+00,5.480309853506443396e+00,7.856923513245177570e-01,0.000000000000000000e+00
5.754310344827586743e-01,-8.799517061227472681e+00,-7.077408849635482113e+01,1.236976779159484480e-01,5.287645119847544706e+00,5.820575718730311543e+00,8.019737657641647921e-01,0.000000000000000000e+00
5.987068965517241548e-01,-8.616766236447233496e+00,-7.319816783703049623e+01,1.171790443272333060e-01,5.321849598387425218e+00,6.151779992866655000e+00,8.069943125934655459e-01,0.000000000000000000e+00
6.219827586206896353e-01,-8.225058261944155902e+00,-7.516674686316909515e+01,1.089905372513020887e-01,5.451730780065581428e+00,6.454201045314436946e+00,7.937982516541635114e-01,0.000000000000000000e+00
6.452586206896551158e-01,-7.781739203400757532e+00,-7.673785729839767100e+01,1.010613115588645389e-01,5.566756232763236945e+00,6.668538601040902236e+00,7.694800109368291618e-01,0.000000000000000000e+00
6.685344827586205962e-01,9.318452371626129604e+00,-8.342867371771085061e+01,-1.112326106650797647e-01,1.739101627818808282e+01,6.084947565089223076e+00,6.316599082108924623e-01,0.000000000000000000e+00
6.918103448275860767e-01,5.475305007541834357e+00,-1.069720429222098659e+02,-5.113982000920597182e-02,1.360866728015760962e+01,9.559715978438292794e+00,1.367987591564788552e+00,0.000000000000000000e+00
7.150862068965516682e-01,-1.302640681080703899e+01,-1.171656855465832621e+02,1.107246446544452589e-01,3.995230887500229144e+00,1.295303308570926681e+01,1.614195108035829440e+00,0.000000000000000000e+00
7.383620689655172598e-01,-1.477345808976579988e+01,-1.125051849170265399e+02,1.305665314223695417e-01,2.519088803835979995e+00,9.815193292299126071e+00,1.445296622906467876e+00,0.000000000000000000e+00
