r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-3.236967270469820246e+00,-1.069169097254737011e+01,2.939827714005514570e-01,2.656027949189120108e+00,1.332925342969620286e-01,4.258598333386238305e-02,3.283246751912868717e+02
1.099137931034482735e-01,-3.559209934049241575e+00,-1.350203559802000086e+01,2.577422210486567944e-01,4.393172817298319544e+00,2.560223742024326232e-01,7.106886864843398044e-02,2.701944075422914437e+01
1.331896551724137956e-01,-3.974318728063327200e+00,-1.630071681862659716e+01,2.391467211850005214e-01,5.119330763136206386e+00,3.924909830106463882e-01,1.011395140907814238e-01,4.099790879987978798e+01
1.564655172413793038e-01,-4.429486449740840825e+00,-1.909650640382680464e+01,2.279221985687583940e-01,5.423162821810310064e+00,5.439147278221279080e-01,1.338423817847222974e-01,7.778153160025833568e-01
1.797413793103448398e-01,-4.912634857604459171e+00,-2.189977097033937881e+01,2.206705155759146331e-01,5.499367937381339999e+00,7.103718208820203328e-01,1.694047276033611715e-01,1.137335292186216762e+00
2.030172413793103481e-01,-5.405373428423480675e+00,-2.471959648464036263e+01,2.152790068994105410e-01,5.468992915467476124e+00,8.919143215300642247e-01,2.075943843091731522e-01,2.946779403146459572e+03
2.262931034482758563e-01,-5.894859474251530784e+00,-2.756024895081680981e+01,2.107148856763105260e-01,5.391212084451479924e+00,1.088707473382827473e+00,2.480787474241099300e-01,7.290855910924832415e+02
2.495689655172413646e-01,-6.371962520092321114e+00,-3.042069899599313132e+01,2.064762974644895610e-01,5.294779585797007471e+00,1.300574284239724543e+00,2.904324594499330114e-01,3.675864994238942927e+03
2.728448275862068728e-01,-6.830936983165251775e+00,-3.329748960732874252e+01,2.023413035993401055e-01,5.192411568296842361e+00,1.526891092603699818e+00,3.341846603060024679e-01,3.395363063103637614e+03
2.961206896551724088e-01,-7.268560519622869975e+00,-3.618661566282077047e+01,1.982254511324706703e-01,5.088946829461256982e+00,1.766667061726179266e+00,3.788557194574706521e-01,0.000000000000000000e+00
3.193965517241379448e-01,-7.682192310352967013e+00,-3.908443955890085419e+01,1.940796515209966266e-01,4.987197935619983369e+00,2.018603490605191730e+00,4.239449283519798328e-01,0.000000000000000000e+00
3.426724137931034253e-01,-8.064429698344316222e+00,-4.198861895555884871e+01,1.897516126491361199e-01,4.895890582260435053e+00,2.281177993293587392e+00,4.688088899514476493e-01,0.000000000000000000e+00
3.659482758620689613e-01,-8.420040300699572100e+00,-4.489697553284846521e+01,1.853879146862125182e-01,4.806626344320079625e+00,2.553734909162783229e+00,5.132379836504608051e-01,0.000000000000000000e+00
3.892241379310344973e-01,-8.747209744160617362e+00,-4.780806504219418684e+01,1.809635394952905652e-01,4.720838655456581989e+00,2.835553680076413841e+00,5.568569623323824658e-01,0.000000000000000000e+00
4.124999999999999778e-01,-9.043887419032692776e+00,-5.072009045134221594e+01,1.764552672286932022e-01,4.639857914942773220e+00,3.126014379375956498e+00,5.992974194830829049e-01,0.000000000000000000e+00
4.357758620689655138e-01,-9.307088340147078753e+00,-5.363150845246732956e+01,1.718264620889143890e-01,4.565783199354847000e+00,3.424938871061987911e+00,6.402061104253454760e-01,0.000000000000000000e+00
4.590517241379309943e-01,-9.533449274654252292e+00,-5.653934807902659543e+01,1.670449060259387719e-01,4.500460466982827867e+00,3.732157820436998730e+00,6.792022027317446975e-01,0.000000000000000000e+00
4.823275862068965303e-01,-9.715205677850317301e+00,-5.944184014980664443e+01,1.620080979792873910e-01,4.449762595987769132e+00,4.047880207527848384e+00,7.157270434954970950e-01,0.000000000000000000e+00
5.056034482758620108e-01,-9.850283472717379141e+00,-6.233252770520360286e+01,1.567318769088148767e-01,4.412782080818125507e+00,4.372943526553524585e+00,7.495209012469885579e-01,0.000000000000000000e+00
5.288793103448274913e-01,-9.927426255876788730e+00,-6.519501685810928393e+01,1.511119677742273071e-01,4.395493441191296924e+00,4.708228578497934969e+00,7.798227219665840870e-01,0.000000000000000000e+00
5.521551724137930828e-01,-9.930473035272601834e+00,-6.799641486996560502e+01,1.450188382284980926e-01,4.405318333902332739e+00,5.053527789879725063e+00,8.053819267861264120e-01,0.000000000000000000e+00
5.754310344827586743e-01,-9.839004778334064838e+00,-7.069982697748349665e+01,1.382777782675415901e-01,4.452266904824051075e+00,5.409942822775006377e+00,8.246883240113037639e-01,0.000000000000000000e+00
5.987068965517241548e-01,-9.602904932487845713e+00,-7.319838531370825763e+01,1.304451664364925378e-01,4.561756791021681856e+00,5.774315832264864667e+00,8.338264199999994020e-01,0.000000000000000000e+00
6.219827586206896353e-01,-9.143125080330165133e+00,-7.528683997374074011e+01,1.208520537515287846e-01,4.772115945977804863e+00,6.134117328037731021e+00,8.256799398356884367e-01,0.000000000000000000e+00
6.452586206896551158e-01,-8.581467457288717071e+00,-7.700130297228768939e+01,1.109877604903822257e-01,4.998012603435127765e+00,6.449277918270663434e+00,8.032946721540802359e-01,0.000000000000000000e+00
