r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
8.663793103448276522e-02,-3.231294729123168619e+00,-1.058956504832207912e+01,2.961652494938773472e-01,2.530981165561787094e+00,1.286341060251616208e-01,4.145566354651867430e-02,2.273309001527405258e+02
1.099137931034482735e-01,-3.547545881793480405e+00,-1.342410623624851418e+01,2.583605363792748078e-01,4.357745958445670809e+00,2.521982579677192748e-01,7.018056685994956967e-02,1.813067778778692585e+01
1.331896551724137956e-01,-3.931131417773389813e+00,-1.626633028502676481e+01,2.371261800260432706e-01,5.235099243876927488e+00,3.941509303221316651e-01,1.007676996638809108e-01,2.509351966680998558e+01
1.564655172413793038e-01,-4.291243317113529798e+00,-1.911945469029299716e+01,2.207849927362016129e-01,5.832094593531968130e+00,5.548065617682242934e-01,1.334975479566507528e-01,7.720403017950654423e-01
1.797413793103448398e-01,-4.654398805680777684e+00,-2.198382674483149657e+01,2.086382350197880653e-01,6.188766831164713267e+00,7.349127657630122323e-01,1.690187335445215988e-01,1.239190242807408859e+00
2.030172413793103481e-01,-5.032857895434075246e+00,-2.485820343372161645e+01,1.997623731838622796e-01,6.358030539618788168e+00,9.349688394432195127e-01,2.072773211364987433e-01,1.630971839955684118e+03
2.262931034482758563e-01,-5.407626341376808199e+00,-2.774112051913737531e+01,1.925175674434854711e-01,6.433841617648814903e+00,1.153804121692556972e+00,2.475635357588683583e-01,5.027042653552838942e+02
2.495689655172413646e-01,-5.773765278197224404e+00,-3.063097435789048006e+01,1.863083461542041630e-01,6.450318077301698594e+00,1.390187581899237967e+00,2.894023997414536531e-01,2.133676105310968069e+03
2.728448275862068728e-01,-6.128376090218255356e+00,-3.352627359116941363e+01,1.807971914418191606e-01,6.426798268279279469e+00,1.642816464039678515e+00,3.323269498828978485e-01,2.278368165708602191e+03
2.961206896551724088e-01,-6.469670313791940686e+00,-3.642583832420582013e+01,1.757790368636603651e-01,6.375031632266315640e+00,1.910368635552504468e+00,3.758893396052462310e-01,0.000000000000000000e+00
3.193965517241379448e-01,-6.796375330076955379e+00,-3.932866628014556198e+01,1.711196713091331922e-01,6.302707899463642960e+00,2.191528296840252743e+00,4.196612914503759506e-01,0.000000000000000000e+00
3.426724137931034253e-01,-7.107559079359798915e+00,-4.223370237060008492e+01,1.667288552241302790e-01,6.214997415466749331e+00,2.484963715523004879e+00,4.632321356689221847e-01,0.000000000000000000e+00
3.659482758620689613e-01,-7.401896048032202913e+00,-4.514039555890550304e+01,1.625286141008133733e-01,6.116367790484384059e+00,2.789508840835252190e+00,5.062132501864506917e-01,0.000000000000000000e+00
3.892241379310344973e-01,-7.677736566575472210e+00,-4.804775099783316961e+01,1.584542808772555211e-01,6.010524174238465633e+00,3.104039516543753763e+00,5.482194782283067447e-01,0.000000000000000000e+00
4.124999999999999778e-01,-7.947146192877458049e+00,-5.095423462007567394e+01,1.547198438335386783e-01,5.885205941415037501e+00,3.428309262358129939e+00,5.897896016695735044e-01,0.000000000000000000e+00
4.357758620689655138e-01,-8.199158466191207140e+00,-5.385820324645416690e+01,1.510760429299950747e-01,5.754694640288327889e+00,3.760438585679390489e+00,6.299550275555472201e-01,0.000000000000000000e+00
4.590517241379309943e-01,-8.432944241135995611e+00,-5.675571775301688859e+01,1.475040038581511836e-01,5.620071689075096799e+00,4.098478902087188125e+00,6.682813456858152090e-01,0.000000000000000000e+00
4.823275862068965303e-01,-8.644376609431397185e+00,-5.964615342580344759e+01,1.439255569059896267e-01,5.485815882359693418e+00,4.439627194535600729e+00,7.043660413371116702e-01,0.000000000000000000e+00
5.056034482758620108e-01,-8.785302894756078729e+00,-6.251875474446998027e+01,1.396085359213194710e-01,5.393877250564989012e+00,4.777695512387713173e+00,7.364338603105953229e-01,0.000000000000000000e+00
5.288793103448274913e-01,-8.891855685743408344e+00,-6.535999293424056589e+01,1.352142119099893902e-01,5.306367755941485242e+00,5.115533548182367163e+00,7.650584075152417896e-01,0.000000000000000000e+00
5.521551724137930828e-01,-8.939660477613031730e+00,-6.812303108026368648e+01,1.304825694773955602e-01,5.238185183208412532e+00,5.450809917780084390e+00,7.884722097871778024e-01,0.000000000000000000e+00
5.754310344827586743e-01,-8.911001278032735229e+00,-7.078588522519491733e+01,1.252279544648977616e-01,5.199966732104904565e+00,5.784502075166483515e+00,8.055065105468646180e-01,0.000000000000000000e+00
5.987068965517241548e-01,-8.748535000533891548e+00,-7.321306880327173872e+01,1.189302482629855939e-01,5.221513003802120245e+00,6.108352010542179578e+00,8.115577873503276862e-01,0.000000000000000000e+00
6.219827586206896353e-01,-8.376373453477363284e+00,-7.518380828412246331e+01,1.109543652385795859e-01,5.339211724704909123e+00,6.403518270857637695e+00,7.996160866786690136e-01,0.000000000000000000e+00
6.452586206896551158e-01,-7.965380076044795032e+00,-7.672416619463007237e+01,1.034477985257519494e-01,5.430020601697610694e+00,6.614545156202241039e+00,7.761848272602656085e-01,0.000000000000000000e+00
6.685344827586205962e-01,8.848240389687553886e+00,-8.315607533113417560e+01,-1.060063491273544739e-01,1.709157354944487039e+01,6.035003033086948854e+00,6.583732950371128378e-01,0.000000000000000000e+00
6.918103448275860767e-01,5.322361505862673425e+00,-1.065698819205486245e+02,-4.990099381473675488e-02,1.353768776766426996e+01,9.459586387184316436e+00,1.358459404311299190e+00,0.000000000000000000e+00
