r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
6.931034482758621773e-02,-1.170789781368974047e+00,-5.724737947857700959e+00,2.017322742693793691e-01,2.941592092788990698e+00,1.380121932577100564e-02,4.355918202463430859e-03,2.919440387864474928e+01
8.793103448275862988e-02,-8.970203346848028003e-01,-7.261356274581638459e+00,1.229107393617297067e-01,7.332733377740406233e+00,2.246224887396930381e-02,7.011336231739166008e-03,1.871502190240733388e+00
1.065517241379310281e-01,-1.032026683115964572e+00,-8.800091212348592151e+00,1.167412992941282562e-01,7.561216255572874800e+00,3.409369888690812894e-02,1.033996057984343589e-02,1.741044918398058527e+01
1.251724137931034542e-01,-1.161687526768364176e+00,-1.034163689296601873e+01,1.118621777450352073e-01,7.715769328067239030e+00,4.765177014675080203e-02,1.415670628474725683e-02,7.856607830615854882e-01
1.437931034482758386e-01,-1.287827716304529746e+00,-1.188561047839917784e+01,1.079307767326214418e-01,7.816022013652005995e+00,6.296943625970563563e-02,1.840439209307737078e-02,2.233168741904693722e+00
1.624137931034482785e-01,-1.408557862161922358e+00,-1.343157538084334135e+01,1.044872304674865360e-01,7.888322681202274644e+00,7.997121704273246756e-02,2.304499567095627185e-02,0.000000000000000000e+00
1.810344827586206906e-01,-1.520758769396811871e+00,-1.497833854617883809e+01,1.011838057840598465e-01,7.952594973501963871e+00,9.869811646193296650e-02,2.805666844834107596e-02,0.000000000000000000e+00
1.996551724137931028e-01,-1.617018783130445669e+00,-1.652514268464978997e+01,9.754150186874889494e-02,8.036283615553255544e+00,1.194511238776786582e-01,3.345828216875435662e-02,0.000000000000000000e+00
2.182758620689655149e-01,-1.680251270623789761e+00,-1.807112927960794835e+01,9.271330748006617606e-02,8.187918776693521750e+00,1.431804108047039226e-01,3.935976211489866650e-02,0.000000000000000000e+00
2.368965517241379271e-01,-1.667424112619772636e+00,-1.961608326432717320e+01,8.479906123683722541e-02,8.516371684457809010e+00,1.731318845275108265e-01,4.613223645728122685e-02,0.000000000000000000e+00
2.555172413793103670e-01,-2.724507986425610095e+00,-2.116078867540682040e+01,1.280482060394526889e-01,5.913378219717782436e+00,2.295477916714712685e-01,5.271752046745136616e-02,0.000000000000000000e+00
2.741379310344827513e-01,-2.731110188597427157e+00,-2.270661592003406426e+01,1.197031372841271257e-01,6.266515439144428434e+00,2.675090200929127193e-01,5.923500977374882709e-02,0.000000000000000000e+00
2.927586206896551912e-01,-2.794434632950920427e+00,-2.425440439332684051e+01,1.147077273406839626e-01,6.427731345841407595e+00,3.027452840664087153e-01,6.556312612430352516e-02,0.000000000000000000e+00
