r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, misc
7.926470588235293158e-02,-1.280498328125419638e+00,-3.670799685574575921e+00,3.356353468920673100e-01,1.769511167675211993e+00,7.257868001672568986e-03,3.147390857775263055e-03,5.538798777658170991e+01
9.779411764705880916e-02,-1.332258190418682098e+00,-4.511256369461242421e+00,2.871564738088996926e-01,4.304721748466842968e+00,2.056558840396873963e-02,7.332668485360927316e-03,4.665738752460170780e+00
1.163235294117647006e-01,-1.402501505383480840e+00,-5.347189107485886161e+00,2.565096311130353190e-01,5.818232247916961697e+00,4.111137358207807985e-02,1.209961626101178044e-02,5.336754644698839201e+01
1.348529411764705643e-01,-1.491539437179769223e+00,-6.180084338550374312e+00,2.368174069944856408e-01,6.704089336711344771e+00,5.754899065493064569e-02,1.550570732457229838e-02,0.000000000000000000e+00
1.533823529411764697e-01,-1.598476389067773340e+00,-7.011368516546315099e+00,2.241523671532051343e-01,7.187318424557512131e+00,7.623214098786863790e-02,1.981846369871464314e-02,0.000000000000000000e+00
1.719117647058823195e-01,-1.721237376045047007e+00,-7.842446157946846519e+00,2.160514946958735638e-01,7.409039984312141058e+00,9.687529784786286235e-02,2.425369463362668856e-02,0.000000000000000000e+00
1.904411764705882248e-01,-1.856670623664992359e+00,-8.674753896257531238e+00,2.108502707803800169e-01,7.464623920548188352e+00,1.183725676438611984e-01,2.901953132280072137e-02,0.000000000000000000e+00
2.089705882352941024e-01,-2.000890855274485514e+00,-9.509679607497464104e+00,2.073807329210388128e-01,7.420989554325053916e+00,1.408891310325435797e-01,3.398712934488096887e-02,0.000000000000000000e+00
2.274999999999999800e-01,-2.149859320496166681e+00,-1.034836262875570689e+01,2.048350501953354885e-01,7.324422188062969852e+00,1.646114835186779646e-01,3.886307563914934149e-02,0.000000000000000000e+00
2.460294117647058854e-01,-2.299979716556432852e+00,-1.119151045484216667e+01,2.026890427172909626e-01,7.204955116934192105e+00,1.896319890158466581e-01,4.422308659420163407e-02,0.000000000000000000e+00
2.645588235294117907e-01,-2.448466841165079178e+00,-1.203934383516140194e+01,2.006358672562599810e-01,7.080169163026850399e+00,2.167819975975598668e-01,4.967327548535004078e-02,0.000000000000000000e+00
2.830882352941176405e-01,-2.593409376015364920e+00,-1.289167756671164611e+01,1.985196055094937129e-01,6.958997787037297655e+00,2.450325834970305539e-01,5.544627308510842456e-02,0.000000000000000000e+00
3.016176470588234904e-01,-2.733615270476759562e+00,-1.374806847496197904e+01,1.962763817350089979e-01,6.845100799394435498e+00,2.760251653454415810e-01,6.138874769289856537e-02,0.000000000000000000e+00
3.201470588235293957e-01,-2.868373983631406166e+00,-1.460795965999576396e+01,1.938901579419800569e-01,6.739397109284452014e+00,3.080235169025140052e-01,6.755141602810857404e-02,0.000000000000000000e+00
3.386764705882352455e-01,-2.997225207995526386e+00,-1.547078728346961363e+01,1.913638441149599634e-01,6.641719986874004888e+00,3.416070241274201669e-01,7.382312087755681096e-02,0.000000000000000000e+00
3.572058823529411509e-01,-3.119772459513692642e+00,-1.633604693540497621e+01,1.887025644905159505e-01,6.551775835034563400e+00,3.781528642457517853e-01,8.016214398930300578e-02,0.000000000000000000e+00
3.757352941176470562e-01,-3.235555841767605134e+00,-1.720332763200327619e+01,1.859056093380254404e-01,6.469605318335396760e+00,4.151047110192065404e-01,8.659723510924322021e-02,0.000000000000000000e+00
3.942647058823529060e-01,-3.343987235431981730e+00,-1.807232236963644212e+01,1.829642737705162725e-01,6.395707190061147074e+00,4.550675253246817542e-01,9.307606418670169579e-02,0.000000000000000000e+00
4.127941176470587559e-01,-3.444340415044119919e+00,-1.894282357920561921e+01,1.798632434030208171e-01,6.330958899836296894e+00,4.955026156593905773e-01,9.954510146616854516e-02,0.000000000000000000e+00
